('15:47:50.714526', b'>\r\n', 'sent:1-15:47:50.690125*')
('15:47:50.918918', b'>\r\n', 'sent:1-15:47:50.714526*')
('15:47:51.023381', b'>\r\n', 'sent:1-15:47:50.918918*')
('15:47:51.048729', b'>\r\n', 'sent:1-15:47:51.023381*')
('15:47:51.072150', b'>\r\n', 'sent:1-15:47:51.048729*')
('15:47:51.095575', b'>\r\n', 'sent:1-15:47:51.072150*')
('15:47:51.120950', b'>\r\n', 'sent:1-15:47:51.096551*')
('15:47:51.145439', b'>\r\n', 'sent:1-15:47:51.120950*')
('15:47:51.168864', b'>\r\n', 'sent:1-15:47:51.145439*')
('15:47:51.194240', b'>\r\n', 'sent:1-15:47:51.168864*')
('15:47:51.218641', b'>\r\n', 'sent:1-15:47:51.194240*')
('15:47:51.244992', b'>\r\n', 'sent:1-15:47:51.218641*')
('15:47:51.269405', b'>\r\n', 'sent:1-15:47:51.244992*')
('15:47:52.369608', b'....................................................................................................0.0.0.0\r\n', '')
('15:47:52.374488', b'No Wi-Fi connection\r\n', '')
('15:47:52.387206', b'>\r\n', 'sent:1-15:47:52.374488*')
('15:47:52.411576', b'>\r\n', 'sent:1-15:47:52.387206*')
('15:47:52.438410', b'>\r\n', 'sent:1-15:47:52.411576*')
('15:47:52.463785', b'>\r\n', 'sent:1-15:47:52.438410*')
('15:47:52.489161', b'>\r\n', 'sent:1-15:47:52.463785*')
('15:47:52.515515', b'>\r\n', 'sent:1-15:47:52.489161*')
('15:47:52.538939', b'>\r\n', 'sent:1-15:47:52.515515*')
('15:47:52.563338', b'>\r\n', 'sent:1-15:47:52.538939*')
('15:47:52.684363', b'D2-15:47:52.555530************\r\n', '')
('15:47:52.693153', b'>\r\n', 'sent:1-15:47:52.684363*')
('15:47:52.712668', b'>\r\n', 'sent:1-15:47:52.693153*')
('15:47:52.739020', b'>\r\n', 'sent:1-15:47:52.713644*')
('15:47:52.763427', b'>\r\n', 'sent:1-15:47:52.739020*')
('15:47:52.788824', b'>\r\n', 'sent:1-15:47:52.763427*')
('15:47:52.808317', b'>\r\n', 'sent:1-15:47:52.788824*')
('15:47:52.836621', b'>\r\n', 'sent:1-15:47:52.808317*')
('15:47:52.856141', b'>\r\n', 'sent:1-15:47:52.836621*')
('15:47:52.881515', b'>\r\n', 'sent:1-15:47:52.856141*')
('15:47:52.991833', b'>\r\n', 'sent:1-15:47:52.881515*')
('15:47:53.021091', b'>\r\n', 'sent:1-15:47:52.991833*')
('15:47:53.045514', b'>\r\n', 'sent:1-15:47:53.021091*')
('15:47:53.172420', b'D2-15:47:53.042556************\r\n', '')
('15:47:53.181232', b'>\r\n', 'sent:1-15:47:53.172420*')
('15:47:53.201713', b'>\r\n', 'sent:1-15:47:53.181232*')
('15:47:53.228053', b'>\r\n', 'sent:1-15:47:53.201713*')
('15:47:53.253429', b'>\r\n', 'sent:1-15:47:53.228053*')
('15:47:53.338341', b'D2-15:47:53.274901************\r\n', '')
('15:47:53.342245', b'>\r\n', 'sent:1-15:47:53.338341*')
('15:47:53.369574', b'>\r\n', 'sent:1-15:47:53.342245*')
('15:47:53.514022', b'>\r\n', 'sent:1-15:47:53.369574*')
('15:47:53.618455', b'>\r\n', 'sent:1-15:47:53.514022*')
('15:47:53.641880', b'>\r\n', 'sent:1-15:47:53.618455*')
('15:47:53.669219', b'>\r\n', 'sent:1-15:47:53.641880*')
('15:47:53.875181', b'>\r\n', 'sent:1-15:47:53.669219*')
('15:47:53.978676', b'>\r\n', 'sent:1-15:47:53.875181*')
('15:47:54.185588', b'>\r\n', 'sent:1-15:47:53.978676*')
('15:47:54.209019', b'>\r\n', 'sent:1-15:47:54.185588*')
('15:47:54.236347', b'>\r\n', 'sent:1-15:47:54.209019*')
('15:47:54.342724', b'>\r\n', 'sent:1-15:47:54.236347*')
('15:47:54.369077', b'>\r\n', 'sent:1-15:47:54.342724*')
('15:47:54.456936', b'D2-15:47:54.425687************\r\n', '')
('15:47:54.461799', b'>\r\n', 'sent:1-15:47:54.456936*')
('15:47:54.486198', b'>\r\n', 'sent:1-15:47:54.461799*')
('15:47:54.509623', b'>\r\n', 'sent:1-15:47:54.486198*')
('15:47:54.534998', b'>\r\n', 'sent:1-15:47:54.509623*')
('15:47:54.559398', b'>\r\n', 'sent:1-15:47:54.534998*')
('15:47:54.589654', b'>\r\n', 'sent:1-15:47:54.559398*')
