('15:48:03.835796', b'>\r\n', 'sent:2-15:48:03.727866*')
('15:48:03.859219', b'>\r\n', 'sent:2-15:48:03.835796*')
('15:48:03.883619', b'>\r\n', 'sent:2-15:48:03.859219*')
('15:48:03.906068', b'>\r\n', 'sent:2-15:48:03.883619*')
('15:48:03.994944', b'D1-15:48:03.942180************\r\n', '')
('15:48:04.099378', b'D1-15:48:03.966584************\r\n', '')
('15:48:04.103282', b'>\r\n', 'sent:2-15:48:04.099378*')
('15:48:04.128717', b'>\r\n', 'sent:2-15:48:04.103282*')
('15:48:04.215381', b'D1-15:48:04.158996************\r\n', '')
('15:48:04.219283', b'D1-15:48:04.135549************\r\n', '')
('15:48:04.224163', b'>\r\n', 'sent:2-15:48:04.219283*')
('15:48:04.250516', b'>\r\n', 'sent:2-15:48:04.224163*')
('15:48:04.274943', b'>\r\n', 'sent:2-15:48:04.250516*')
('15:48:04.301268', b'>\r\n', 'sent:2-15:48:04.274943*')
('15:48:04.450599', b'D1-15:48:04.403748************\r\n', '')
('15:48:04.453524', b'>\r\n', 'sent:2-15:48:04.450599*')
('15:48:04.540389', b'D1-15:48:04.501350************\r\n', '')
('15:48:04.600902', b'>\r\n', 'sent:2-15:48:04.540389*')
('15:48:04.623349', b'>\r\n', 'sent:2-15:48:04.600902*')
('15:48:04.645798', b'>\r\n', 'sent:2-15:48:04.623349*')
('15:48:04.670198', b'>\r\n', 'sent:2-15:48:04.645798*')
('15:48:04.694598', b'>\r\n', 'sent:2-15:48:04.670198*')
('15:48:04.717048', b'>\r\n', 'sent:2-15:48:04.694598*')
('15:48:04.738518', b'>\r\n', 'sent:2-15:48:04.717048*')
('15:48:04.759014', b'>\r\n', 'sent:2-15:48:04.738518*')
('15:48:04.785377', b'>\r\n', 'sent:2-15:48:04.759014*')
('15:48:04.809766', b'>\r\n', 'sent:2-15:48:04.785377*')
('15:48:04.834167', b'>\r\n', 'sent:2-15:48:04.809766*')
('15:48:04.857590', b'>\r\n', 'sent:2-15:48:04.834167*')
('15:48:04.880039', b'>\r\n', 'sent:2-15:48:04.857590*')
('15:48:05.014735', b'>\r\n', 'sent:2-15:48:04.880039*')
('15:48:05.098666', b'D1-15:48:05.008872************\r\n', '')
('15:48:05.102568', b'D1-15:48:05.032297************\r\n', '')
('15:48:05.206024', b'D1-15:48:05.057672************\r\n', '')
('15:48:05.215785', b'>\r\n', 'sent:2-15:48:05.206024*')
('15:48:05.235306', b'>\r\n', 'sent:2-15:48:05.215785*')
('15:48:05.266537', b'>\r\n', 'sent:2-15:48:05.235306*')
('15:48:05.370970', b'>\r\n', 'sent:2-15:48:05.266537*')
('15:48:05.394394', b'>\r\n', 'sent:2-15:48:05.370970*')
('15:48:05.540126', b'D1-15:48:05.400250************\r\n', '')
('15:48:05.545955', b'>\r\n', 'sent:2-15:48:05.540126*')
('15:48:05.631842', b'D1-15:48:05.588904************\r\n', '')
('15:48:05.635746', b'>\r\n', 'sent:2-15:48:05.631842*')
('15:48:05.657219', b'>\r\n', 'sent:2-15:48:05.635746*')
('15:48:05.685523', b'>\r\n', 'sent:2-15:48:05.657219*')
('15:48:05.772431', b'D1-15:48:05.740179************\r\n', '')
('15:48:05.775332', b'>\r\n', 'sent:2-15:48:05.772431*')
('15:48:05.798741', b'>\r\n', 'sent:2-15:48:05.775332*')
('15:48:05.902197', b'>\r\n', 'sent:2-15:48:05.798741*')
('15:48:06.146198', b'D1-15:48:05.939284************\r\n', '')
('15:48:06.150102', b'>\r\n', 'sent:2-15:48:06.146198*')
('15:48:06.234038', b'>\r\n', 'sent:2-15:48:06.150102*')
('15:48:06.258438', b'>\r\n', 'sent:2-15:48:06.234038*')
('15:48:06.344327', b'D1-15:48:06.306262************\r\n', '')
('15:48:06.450711', b'>\r\n', 'sent:2-15:48:06.344327*')
('15:48:06.561976', b'>\r\n', 'sent:2-15:48:06.450711*')
('15:48:06.585400', b'>\r\n', 'sent:2-15:48:06.561976*')
('15:48:06.688857', b'>\r\n', 'sent:2-15:48:06.585400*')
('15:48:06.710329', b'>\r\n', 'sent:2-15:48:06.688857*')
('15:48:07.788815', b'....................................................................................................0.0.0.0\r\n', '')
('15:48:07.800528', b'No Wi-Fi connection\r\n', '')
('15:48:07.804431', b'>\r\n', 'sent:2-15:48:07.800528*')
('15:48:07.828864', b'>\r\n', 'sent:2-15:48:07.804431*')
('15:48:07.850304', b'>\r\n', 'sent:2-15:48:07.828864*')
('15:48:07.874703', b'>\r\n', 'sent:2-15:48:07.850304*')
('15:48:07.899134', b'>\r\n', 'sent:2-15:48:07.874703*')
('15:48:07.922528', b'>\r\n', 'sent:2-15:48:07.899134*')
('15:48:07.944000', b'>\r\n', 'sent:2-15:48:07.922528*')
('15:48:07.967454', b'>\r\n', 'sent:2-15:48:07.944000*')
('15:48:08.088449', b'D1-15:48:07.961578************\r\n', '')
('15:48:08.116753', b'>\r\n', 'sent:2-15:48:08.088449*')
('15:48:08.138225', b'>\r\n', 'sent:2-15:48:08.121633*')
('15:48:08.161649', b'>\r\n', 'sent:2-15:48:08.138225*')
('15:48:08.427123', b'>\r\n', 'sent:2-15:48:08.161649*')
('15:48:08.451521', b'>\r\n', 'sent:2-15:48:08.427123*')
('15:48:08.474973', b'>\r\n', 'sent:2-15:48:08.451521*')
('15:48:08.499348', b'>\r\n', 'sent:2-15:48:08.474973*')
('15:48:08.645747', b'>\r\n', 'sent:2-15:48:08.499348*')
('15:48:08.749232', b'>\r\n', 'sent:2-15:48:08.645747*')
('15:48:08.773604', b'>\r\n', 'sent:2-15:48:08.749232*')
('15:48:08.796080', b'>\r\n', 'sent:2-15:48:08.773604*')
('15:48:08.942475', b'>\r\n', 'sent:2-15:48:08.796080*')
('15:48:09.046902', b'>\r\n', 'sent:2-15:48:08.942475*')
('15:48:09.150342', b'>\r\n', 'sent:2-15:48:09.046902*')
('15:48:09.295767', b'>\r\n', 'sent:2-15:48:09.150342*')
('15:48:09.319191', b'>\r\n', 'sent:2-15:48:09.295767*')
('15:48:09.342615', b'>\r\n', 'sent:2-15:48:09.319191*')
('15:48:09.449000', b'>\r\n', 'sent:2-15:48:09.342615*')
('15:48:09.553432', b'>\r\n', 'sent:2-15:48:09.449000*')
('15:48:09.722280', b'>\r\n', 'sent:2-15:48:09.553432*')
('15:48:09.745706', b'>\r\n', 'sent:2-15:48:09.722280*')
('15:48:09.769130', b'>\r\n', 'sent:2-15:48:09.745706*')
('15:48:09.793530', b'>\r\n', 'sent:2-15:48:09.769130*')
('15:48:09.938955', b'D1-15:48:09.775962************\r\n', '')
('15:48:09.942861', b'>\r\n', 'sent:2-15:48:09.938955*')
('15:48:09.966310', b'>\r\n', 'sent:2-15:48:09.942861*')
('15:48:09.990683', b'>\r\n', 'sent:2-15:48:09.966310*')
('15:48:10.103900', b'D1-15:48:09.973142************\r\n', '')
('15:48:10.112683', b'>\r\n', 'sent:2-15:48:10.103900*')
('15:48:10.132204', b'>\r\n', 'sent:2-15:48:10.112683*')
('15:48:10.234685', b'>\r\n', 'sent:2-15:48:10.132204*')
('15:48:10.338433', b'>\r\n', 'sent:2-15:48:10.234685*')
('15:48:10.362806', b'>\r\n', 'sent:2-15:48:10.338433*')
('15:48:10.566791', b'>\r\n', 'sent:2-15:48:10.362806*')
('15:48:10.650727', b'>\r\n', 'sent:2-15:48:10.566791*')
('15:48:10.673175', b'>\r\n', 'sent:2-15:48:10.650727*')
('15:48:10.878151', b'>\r\n', 'sent:2-15:48:10.673175*')
('15:48:10.982569', b'>\r\n', 'sent:2-15:48:10.878151*')
('15:48:11.005993', b'>\r\n', 'sent:2-15:48:10.982569*')
