('13:34:17.878599', b'D1-13:34:17.862969************\trssi:-41\r\n', '')
('13:34:17.878599', b'>\r\n', 'sent:2-13:34:17.878599*')
('13:34:17.972031', b'D1-13:34:17.956411************\trssi:-42\r\n', '')
('13:34:17.972031', b'>\r\n', 'sent:2-13:34:17.972031*')
('13:34:18.050431', b'D1-13:34:18.034797************\trssi:-43\r\n', '')
('13:34:18.050431', b'>\r\n', 'sent:2-13:34:18.050431*')
('13:34:18.128481', b'D1-13:34:18.112901************\trssi:-43\r\n', '')
('13:34:18.128481', b'>\r\n', 'sent:2-13:34:18.128481*')
('13:34:18.222217', b'>\r\n', 'sent:2-13:34:18.128481*')
('13:34:18.300373', b'D1-13:34:18.206636************\trssi:-43\r\n', '')
('13:34:18.300373', b'>\r\n', 'sent:2-13:34:18.300373*')
('13:34:18.378457', b'D1-13:34:18.362846************\trssi:-42\r\n', '')
('13:34:18.378457', b'>\r\n', 'sent:2-13:34:18.378457*')
('13:34:18.472159', b'>\r\n', 'sent:2-13:34:18.378457*')
('13:34:18.550316', b'D1-13:34:18.534682************\trssi:-43\r\n', '')
('13:34:18.550316', b'>\r\n', 'sent:2-13:34:18.550316*')
('13:34:18.628405', b'D1-13:34:18.628405************\trssi:-42\r\n', '')
('13:34:18.628405', b'>\r\n', 'sent:2-13:34:18.628405*')
('13:34:18.722107', b'D1-13:34:18.706521************\trssi:-43\r\n', '')
('13:34:18.722107', b'>\r\n', 'sent:2-13:34:18.722107*')
('13:34:18.800259', b'D1-13:34:18.784638************\trssi:-42\r\n', '')
('13:34:18.800259', b'>\r\n', 'sent:2-13:34:18.800259*')
('13:34:18.893832', b'D1-13:34:18.878368************\trssi:-41\r\n', '')
('13:34:18.893832', b'>\r\n', 'sent:2-13:34:18.893832*')
('13:34:18.972040', b'D1-13:34:18.878368************\trssi:-42\r\n', '')
('13:34:18.972040', b'>\r\n', 'sent:2-13:34:18.972040*')
('13:34:19.050202', b'D1-13:34:19.034584************\trssi:-43\r\n', '')
('13:34:19.050202', b'>\r\n', 'sent:2-13:34:19.050202*')
('13:34:19.143916', b'>\r\n', 'sent:2-13:34:19.050202*')
('13:34:19.221975', b'D1-13:34:19.206407************\trssi:-43\r\n', '')
('13:34:19.221975', b'>\r\n', 'sent:2-13:34:19.221975*')
('13:34:19.300130', b'D1-13:34:19.300130************\trssi:-43\r\n', '')
('13:34:19.300130', b'>\r\n', 'sent:2-13:34:19.300130*')
('13:34:19.393849', b'D1-13:34:19.378254************\trssi:-43\r\n', '')
