('16:03:18.566924', b'D2-16:03:18.488788************\r\n', '')
('16:03:18.566924', b'>\r\n', 'sent:1-16:03:18.566924*')
('16:03:18.582554', b'>\r\n', 'sent:1-16:03:18.566924*')
('16:03:18.676278', b'>\r\n', 'sent:1-16:03:18.582554*')
('16:03:18.692143', b'>\r\n', 'sent:1-16:03:18.676278*')
('16:03:18.723147', b'>\r\n', 'sent:1-16:03:18.692143*')
('16:03:18.739000', b'>\r\n', 'sent:1-16:03:18.723147*')
('16:03:18.832490', b'>\r\n', 'sent:1-16:03:18.739000*')
('16:03:18.910586', b'D2-16:03:18.832490************\r\n', '')
('16:03:18.926207', b'D2-16:03:18.848079************\r\n', '')
('16:03:18.926207', b'>\r\n', 'sent:1-16:03:18.926207*')
('16:03:18.942088', b'>\r\n', 'sent:1-16:03:18.926207*')
('16:03:18.973112', b'>\r\n', 'sent:1-16:03:18.942088*')
('16:03:18.988957', b'>\r\n', 'sent:1-16:03:18.973112*')
('16:03:19.395105', b'...........................................................................................................................................................................................................................................................................................................>\r\n', 'sent:1-16:03:18.988957*')
('16:03:19.426091', b'>\r\n', 'sent:1-16:03:19.395105*')
('16:03:19.441713', b'>\r\n', 'sent:1-16:03:19.426091*')
('16:03:19.566921', b'>\r\n', 'sent:1-16:03:19.441713*')
('16:03:19.707521', b'D2-16:03:19.645042************\r\n', '')
('16:03:19.722898', b'D2-16:03:19.566921************\r\n', '')
('16:03:19.769927', b'D2-16:03:19.676034************\r\n', '')
('16:03:19.785385', b'>\r\n', 'sent:1-16:03:19.769927*')
('16:03:19.801182', b'>\r\n', 'sent:1-16:03:19.785385*')
('16:03:19.832224', b'>\r\n', 'sent:1-16:03:19.801182*')
('16:03:19.957489', b'>\r\n', 'sent:1-16:03:19.832224*')
('16:03:19.972947', b'>\r\n', 'sent:1-16:03:19.957489*')
('16:03:20.004082', b'>\r\n', 'sent:1-16:03:19.972947*')
('16:03:20.019963', b'>\r\n', 'sent:1-16:03:20.004082*')
('16:03:20.113432', b'D2-16:03:20.050946************\r\n', '')
('16:03:20.175915', b'>\r\n', 'sent:1-16:03:20.113432*')
('16:03:20.191809', b'>\r\n', 'sent:1-16:03:20.175915*')
('16:03:20.222782', b'>\r\n', 'sent:1-16:03:20.191809*')
('16:03:20.238660', b'>\r\n', 'sent:1-16:03:20.222782*')
('16:03:20.394868', b'D2-16:03:20.222782************\r\n', '')
('16:03:20.394868', b'D2-16:03:20.254022************\r\n', '')
('16:03:20.457101', b'>\r\n', 'sent:1-16:03:20.394868*')
('16:03:20.472988', b'>\r\n', 'sent:1-16:03:20.457101*')
('16:03:20.597670', b'>\r\n', 'sent:1-16:03:20.472988*')
('16:03:20.613584', b'>\r\n', 'sent:1-16:03:20.597670*')
('16:03:20.707042', b'D2-16:03:20.660427************\r\n', '')
('16:03:20.769528', b'D2-16:03:20.675777************\r\n', '')
('16:03:20.769528', b'>\r\n', 'sent:1-16:03:20.769528*')
('16:03:20.910376', b'D2-16:03:20.691671************\r\n', '')
('16:03:20.910376', b'>\r\n', 'sent:1-16:03:20.910376*')
('16:03:21.050966', b'>\r\n', 'sent:1-16:03:20.910376*')
('16:03:21.175931', b'>\r\n', 'sent:1-16:03:21.050966*')
('16:03:21.206926', b'>\r\n', 'sent:1-16:03:21.175931*')
('16:03:21.503711', b'..................................................................................................................................................................D2-16:03:21.316460************\r\n', '')
('16:03:21.503711', b'D2-16:03:21.441500************\r\n', '')
('16:03:21.503711', b'>\r\n', 'sent:1-16:03:21.503711*')
('16:03:21.644597', b'>\r\n', 'sent:1-16:03:21.503711*')
('16:03:21.660046', b'>\r\n', 'sent:1-16:03:21.644597*')
('16:03:21.816387', b'>\r\n', 'sent:1-16:03:21.660046*')
('16:03:21.831879', b'>\r\n', 'sent:1-16:03:21.816387*')
('16:03:21.863011', b'>\r\n', 'sent:1-16:03:21.831879*')
('16:03:21.878899', b'>\r\n', 'sent:1-16:03:21.863011*')
('16:03:21.972365', b'D2-16:03:21.910135************\r\n', '')
('16:03:22.034866', b'D2-16:03:21.941400************\r\n', '')
('16:03:22.034866', b'D2-16:03:21.972365************\r\n', '')
('16:03:22.097320', b'D2-16:03:21.988248************\r\n', '')
('16:03:22.097320', b'>\r\n', 'sent:1-16:03:22.097320*')
('16:03:22.238193', b'D2-16:03:22.097320************\r\n', '')
('16:03:22.238193', b'>\r\n', 'sent:1-16:03:22.238193*')
('16:03:22.331663', b'D2-16:03:22.238193************\r\n', '')
('16:03:22.331663', b'D2-16:03:22.113220************\r\n', '')
('16:03:22.331663', b'>\r\n', 'sent:1-16:03:22.331663*')
('16:03:22.425392', b'D2-16:03:22.362884************\r\n', '')
('16:03:22.425392', b'D2-16:03:22.347263************\r\n', '')
('16:03:22.425392', b'>\r\n', 'sent:1-16:03:22.425392*')
('16:03:22.456878', b'>\r\n', 'sent:1-16:03:22.425392*')
('16:03:22.472527', b'>\r\n', 'sent:1-16:03:22.456878*')
('16:03:22.628446', b'D2-16:03:22.503497************\r\n', '')
('16:03:22.628446', b'>\r\n', 'sent:1-16:03:22.628446*')
('16:03:22.706832', b'>\r\n', 'sent:1-16:03:22.628446*')
('16:03:22.737819', b'>\r\n', 'sent:1-16:03:22.706832*')
('16:03:22.753712', b'>\r\n', 'sent:1-16:03:22.737819*')
('16:03:22.784918', b'>\r\n', 'sent:1-16:03:22.753712*')
('16:03:22.878410', b'>\r\n', 'sent:1-16:03:22.784918*')
('16:03:22.894031', b'>\r\n', 'sent:1-16:03:22.878410*')
('16:03:22.987760', b'D2-16:03:22.894031************\r\n', '')
('16:03:22.987760', b'D2-16:03:22.909908************\r\n', '')
('16:03:22.987760', b'>\r\n', 'sent:1-16:03:22.987760*')
('16:03:23.020483', b'>\r\n', 'sent:1-16:03:22.987760*')
('16:03:23.037511', b'>\r\n', 'sent:1-16:03:23.020483*')
('16:03:23.178103', b'D2-16:03:23.052855************\r\n', '')
('16:03:23.178103', b'>\r\n', 'sent:1-16:03:23.178103*')
('16:03:23.271572', b'D2-16:03:23.178103************\r\n', '')
('16:03:23.271572', b'D2-16:03:23.193463************\r\n', '')
('16:03:23.271572', b'>\r\n', 'sent:1-16:03:23.271572*')
('16:03:23.303005', b'>\r\n', 'sent:1-16:03:23.271572*')
('16:03:23.318696', b'>\r\n', 'sent:1-16:03:23.303005*')
('16:03:23.349871', b'>\r\n', 'sent:1-16:03:23.318696*')
('16:03:23.365283', b'>\r\n', 'sent:1-16:03:23.349871*')
('16:03:23.459024', b'D2-16:03:23.396710************\r\n', '')
('16:03:23.459024', b'>\r\n', 'sent:1-16:03:23.459024*')
('16:03:23.537411', b'D2-16:03:23.490551************\r\n', '')
('16:03:23.662087', b'>\r\n', 'sent:1-16:03:23.537411*')
('16:03:23.990159', b'................................................................................................................................................................................>\r\n', 'sent:1-16:03:23.662087*')
('16:03:24.083887', b'D2-16:03:23.943296************\r\n', '')
('16:03:24.083887', b'>\r\n', 'sent:1-16:03:24.083887*')
('16:03:24.115231', b'>\r\n', 'sent:1-16:03:24.083887*')
('16:03:24.240372', b'>\r\n', 'sent:1-16:03:24.115231*')
('16:03:24.380698', b'D2-16:03:24.255808************\r\n', '')
('16:03:24.380698', b'>\r\n', 'sent:1-16:03:24.380698*')
('16:03:24.521529', b'D2-16:03:24.380698************\r\n', '')
('16:03:24.521529', b'>\r\n', 'sent:1-16:03:24.521529*')
('16:03:24.646504', b'>\r\n', 'sent:1-16:03:24.521529*')
('16:03:24.787106', b'D2-16:03:24.646504************\r\n', '')
('16:03:24.787106', b'>\r\n', 'sent:1-16:03:24.787106*')
('16:03:25.021147', b'....................................................................................................................................................................>\r\n', 'sent:1-16:03:24.787106*')
('16:03:25.193259', b'>\r\n', 'sent:1-16:03:25.021147*')
('16:03:25.208877', b'>\r\n', 'sent:1-16:03:25.193259*')
('16:03:25.240122', b'>\r\n', 'sent:1-16:03:25.208877*')
('16:03:25.271123', b'>\r\n', 'sent:1-16:03:25.240122*')
('16:03:25.349226', b'D2-16:03:25.286710************\r\n', '')
('16:03:25.364823', b'D2-16:03:25.286710************\r\n', '')
('16:03:25.364823', b'>\r\n', 'sent:1-16:03:25.364823*')
('16:03:25.380466', b'>\r\n', 'sent:1-16:03:25.364823*')
('16:03:25.536929', b'D2-16:03:25.364823************\r\n', '')
('16:03:25.536929', b'D2-16:03:25.396270************\r\n', '')
('16:03:25.552307', b'>\r\n', 'sent:1-16:03:25.536929*')
('16:03:25.693142', b'D2-16:03:25.536929************\r\n', '')
('16:03:25.708507', b'>\r\n', 'sent:1-16:03:25.693142*')
('16:03:25.786863', b'D2-16:03:25.724129************\r\n', '')
('16:03:25.802236', b'D2-16:03:25.693142************\r\n', '')
('16:03:25.802236', b'>\r\n', 'sent:1-16:03:25.802236*')
('16:03:25.833478', b'>\r\n', 'sent:1-16:03:25.802236*')
('16:03:25.958703', b'>\r\n', 'sent:1-16:03:25.833478*')
('16:03:26.257941', b'....................................................................................................................................................................>\r\n', 'sent:1-16:03:25.958703*')
('16:03:26.273765', b'>\r\n', 'sent:1-16:03:26.257941*')
('16:03:26.305060', b'>\r\n', 'sent:1-16:03:26.273765*')
('16:03:26.429935', b'>\r\n', 'sent:1-16:03:26.305060*')
('16:03:26.523760', b'D2-16:03:26.429935************\r\n', '')
('16:03:26.523760', b'D2-16:03:26.429935************\r\n', '')
('16:03:26.539124', b'D2-16:03:26.461018************\r\n', '')
('16:03:26.586174', b'D2-16:03:26.476898************\r\n', '')
('16:03:26.586174', b'D2-16:03:26.508137************\r\n', '')
('16:03:26.586174', b'>\r\n', 'sent:1-16:03:26.586174*')
('16:03:26.617232', b'>\r\n', 'sent:1-16:03:26.586174*')
('16:03:26.742457', b'D2-16:03:26.617232************\r\n', '')
('16:03:26.758067', b'>\r\n', 'sent:1-16:03:26.742457*')
('16:03:26.773444', b'>\r\n', 'sent:1-16:03:26.758067*')
('16:03:26.804947', b'>\r\n', 'sent:1-16:03:26.773444*')
('16:03:26.835929', b'>\r\n', 'sent:1-16:03:26.804947*')
('16:03:26.851822', b'>\r\n', 'sent:1-16:03:26.835929*')
('16:03:26.929820', b'D2-16:03:26.882794************\r\n', '')
('16:03:26.945257', b'D2-16:03:26.882794************\r\n', '')
('16:03:27.273583', b'...........................................................................................................................................................................>\r\n', 'sent:1-16:03:26.945257*')
('16:03:27.367056', b'>\r\n', 'sent:1-16:03:27.273583*')
('16:03:27.382889', b'>\r\n', 'sent:1-16:03:27.367056*')
('16:03:27.413922', b'>\r\n', 'sent:1-16:03:27.382889*')
('16:03:27.429783', b'>\r\n', 'sent:1-16:03:27.413922*')
('16:03:27.460784', b'>\r\n', 'sent:1-16:03:27.429783*')
('16:03:27.476585', b'>\r\n', 'sent:1-16:03:27.460784*')
('16:03:27.570111', b'D2-16:03:27.523334************\r\n', '')
('16:03:27.632619', b'>\r\n', 'sent:1-16:03:27.570111*')
('16:03:27.648413', b'>\r\n', 'sent:1-16:03:27.632619*')
('16:03:27.679485', b'>\r\n', 'sent:1-16:03:27.648413*')
('16:03:27.820334', b'D2-16:03:27.679485************\r\n', '')
('16:03:27.820334', b'>\r\n', 'sent:1-16:03:27.820334*')
('16:03:27.851588', b'>\r\n', 'sent:1-16:03:27.820334*')
('16:03:27.882562', b'>\r\n', 'sent:1-16:03:27.851588*')
('16:03:27.898238', b'>\r\n', 'sent:1-16:03:27.882562*')
('16:03:28.054374', b'>\r\n', 'sent:1-16:03:27.898238*')
('16:03:28.070273', b'>\r\n', 'sent:1-16:03:28.054374*')
('16:03:28.085615', b'>\r\n', 'sent:1-16:03:28.070273*')
('16:03:28.335850', b'D2-16:03:28.210859************\r\n', '')
('16:03:28.335850', b'>\r\n', 'sent:1-16:03:28.335850*')
('16:03:28.429308', b'D2-16:03:28.335850************\r\n', '')
('16:03:28.429308', b'>\r\n', 'sent:1-16:03:28.429308*')
('16:03:28.460651', b'>\r\n', 'sent:1-16:03:28.429308*')
('16:03:28.476444', b'>\r\n', 'sent:1-16:03:28.460651*')
('16:03:28.569892', b'>\r\n', 'sent:1-16:03:28.476444*')
('16:03:28.585792', b'>\r\n', 'sent:1-16:03:28.569892*')
('16:03:28.616763', b'>\r\n', 'sent:1-16:03:28.585792*')
('16:03:28.632627', b'>\r\n', 'sent:1-16:03:28.616763*')
('16:03:28.788869', b'D2-16:03:28.616763************\r\n', '')
('16:03:28.788869', b'D2-16:03:28.647995************\r\n', '')
('16:03:28.804221', b'>\r\n', 'sent:1-16:03:28.788869*')
('16:03:28.820003', b'>\r\n', 'sent:1-16:03:28.804221*')
('16:03:28.960704', b'D2-16:03:28.788869************\r\n', '')
('16:03:28.960704', b'>\r\n', 'sent:1-16:03:28.960704*')
('16:03:28.991676', b'>\r\n', 'sent:1-16:03:28.960704*')
('16:03:29.116904', b'>\r\n', 'sent:1-16:03:28.991676*')
('16:03:29.350970', b'....................................................................................................................................................................>\r\n', 'sent:1-16:03:29.116904*')
('16:03:29.366839', b'>\r\n', 'sent:1-16:03:29.350970*')
('16:03:29.397831', b'>\r\n', 'sent:1-16:03:29.366839*')
('16:03:29.554309', b'>\r\n', 'sent:1-16:03:29.397831*')
('16:03:29.569923', b'>\r\n', 'sent:1-16:03:29.554309*')
('16:03:29.601168', b'>\r\n', 'sent:1-16:03:29.569923*')
('16:03:29.616797', b'>\r\n', 'sent:1-16:03:29.601168*')
('16:03:29.647879', b'>\r\n', 'sent:1-16:03:29.616797*')
('16:03:29.679015', b'>\r\n', 'sent:1-16:03:29.647879*')
('16:03:29.804230', b'>\r\n', 'sent:1-16:03:29.679015*')
('16:03:29.897802', b'D2-16:03:29.804230************\r\n', '')
('16:03:29.897802', b'>\r\n', 'sent:1-16:03:29.897802*')
('16:03:29.928959', b'>\r\n', 'sent:1-16:03:29.897802*')
('16:03:30.007328', b'D2-16:03:29.913313************\r\n', '')
