('11:15:20.828635', b'D1-222************************\trssi:-35\r\n', '')
('11:15:20.844256', b'D1-223************************\trssi:-35\r\n', '')
('11:15:20.844256', b'D1-225************************\trssi:-35\r\n', '')
('11:15:20.844256', b'D1-224************************\trssi:-37\r\n', '')
('11:15:20.844256', b's-dur: 64455\r\n', '')
('11:15:20.844256', b'S\r\n', '')
('11:15:20.906744', b'D1-226************************\trssi:-35\r\n', '')
('11:15:20.906744', b'D1-227************************\trssi:-35\r\n', '')
('11:15:20.906744', b'D1-228************************\trssi:-35\r\n', '')
('11:15:20.906744', b's-dur: 61673\r\n', '')
('11:15:20.953628', b'S\r\n', '')
('11:15:21.016091', b'D1-234************************\trssi:-35\r\n', '')
('11:15:21.031735', b'D1-232************************\trssi:-36\r\n', '')
('11:15:21.031735', b'D1-233************************\trssi:-36\r\n', '')
('11:15:21.031735', b's-dur: 61544\r\n', '')
('11:15:21.031735', b'S\r\n', '')
('11:15:21.078616', b'D1-235************************\trssi:-35\r\n', '')
('11:15:21.094223', b'D1-237************************\trssi:-35\r\n', '')
('11:15:21.094223', b'D1-236************************\trssi:-36\r\n', '')
('11:15:21.094223', b's-dur: 61947\r\n', '')
('11:15:21.203571', b'S\r\n', '')
('11:15:21.266065', b'D1-244************************\trssi:-35\r\n', '')
('11:15:21.266065', b'D1-246************************\trssi:-35\r\n', '')
('11:15:21.266065', b'D1-245************************\trssi:-36\r\n', '')
('11:15:21.281656', b's-dur: 61550\r\n', '')
('11:15:21.281656', b'S\r\n', '')
('11:15:21.328522', b'D1-247************************\trssi:-35\r\n', '')
('11:15:21.328522', b'D1-248************************\trssi:-36\r\n', '')
('11:15:21.328522', b'D1-249************************\trssi:-37\r\n', '')
('11:15:21.344169', b's-dur: 61696\r\n', '')
('11:15:21.344169', b'S\r\n', '')
('11:15:21.391042', b'D1-250************************\trssi:-35\r\n', '')
('11:15:21.391042', b'D1-251************************\trssi:-36\r\n', '')
('11:15:21.391042', b'D1-252************************\trssi:-37\r\n', '')
('11:15:21.391042', b's-dur: 61670\r\n', '')
('11:15:21.391042', b'S\r\n', '')
('11:15:21.453523', b'D1-256************************\trssi:-35\r\n', '')
('11:15:21.453523', b'D1-254************************\trssi:-36\r\n', '')
