('14:17:09.497002', b'D3-155************************\trssi:-58\r\n', '')
('14:17:09.512602', b'D3-154************************\trssi:-59\r\n', '')
('14:17:09.512602', b'D3-153************************\trssi:-60\r\n', '')
('14:17:09.512602', b's-dur: 75190\r\n', '')
('14:17:09.512602', b'>\r\n', 'sent:100-27*')
('14:17:09.543846', b'b-dur: 39281\r\n', '')
('14:17:09.543846', b'S\r\n', '')
('14:17:09.606358', b'D3-165************************\trssi:-52\r\n', '')
('14:17:09.606358', b'D3-166************************\trssi:-52\r\n', '')
('14:17:09.606358', b'D3-167************************\trssi:-53\r\n', '')
('14:17:09.621953', b'D3-168************************\trssi:-54\r\n', '')
('14:17:09.621953', b'D3-169************************\trssi:-55\r\n', '')
('14:17:09.621953', b'D3-170************************\trssi:-57\r\n', '')
('14:17:09.621953', b's-dur: 71234\r\n', '')
('14:17:09.621953', b'S\r\n', '')
('14:17:09.684459', b'D3-177************************\trssi:-57\r\n', '')
('14:17:09.684459', b'D3-176************************\trssi:-59\r\n', '')
('14:17:09.684459', b'D3-175************************\trssi:-62\r\n', '')
('14:17:09.684459', b'D3-174************************\trssi:-63\r\n', '')
('14:17:09.684459', b'D3-173************************\trssi:-67\r\n', '')
('14:17:09.700059', b's-dur: 68055\r\n', '')
('14:17:09.700059', b'S\r\n', '')
('14:17:09.746951', b'D3-182************************\trssi:-51\r\n', '')
('14:17:09.746951', b'D3-181************************\trssi:-52\r\n', '')
('14:17:09.746951', b'D3-183************************\trssi:-52\r\n', '')
('14:17:09.762545', b'D3-180************************\trssi:-53\r\n', '')
('14:17:09.762545', b'D3-184************************\trssi:-54\r\n', '')
('14:17:09.762545', b'D3-179************************\trssi:-55\r\n', '')
('14:17:09.762545', b's-dur: 71613\r\n', '')
('14:17:09.762545', b'>\r\n', 'sent:100-28*')
('14:17:09.793817', b'b-dur: 40427\r\n', '')
('14:17:09.793817', b'>\r\n', 'sent:100-29*')
('14:17:09.825058', b'b-dur: 27960\r\n', '')
('14:17:09.825058', b'>\r\n', 'sent:100-30*')
('14:17:09.856301', b'b-dur: 28964\r\n', '')
('14:17:09.856301', b'S\r\n', '')
('14:17:09.918759', b'D3-196************************\trssi:-50\r\n', '')
('14:17:09.918759', b'D3-197************************\trssi:-51\r\n', '')
('14:17:09.918759', b'D3-198************************\trssi:-53\r\n', '')
('14:17:09.934408', b'D3-199************************\trssi:-53\r\n', '')
('14:17:09.934408', b'D3-200************************\trssi:-53\r\n', '')
('14:17:09.934408', b'D3-201************************\trssi:-54\r\n', '')
('14:17:09.934408', b's-dur: 71271\r\n', '')
('14:17:09.934408', b'>\r\n', 'sent:100-31*')
('14:17:09.965651', b'b-dur: 40484\r\n', '')
('14:17:09.965651', b'>\r\n', 'sent:100-32*')
('14:17:09.996893', b'b-dur: 27960\r\n', '')
('14:17:09.996893', b'>\r\n', 'sent:100-33*')
('14:17:10.028108', b'b-dur: 28964\r\n', '')
('14:17:10.028108', b'S\r\n', '')
('14:17:10.090615', b'D3-215************************\trssi:-54\r\n', '')
('14:17:10.090615', b'D3-213************************\trssi:-55\r\n', '')
('14:17:10.090615', b'D3-214************************\trssi:-55\r\n', '')
('14:17:10.090615', b'D3-216************************\trssi:-56\r\n', '')
('14:17:10.106215', b'D3-217************************\trssi:-56\r\n', '')
('14:17:10.106215', b'D3-218************************\trssi:-57\r\n', '')
('14:17:10.106215', b's-dur: 71320\r\n', '')
('14:17:10.106215', b'>\r\n', 'sent:100-34*')
('14:17:10.137458', b'b-dur: 41435\r\n', '')
