('14:55:11.372723', b'D3-89033**********************\trssi:-54\r\n', '')
('14:55:11.372723', b'D3-89034**********************\trssi:-54\r\n', '')
('14:55:11.372723', b'D3-89035**********************\trssi:-54\r\n', '')
('14:55:11.372723', b'D3-89039**********************\trssi:-54\r\n', '')
('14:55:11.372723', b's-dur: 82443\r\n', '')
('14:55:11.372723', b'>\r\n', 'sent:80-8375*')
('14:55:11.404237', b'b-dur: 39698\r\n', '')
('14:55:11.404237', b'>\r\n', 'sent:80-8376*')
('14:55:11.446191', b'b-dur: 29958\r\n', '')
('14:55:11.446982', b'>\r\n', 'sent:80-8377*')
('14:55:11.472898', b'b-dur: 29964\r\n', '')
('14:55:11.472898', b'>\r\n', 'sent:80-8378*')
('14:55:11.504409', b'b-dur: 30964\r\n', '')
('14:55:11.504409', b'S\r\n', '')
('14:55:11.571546', b'D3-89062**********************\trssi:-53\r\n', '')
('14:55:11.572708', b'D3-89066**********************\trssi:-53\r\n', '')
('14:55:11.572708', b'D3-89067**********************\trssi:-53\r\n', '')
('14:55:11.572708', b'D3-89068**********************\trssi:-53\r\n', '')
('14:55:11.572708', b'D3-89063**********************\trssi:-54\r\n', '')
('14:55:11.588331', b'D3-89064**********************\trssi:-54\r\n', '')
('14:55:11.588331', b'D3-89065**********************\trssi:-54\r\n', '')
('14:55:11.588331', b'D3-89069**********************\trssi:-54\r\n', '')
('14:55:11.588331', b's-dur: 78406\r\n', '')
('14:55:11.588331', b'S\r\n', '')
('14:55:11.651568', b'D3-89080**********************\trssi:-52\r\n', '')
('14:55:11.654560', b'D3-89073**********************\trssi:-53\r\n', '')
('14:55:11.658617', b'D3-89075**********************\trssi:-53\r\n', '')
('14:55:11.661556', b'D3-89076**********************\trssi:-53\r\n', '')
('14:55:11.665573', b'D3-89078**********************\trssi:-53\r\n', '')
('14:55:11.669688', b'D3-89079**********************\trssi:-53\r\n', '')
('14:55:11.672780', b'D3-89081**********************\trssi:-53\r\n', '')
('14:55:11.672780', b'D3-89074**********************\trssi:-54\r\n', '')
('14:55:11.672780', b'D3-89077**********************\trssi:-54\r\n', '')
