('14:57:25.498525', b'b-dur: 29968\r\n', '')
('14:57:25.498525', b'S\r\n', '')
('14:57:25.563564', b'D3-160************************\trssi:-43\r\n', '')
('14:57:25.567527', b'D3-161************************\trssi:-43\r\n', '')
('14:57:25.571574', b'D3-162************************\trssi:-43\r\n', '')
('14:57:25.574567', b'D3-163************************\trssi:-43\r\n', '')
('14:57:25.575567', b's-dur: 64135\r\n', '')
('14:57:25.576573', b'S\r\n', '')
('14:57:25.614638', b'D3-168************************\trssi:-42\r\n', '')
('14:57:25.633109', b'D3-165************************\trssi:-44\r\n', '')
('14:57:25.636154', b'D3-166************************\trssi:-44\r\n', '')
('14:57:25.640060', b'D3-167************************\trssi:-44\r\n', '')
('14:57:25.641296', b's-dur: 64472\r\n', '')
('14:57:25.641296', b'S\r\n', '')
('14:57:25.683234', b'D3-172************************\trssi:-44\r\n', '')
('14:57:25.683234', b'D3-170************************\trssi:-45\r\n', '')
('14:57:25.698869', b'D3-171************************\trssi:-45\r\n', '')
('14:57:25.698869', b'D3-173************************\trssi:-45\r\n', '')
('14:57:25.698869', b's-dur: 64460\r\n', '')
('14:57:25.698869', b'>\r\n', 'sent:64-47*')
('14:57:25.738428', b'b-dur: 41258\r\n', '')
('14:57:25.738428', b'>\r\n', 'sent:64-48*')
('14:57:25.767373', b'b-dur: 28961\r\n', '')
('14:57:25.767373', b'S\r\n', '')
('14:57:25.830156', b'D3-181************************\trssi:-44\r\n', '')
('14:57:25.834347', b'D3-182************************\trssi:-44\r\n', '')
('14:57:25.838300', b'D3-183************************\trssi:-44\r\n', '')
('14:57:25.841416', b'D3-184************************\trssi:-45\r\n', '')
('14:57:25.845540', b'D3-180************************\trssi:-46\r\n', '')
('14:57:25.846587', b's-dur: 67724\r\n', '')
('14:57:25.846587', b'>\r\n', 'sent:64-49*')
('14:57:25.874414', b'b-dur: 38031\r\n', '')
('14:57:25.874795', b'>\r\n', 'sent:64-50*')
('14:57:25.900230', b'b-dur: 28962\r\n', '')
('14:57:25.900230', b'>\r\n', 'sent:64-51*')
('14:57:25.933092', b'b-dur: 29964\r\n', '')
('14:57:25.933092', b'>\r\n', 'sent:64-52*')
('14:57:25.962379', b'b-dur: 28964\r\n', '')
('14:57:25.962379', b'S\r\n', '')
('14:57:26.016080', b'D3-195************************\trssi:-45\r\n', '')
('14:57:26.016080', b'D3-196************************\trssi:-45\r\n', '')
('14:57:26.031851', b'D3-197************************\trssi:-45\r\n', '')
('14:57:26.035851', b'D3-198************************\trssi:-45\r\n', '')
('14:57:26.040419', b'D3-199************************\trssi:-45\r\n', '')
('14:57:26.041429', b's-dur: 67681\r\n', '')
('14:57:26.041429', b'>\r\n', 'sent:64-53*')
('14:57:26.070348', b'b-dur: 39074\r\n', '')
('14:57:26.070348', b'S\r\n', '')
('14:57:26.133679', b'D3-207************************\trssi:-44\r\n', '')
('14:57:26.137667', b'D3-204************************\trssi:-45\r\n', '')
('14:57:26.141588', b'D3-205************************\trssi:-45\r\n', '')
('14:57:26.144637', b'D3-206************************\trssi:-45\r\n', '')
('14:57:26.145605', b's-dur: 64180\r\n', '')
('14:57:26.146602', b'>\r\n', 'sent:64-54*')
('14:57:26.166370', b'b-dur: 39572\r\n', '')
('14:57:26.166370', b'>\r\n', 'sent:64-55*')
('14:57:26.197654', b'b-dur: 29962\r\n', '')
('14:57:26.197654', b'>\r\n', 'sent:64-56*')
('14:57:26.234574', b'b-dur: 28964\r\n', '')
('14:57:26.234574', b'S\r\n', '')
('14:57:26.283793', b'D3-216************************\trssi:-43\r\n', '')
