('14:29:45.927225', b'D3-75796**********************\trssi:-45\r\n', '')
('14:29:45.927930', b's-dur: 67757\r\n', '')
('14:29:45.927930', b'>\r\n', 'sent:100-10916*')
('14:29:45.948288', b'b-dur: 38995\r\n', '')
('14:29:45.948288', b'>\r\n', 'sent:100-10917*')
('14:29:45.979823', b'b-dur: 29960\r\n', '')
('14:29:45.979823', b'S\r\n', '')
('14:29:46.051358', b'D3-75812**********************\trssi:-41\r\n', '')
('14:29:46.054257', b'D3-75807**********************\trssi:-42\r\n', '')
('14:29:46.058246', b'D3-75809**********************\trssi:-43\r\n', '')
('14:29:46.061238', b'D3-75810**********************\trssi:-43\r\n', '')
('14:29:46.065398', b'D3-75811**********************\trssi:-43\r\n', '')
('14:29:46.065398', b'D3-75808**********************\trssi:-44\r\n', '')
('14:29:46.065398', b's-dur: 71288\r\n', '')
('14:29:46.065398', b'>\r\n', 'sent:100-10918*')
('14:29:46.099208', b'b-dur: 39468\r\n', '')
('14:29:46.099962', b'S\r\n', '')
('14:29:46.162723', b'D3-75822**********************\trssi:-39\r\n', '')
('14:29:46.162723', b'D3-75823**********************\trssi:-40\r\n', '')
('14:29:46.162723', b'D3-75818**********************\trssi:-41\r\n', '')
('14:29:46.162723', b'D3-75819**********************\trssi:-41\r\n', '')
('14:29:46.162723', b'D3-75820**********************\trssi:-41\r\n', '')
('14:29:46.178346', b'D3-75821**********************\trssi:-41\r\n', '')
('14:29:46.178346', b's-dur: 71242\r\n', '')
('14:29:46.178346', b'>\r\n', 'sent:100-10919*')
('14:29:46.211231', b'b-dur: 39510\r\n', '')
('14:29:46.212246', b'>\r\n', 'sent:100-10920*')
('14:29:46.241120', b'b-dur: 29961\r\n', '')
('14:29:46.242110', b'>\r\n', 'sent:100-10921*')
('14:29:46.265321', b'b-dur: 28963\r\n', '')
('14:29:46.265321', b'>\r\n', 'sent:100-10922*')
('14:29:46.301305', b'b-dur: 30964\r\n', '')
('14:29:46.302271', b'>\r\n', 'sent:100-10923*')
('14:29:46.332024', b'b-dur: 30964\r\n', '')
('14:29:46.333017', b'S\r\n', '')
('14:29:46.394218', b'D3-75842**********************\trssi:-43\r\n', '')
('14:29:46.394218', b'D3-75843**********************\trssi:-43\r\n', '')
('14:29:46.394218', b'D3-75844**********************\trssi:-43\r\n', '')
('14:29:46.394218', b'D3-75845**********************\trssi:-44\r\n', '')
('14:29:46.410353', b'D3-75846**********************\trssi:-44\r\n', '')
('14:29:46.410353', b's-dur: 67688\r\n', '')
('14:29:46.411365', b'S\r\n', '')
('14:29:46.463764', b'D3-75850**********************\trssi:-42\r\n', '')
('14:29:46.463764', b'D3-75852**********************\trssi:-42\r\n', '')
('14:29:46.463764', b'D3-75853**********************\trssi:-42\r\n', '')
('14:29:46.463764', b'D3-75849**********************\trssi:-43\r\n', '')
('14:29:46.479357', b'D3-75851**********************\trssi:-43\r\n', '')
('14:29:46.479357', b'D3-75854**********************\trssi:-43\r\n', '')
