('16:53:54.216481', b's-dur: 139042\r\n', '')
('16:53:54.216481', b'>\r\n', 'sent:120-12*')
('16:53:54.247740', b'b-dur: 41624\r\n', '')
('16:53:54.247740', b'S\r\n', '')
('16:53:54.301407', b'D3-51415**********************\trssi:-40\r\n', '')
('16:53:54.301407', b'D3-51411**********************\trssi:-41\r\n', '')
('16:53:54.316912', b'D3-51413**********************\trssi:-41\r\n', '')
('16:53:54.316912', b'D3-51419**********************\trssi:-41\r\n', '')
('16:53:54.316912', b'D3-51429**********************\trssi:-41\r\n', '')
('16:53:54.316912', b'D3-51430**********************\trssi:-41\r\n', '')
('16:53:54.332379', b'D3-51407**********************\trssi:-42\r\n', '')
('16:53:54.332379', b'D3-51408**********************\trssi:-42\r\n', '')
('16:53:54.332379', b'D3-51410**********************\trssi:-42\r\n', '')
('16:53:54.332379', b'D3-51412**********************\trssi:-42\r\n', '')
('16:53:54.348173', b'D3-51418**********************\trssi:-42\r\n', '')
('16:53:54.348173', b'D3-51420**********************\trssi:-42\r\n', '')
('16:53:54.354178', b'D3-51421**********************\trssi:-42\r\n', '')
('16:53:54.354178', b'D3-51422**********************\trssi:-42\r\n', '')
('16:53:54.354178', b'D3-51423**********************\trssi:-42\r\n', '')
('16:53:54.354178', b'D3-51424**********************\trssi:-42\r\n', '')
('16:53:54.369803', b'D3-51425**********************\trssi:-42\r\n', '')
('16:53:54.369803', b'D3-51427**********************\trssi:-42\r\n', '')
('16:53:54.369803', b'D3-51428**********************\trssi:-42\r\n', '')
('16:53:54.369803', b'D3-51431**********************\trssi:-42\r\n', '')
('16:53:54.369803', b'D3-51432**********************\trssi:-42\r\n', '')
('16:53:54.385446', b'D3-51409**********************\trssi:-43\r\n', '')
('16:53:54.385446', b'D3-51414**********************\trssi:-43\r\n', '')
('16:53:54.385446', b'D3-51416**********************\trssi:-43\r\n', '')
('16:53:54.385446', b'D3-51417**********************\trssi:-43\r\n', '')
('16:53:54.401180', b'D3-51426**********************\trssi:-43\r\n', '')
('16:53:54.401180', b's-dur: 142684\r\n', '')
('16:53:54.401180', b'>\r\n', 'sent:120-13*')
('16:53:54.432311', b'b-dur: 38976\r\n', '')
('16:53:54.432311', b'>\r\n', 'sent:120-14*')
('16:53:54.454197', b'b-dur: 29958\r\n', '')
('16:53:54.454197', b'>\r\n', 'sent:120-15*')
('16:53:54.485736', b'b-dur: 29964\r\n', '')
('16:53:54.485736', b'>\r\n', 'sent:120-16*')
('16:53:54.516963', b'b-dur: 31964\r\n', '')
('16:53:54.516963', b'S\r\n', '')
('16:53:54.585488', b'D3-51532**********************\trssi:-41\r\n', '')
('16:53:54.585488', b'D3-51534**********************\trssi:-41\r\n', '')
('16:53:54.585488', b'D3-51538**********************\trssi:-41\r\n', '')
('16:53:54.585488', b'D3-51541**********************\trssi:-41\r\n', '')
('16:53:54.601118', b'D3-51543**********************\trssi:-41\r\n', '')
('16:53:54.601118', b'D3-51554**********************\trssi:-41\r\n', '')
('16:53:54.601118', b'D3-51555**********************\trssi:-41\r\n', '')
('16:53:54.601118', b'D3-51531**********************\trssi:-42\r\n', '')
('16:53:54.601118', b'D3-51536**********************\trssi:-42\r\n', '')
('16:53:54.616897', b'D3-51539**********************\trssi:-42\r\n', '')
('16:53:54.616897', b'D3-51540**********************\trssi:-42\r\n', '')
('16:53:54.616897', b'D3-51542**********************\trssi:-42\r\n', '')
('16:53:54.616897', b'D3-51545**********************\trssi:-42\r\n', '')
('16:53:54.632351', b'D3-51546**********************\trssi:-42\r\n', '')
('16:53:54.632351', b'D3-51547**********************\trssi:-42\r\n', '')
('16:53:54.632351', b'D3-51549**********************\trssi:-42\r\n', '')
('16:53:54.632351', b'D3-51550**********************\trssi:-42\r\n', '')
('16:53:54.648149', b'D3-51551**********************\trssi:-42\r\n', '')
('16:53:54.648149', b'D3-51552**********************\trssi:-42\r\n', '')
('16:53:54.654154', b'D3-51553**********************\trssi:-42\r\n', '')
('16:53:54.654154', b'D3-51556**********************\trssi:-42\r\n', '')
('16:53:54.654154', b'D3-51557**********************\trssi:-42\r\n', '')
('16:53:54.654154', b'D3-51558**********************\trssi:-42\r\n', '')
('16:53:54.669963', b'D3-51533**********************\trssi:-43\r\n', '')
('16:53:54.669963', b'D3-51535**********************\trssi:-43\r\n', '')
('16:53:54.669963', b'D3-51537**********************\trssi:-43\r\n', '')
('16:53:54.669963', b'D3-51544**********************\trssi:-43\r\n', '')
('16:53:54.669963', b'D3-51548**********************\trssi:-43\r\n', '')
('16:53:54.669963', b's-dur: 149761\r\n', '')
('16:53:54.685422', b'S\r\n', '')
('16:53:54.732268', b'D3-51606**********************\trssi:-41\r\n', '')
('16:53:54.732268', b'D3-51613**********************\trssi:-41\r\n', '')
('16:53:54.732268', b'D3-51616**********************\trssi:-41\r\n', '')
('16:53:54.748080', b'D3-51623**********************\trssi:-41\r\n', '')
('16:53:54.748080', b'D3-51602**********************\trssi:-42\r\n', '')
('16:53:54.754098', b'D3-51603**********************\trssi:-42\r\n', '')
('16:53:54.754098', b'D3-51604**********************\trssi:-42\r\n', '')
('16:53:54.754098', b'D3-51607**********************\trssi:-42\r\n', '')
('16:53:54.754098', b'D3-51608**********************\trssi:-42\r\n', '')
('16:53:54.769908', b'D3-51611**********************\trssi:-42\r\n', '')
('16:53:54.769908', b'D3-51612**********************\trssi:-42\r\n', '')
('16:53:54.769908', b'D3-51614**********************\trssi:-42\r\n', '')
('16:53:54.769908', b'D3-51615**********************\trssi:-42\r\n', '')
('16:53:54.785367', b'D3-51618**********************\trssi:-42\r\n', '')
('16:53:54.785367', b'D3-51620**********************\trssi:-42\r\n', '')
('16:53:54.785367', b'D3-51622**********************\trssi:-42\r\n', '')
('16:53:54.785367', b'D3-51625**********************\trssi:-42\r\n', '')
('16:53:54.785367', b'D3-51601**********************\trssi:-43\r\n', '')
('16:53:54.801073', b'D3-51605**********************\trssi:-43\r\n', '')
('16:53:54.801073', b'D3-51609**********************\trssi:-43\r\n', '')
('16:53:54.801073', b'D3-51610**********************\trssi:-43\r\n', '')
('16:53:54.801073', b'D3-51617**********************\trssi:-43\r\n', '')
('16:53:54.816588', b'D3-51619**********************\trssi:-43\r\n', '')
('16:53:54.816588', b'D3-51621**********************\trssi:-43\r\n', '')
('16:53:54.816588', b'D3-51624**********************\trssi:-43\r\n', '')
('16:53:54.816588', b's-dur: 139481\r\n', '')
('16:53:54.816588', b'>\r\n', 'sent:120-17*')
('16:53:54.854061', b'b-dur: 40124\r\n', '')
('16:53:54.854061', b'S\r\n', '')
('16:53:54.916550', b'D3-51686**********************\trssi:-43\r\n', '')
('16:53:54.916550', b'D3-51688**********************\trssi:-43\r\n', '')
('16:53:54.916550', b'D3-51691**********************\trssi:-43\r\n', '')
('16:53:54.916550', b'D3-51694**********************\trssi:-43\r\n', '')
('16:53:54.932200', b'D3-51695**********************\trssi:-43\r\n', '')
('16:53:54.932200', b'D3-51699**********************\trssi:-43\r\n', '')
('16:53:54.932200', b'D3-51700**********************\trssi:-43\r\n', '')
('16:53:54.932200', b'D3-51702**********************\trssi:-43\r\n', '')
('16:53:54.947793', b'D3-51704**********************\trssi:-43\r\n', '')
('16:53:54.947793', b'D3-51684**********************\trssi:-44\r\n', '')
('16:53:54.954304', b'D3-51685**********************\trssi:-44\r\n', '')
('16:53:54.954304', b'D3-51687**********************\trssi:-44\r\n', '')
('16:53:54.954304', b'D3-51689**********************\trssi:-44\r\n', '')
('16:53:54.954304', b'D3-51690**********************\trssi:-44\r\n', '')
('16:53:54.954304', b'D3-51692**********************\trssi:-44\r\n', '')
('16:53:54.970123', b'D3-51693**********************\trssi:-44\r\n', '')
('16:53:54.970123', b'D3-51696**********************\trssi:-44\r\n', '')
('16:53:54.970123', b'D3-51697**********************\trssi:-44\r\n', '')
('16:53:54.970123', b'D3-51698**********************\trssi:-44\r\n', '')
('16:53:54.985550', b'D3-51701**********************\trssi:-44\r\n', '')
('16:53:54.985550', b'D3-51703**********************\trssi:-44\r\n', '')
('16:53:54.985550', b'D3-51683**********************\trssi:-45\r\n', '')
('16:53:54.985550', b's-dur: 128324\r\n', '')
('16:53:54.985550', b'S\r\n', '')
('16:53:55.048183', b'D3-51745**********************\trssi:-43\r\n', '')
('16:53:55.048183', b'D3-51768**********************\trssi:-43\r\n', '')
('16:53:55.054202', b'D3-51744**********************\trssi:-44\r\n', '')
('16:53:55.054202', b'D3-51747**********************\trssi:-44\r\n', '')
('16:53:55.054202', b'D3-51749**********************\trssi:-44\r\n', '')
('16:53:55.054202', b'D3-51751**********************\trssi:-44\r\n', '')
('16:53:55.070018', b'D3-51753**********************\trssi:-44\r\n', '')
('16:53:55.070018', b'D3-51754**********************\trssi:-44\r\n', '')
('16:53:55.070018', b'D3-51755**********************\trssi:-44\r\n', '')
('16:53:55.070018', b'D3-51756**********************\trssi:-44\r\n', '')
('16:53:55.070018', b'D3-51757**********************\trssi:-44\r\n', '')
('16:53:55.085470', b'D3-51758**********************\trssi:-44\r\n', '')
('16:53:55.085470', b'D3-51760**********************\trssi:-44\r\n', '')
('16:53:55.085470', b'D3-51761**********************\trssi:-44\r\n', '')
('16:53:55.085470', b'D3-51762**********************\trssi:-44\r\n', '')
('16:53:55.101206', b'D3-51763**********************\trssi:-44\r\n', '')
('16:53:55.101206', b'D3-51764**********************\trssi:-44\r\n', '')
('16:53:55.101206', b'D3-51765**********************\trssi:-44\r\n', '')
('16:53:55.101206', b'D3-51766**********************\trssi:-44\r\n', '')
('16:53:55.116873', b'D3-51767**********************\trssi:-44\r\n', '')
('16:53:55.116873', b'D3-51769**********************\trssi:-44\r\n', '')
('16:53:55.116873', b'D3-51770**********************\trssi:-44\r\n', '')
('16:53:55.116873', b'D3-51746**********************\trssi:-45\r\n', '')
('16:53:55.116873', b'D3-51748**********************\trssi:-45\r\n', '')
('16:53:55.132336', b'D3-51750**********************\trssi:-45\r\n', '')
('16:53:55.132336', b'D3-51752**********************\trssi:-45\r\n', '')
('16:53:55.132336', b'D3-51759**********************\trssi:-45\r\n', '')
('16:53:55.132336', b's-dur: 146663\r\n', '')
('16:53:55.132336', b'S\r\n', '')
('16:53:55.185755', b'D3-51816**********************\trssi:-42\r\n', '')
('16:53:55.201189', b'D3-51810**********************\trssi:-43\r\n', '')
('16:53:55.201189', b'D3-51811**********************\trssi:-43\r\n', '')
('16:53:55.201189', b'D3-51812**********************\trssi:-43\r\n', '')
('16:53:55.201189', b'D3-51817**********************\trssi:-43\r\n', '')
('16:53:55.201189', b'D3-51818**********************\trssi:-43\r\n', '')
('16:53:55.216894', b'D3-51821**********************\trssi:-43\r\n', '')
('16:53:55.216894', b'D3-51826**********************\trssi:-43\r\n', '')
('16:53:55.216894', b'D3-51827**********************\trssi:-43\r\n', '')
('16:53:55.216894', b'D3-51830**********************\trssi:-43\r\n', '')
('16:53:55.232329', b'D3-51813**********************\trssi:-44\r\n', '')
('16:53:55.232329', b'D3-51814**********************\trssi:-44\r\n', '')
('16:53:55.232329', b'D3-51815**********************\trssi:-44\r\n', '')
('16:53:55.232329', b'D3-51819**********************\trssi:-44\r\n', '')
('16:53:55.248020', b'D3-51820**********************\trssi:-44\r\n', '')
('16:53:55.248020', b'D3-51822**********************\trssi:-44\r\n', '')
('16:53:55.254727', b'D3-51823**********************\trssi:-44\r\n', '')
('16:53:55.254727', b'D3-51824**********************\trssi:-44\r\n', '')
('16:53:55.254727', b'D3-51825**********************\trssi:-44\r\n', '')
('16:53:55.254727', b'D3-51828**********************\trssi:-44\r\n', '')
('16:53:55.254727', b'D3-51829**********************\trssi:-44\r\n', '')
('16:53:55.270383', b'D3-51831**********************\trssi:-44\r\n', '')
('16:53:55.270383', b'D3-51832**********************\trssi:-44\r\n', '')
('16:53:55.270383', b'D3-51833**********************\trssi:-44\r\n', '')
('16:53:55.270383', b'D3-51834**********************\trssi:-44\r\n', '')
('16:53:55.286157', b'D3-51835**********************\trssi:-44\r\n', '')
('16:53:55.286157', b'D3-51836**********************\trssi:-44\r\n', '')
('16:53:55.286157', b's-dur: 146943\r\n', '')
('16:53:55.286157', b'>\r\n', 'sent:120-18*')
('16:53:55.317508', b'b-dur: 41132\r\n', '')
('16:53:55.317508', b'>\r\n', 'sent:120-19*')
('16:53:55.348753', b'b-dur: 27958\r\n', '')
('16:53:55.348753', b'S\r\n', '')
('16:53:55.402106', b'D3-51907**********************\trssi:-42\r\n', '')
('16:53:55.417453', b'D3-51909**********************\trssi:-42\r\n', '')
