('15:59:28.750483', b'>\r\n', 'sent:50-76*')
('15:59:28.780419', b'b-dur: 29964\r\n', '')
('15:59:28.781415', b'>\r\n', 'sent:50-77*')
('15:59:28.798541', b'b-dur: 29964\r\n', '')
('15:59:28.798541', b'>\r\n', 'sent:50-78*')
('15:59:28.830031', b'b-dur: 28964\r\n', '')
('15:59:28.830031', b'>\r\n', 'sent:50-79*')
('15:59:28.870114', b'b-dur: 29964\r\n', '')
('15:59:28.870114', b'S\r\n', '')
('15:59:28.928948', b'D3-156************************\trssi:-44\r\n', '')
('15:59:28.928948', b'D3-154************************\trssi:-45\r\n', '')
('15:59:28.928948', b'D3-155************************\trssi:-46\r\n', '')
('15:59:28.928948', b's-dur: 61300\r\n', '')
('15:59:28.928948', b'S\r\n', '')
('15:59:28.995157', b'D3-158************************\trssi:-44\r\n', '')
('15:59:28.999194', b'D3-159************************\trssi:-45\r\n', '')
('15:59:29.000188', b's-dur: 61506\r\n', '')
('15:59:29.000188', b'>\r\n', 'sent:50-80*')
('15:59:29.016761', b'b-dur: 36652\r\n', '')
('15:59:29.016761', b'>\r\n', 'sent:50-81*')
('15:59:29.060126', b'b-dur: 29960\r\n', '')
('15:59:29.060126', b'>\r\n', 'sent:50-82*')
('15:59:29.090172', b'b-dur: 29964\r\n', '')
('15:59:29.090172', b'>\r\n', 'sent:50-83*')
('15:59:29.115135', b'b-dur: 29964\r\n', '')
('15:59:29.115135', b'S\r\n', '')
('15:59:29.182245', b'D3-167************************\trssi:-45\r\n', '')
('15:59:29.182245', b'D3-168************************\trssi:-45\r\n', '')
('15:59:29.182245', b'D3-169************************\trssi:-46\r\n', '')
('15:59:29.182245', b's-dur: 61326\r\n', '')
('15:59:29.182245', b'>\r\n', 'sent:50-84*')
('15:59:29.213766', b'b-dur: 39163\r\n', '')
('15:59:29.213766', b'>\r\n', 'sent:50-85*')
('15:59:29.250310', b'b-dur: 29960\r\n', '')
('15:59:29.250310', b'>\r\n', 'sent:50-86*')
('15:59:29.283298', b'b-dur: 31964\r\n', '')
('15:59:29.283298', b'S\r\n', '')
('15:59:29.346348', b'D3-176************************\trssi:-44\r\n', '')
('15:59:29.349352', b'D3-175************************\trssi:-45\r\n', '')
('15:59:29.352380', b'D3-177************************\trssi:-45\r\n', '')
('15:59:29.353380', b's-dur: 61285\r\n', '')
('15:59:29.354377', b'>\r\n', 'sent:50-87*')
('15:59:29.386183', b'b-dur: 41205\r\n', '')
('15:59:29.386461', b'>\r\n', 'sent:50-88*')
('15:59:29.415296', b'b-dur: 29960\r\n', '')
('15:59:29.415296', b'S\r\n', '')
('15:59:29.479203', b'D3-182************************\trssi:-46\r\n', '')
('15:59:29.483188', b'D3-183************************\trssi:-46\r\n', '')
('15:59:29.485183', b'D3-184************************\trssi:-46\r\n', '')
('15:59:29.486180', b's-dur: 61302\r\n', '')
('15:59:29.487177', b'S\r\n', '')
('15:59:29.529966', b'D3-185************************\trssi:-46\r\n', '')
('15:59:29.545310', b'D3-186************************\trssi:-46\r\n', '')
('15:59:29.547547', b'D3-187************************\trssi:-46\r\n', '')
('15:59:29.548545', b's-dur: 61600\r\n', '')
('15:59:29.549542', b'S\r\n', '')
