('17:49:37.822977', '2-288')
('17:49:37.916698', '2-289')
('17:49:37.947697', '2-290')
('17:49:38.041660', '2-291')
('17:49:38.135402', '2-292')
('17:49:38.229137', '2-293')
('17:49:38.494707', '2-294')
('17:49:38.525941', '2-295')
('17:49:38.619645', '2-296')
('17:49:38.713140', '2-297')
('17:49:38.853909', '2-298')
('17:49:39.259871', '2-299')
('17:49:39.291383', '2-300')
('17:49:39.494482', '2-301')
('17:49:40.072467', '2-302')
('17:49:40.291156', '2-303')
('17:49:40.384887', '2-304')
('17:49:40.775436', '2-305')
('17:49:41.040984', '2-306')
('17:49:41.197203', '2-307')
('17:49:41.290924', '2-308')
('17:49:41.384615', '2-309')
('17:49:41.415889', '2-310')
('17:49:41.681478', '2-311')
('17:49:41.837646', '2-312')
('17:49:41.868643', '2-313')
('17:49:42.009526', '2-314')
('17:49:42.415423', '2-315')
('17:49:42.746050', '2-316')
('17:49:42.840055', '2-317')
('17:49:43.121221', '2-318')
('17:49:43.324336', '2-319')
('17:49:43.553514', '2-320')
('17:49:43.823918', '2-321')
('17:49:44.027002', '2-322')
('17:49:44.370461', '2-323')
('17:49:44.401913', '2-324')
('17:49:44.604987', '2-325')
('17:49:44.886085', '2-326')
('17:49:45.042412', '2-327')
('17:49:45.136027', '2-328')
('17:49:45.339197', '2-329')
('17:49:45.370286', '2-330')
('17:49:45.401699', '2-331')
('17:49:45.729748', '2-332')
('17:49:45.838805', '2-333')
('17:49:45.854722', '2-334')
('17:49:46.135612', '2-335')
('17:49:46.167131', '2-336')
('17:49:46.260861', '2-337')
('17:49:46.292102', '2-338')
('17:49:46.448333', '2-339')
('17:49:46.666741', '2-340')
('17:49:47.673778', '2-341')
('17:49:47.689690', '2-342')
('17:49:47.724778', '2-343')
('17:49:48.005952', '2-344')
('17:49:48.146573', '2-345')
('17:49:48.240302', '2-346')
('17:49:48.334012', '2-347')
('17:49:48.365179', '2-348')
('17:49:48.396514', '2-349')
('17:49:48.849536', '2-350')
('17:49:48.880506', '2-351')
('17:49:48.974441', '2-352')
('17:49:49.193197', '2-353')
('17:49:49.224169', '2-354')
('17:49:49.302486', '2-355')
('17:49:49.763097', '2-356')
('17:49:50.216119', '2-357')
('17:49:50.372355', '2-358')
('17:49:50.466073', '2-359')
('17:49:50.622298', '2-360')
('17:49:50.840978', '2-361')
('17:49:51.653288', '2-362')
('17:49:51.934198', '2-363')
('17:49:52.075071', '2-364')
('17:49:52.231275', '2-365')
('17:49:52.262268', '2-366')
('17:49:52.403095', '2-367')
('17:49:52.496845', '2-368')
('17:49:52.528087', '2-369')
('17:49:52.928845', '2-370')
('17:49:52.960089', '2-371')
('17:49:52.975724', '2-372')
('17:49:53.209748', '2-373')
('17:49:53.475589', '2-374')
('17:49:53.569213', '2-375')
('17:49:53.772414', '2-376')
('17:49:53.803635', '2-377')
('17:49:53.897133', '2-378')
('17:49:53.991099', '2-379')
('17:49:54.147312', '2-380')
('17:49:54.178274', '2-381')
('17:49:54.256674', '2-382')
('17:49:54.287902', '2-383')
('17:49:54.319112', '2-384')
('17:49:54.412874', '2-385')
('17:49:54.490978', '2-386')
('17:49:54.522227', '2-387')
('17:49:54.553476', '2-388')
('17:49:54.709694', '2-389')
('17:49:54.803199', '2-390')
('17:49:54.943999', '2-391')
('17:49:54.975150', '2-392')
('17:49:55.490764', '2-393')
