('10:49:10.235119', b'D1-122************************\trssi:-11\r\n', '')
('10:49:10.238021', b'D1-123************************\trssi:-11\r\n', '')
('10:49:10.238982', b'>\r\n', 'sent:2-156*')
('10:49:10.325994', b'D1-124************************\trssi:-10\r\n', '')
('10:49:10.386992', b'D1-125************************\trssi:-10\r\n', '')
('10:49:10.387095', b'>\r\n', 'sent:2-157*')
('10:49:10.408995', b'>\r\n', 'sent:2-158*')
('10:49:10.556953', b'D1-126************************\trssi:-10\r\n', '')
('10:49:10.678071', b'D1-127************************\trssi:-11\r\n', '')
('10:49:10.736040', b'>\r\n', 'sent:2-159*')
('10:49:10.757995', b'>\r\n', 'sent:2-160*')
('10:49:10.844996', b'D1-128************************\trssi:-10\r\n', '')
('10:49:10.905981', b'D1-129************************\trssi:-11\r\n', '')
('10:49:10.906080', b'>\r\n', 'sent:2-161*')
('10:49:10.992941', b'D1-130************************\trssi:-10\r\n', '')
('10:49:11.054000', b'D1-131************************\trssi:-10\r\n', '')
('10:49:11.057025', b'D1-132************************\trssi:-10\r\n', '')
('10:49:11.112041', b'>\r\n', 'sent:2-162*')
('10:49:11.198988', b'D1-133************************\trssi:-11\r\n', '')
('10:49:11.321094', b'D1-135************************\trssi:-10\r\n', '')
('10:49:11.323996', b'D1-134************************\trssi:-11\r\n', '')
('10:49:11.325098', b'>\r\n', 'sent:2-163*')
('10:49:11.469026', b'>\r\n', 'sent:2-164*')
('10:49:11.490991', b'>\r\n', 'sent:2-165*')
('10:49:11.513152', b'>\r\n', 'sent:2-166*')
('10:49:11.596001', b'>\r\n', 'sent:2-167*')
('10:49:11.613968', b'>\r\n', 'sent:2-168*')
('10:49:11.635000', b'>\r\n', 'sent:2-169*')
('10:49:11.721976', b'D1-138************************\trssi:-10\r\n', '')
('10:49:11.783121', b'D1-139************************\trssi:-10\r\n', '')
('10:49:11.786936', b'D1-140************************\trssi:-11\r\n', '')
('10:49:11.905007', b'D1-142************************\trssi:-12\r\n', '')
('10:49:11.965990', b'D1-143************************\trssi:-10\r\n', '')
('10:49:11.966090', b'>\r\n', 'sent:2-170*')
('10:49:11.988055', b'>\r\n', 'sent:2-171*')
('10:49:12.071006', b'>\r\n', 'sent:2-172*')
('10:49:12.154016', b'>\r\n', 'sent:2-173*')
('10:49:12.175992', b'>\r\n', 'sent:2-174*')
('10:49:12.198026', b'>\r\n', 'sent:2-175*')
('10:49:12.281037', b'>\r\n', 'sent:2-176*')
('10:49:12.364032', b'>\r\n', 'sent:2-177*')
('10:49:12.512062', b'D1-145************************\trssi:-11\r\n', '')
('10:49:12.514977', b'D1-146************************\trssi:-11\r\n', '')
('10:49:12.569014', b'>\r\n', 'sent:2-178*')
('10:49:12.655992', b'D1-147************************\trssi:-10\r\n', '')
('10:49:12.656094', b'>\r\n', 'sent:2-179*')
('10:49:12.742933', b'D1-148************************\trssi:-10\r\n', '')
('10:49:12.804016', b'D1-149************************\trssi:-10\r\n', '')
('10:49:12.804126', b'>\r\n', 'sent:2-180*')
('10:49:12.887030', b'>\r\n', 'sent:2-181*')
('10:49:12.973955', b'D1-150************************\trssi:-11\r\n', '')
('10:49:13.092042', b'>\r\n', 'sent:2-182*')
('10:49:13.114002', b'>\r\n', 'sent:2-183*')
('10:49:13.258014', b'>\r\n', 'sent:2-184*')
('10:49:13.339953', b'>\r\n', 'sent:2-185*')
('10:49:13.484145', b'>\r\n', 'sent:2-186*')
('10:49:13.504961', b'>\r\n', 'sent:2-187*')
('10:49:13.588979', b'>\r\n', 'sent:2-188*')
('10:49:13.733015', b'>\r\n', 'sent:2-189*')
('10:49:13.755011', b'>\r\n', 'sent:2-190*')
('10:49:13.774007', b'>\r\n', 'sent:2-191*')
('10:49:13.857977', b'>\r\n', 'sent:2-192*')
('10:49:14.066003', b'D1-154************************\trssi:-10\r\n', '')
('10:49:14.069969', b'D1-155************************\trssi:-10\r\n', '')
('10:49:14.127942', b'D1-158************************\trssi:-10\r\n', '')
('10:49:14.131104', b'D1-156************************\trssi:-11\r\n', '')
('10:49:14.134944', b'D1-157************************\trssi:-11\r\n', '')
('10:49:14.250085', b'D1-159************************\trssi:-11\r\n', '')
('10:49:14.250188', b'>\r\n', 'sent:2-193*')
('10:49:14.398061', b'D1-160************************\trssi:-10\r\n', '')
('10:49:14.400976', b'D1-161************************\trssi:-10\r\n', '')
('10:49:14.401070', b'>\r\n', 'sent:2-194*')
('10:49:14.487949', b'D1-162************************\trssi:-11\r\n', '')
('10:49:14.488051', b'>\r\n', 'sent:2-195*')
('10:49:14.574918', b'D1-164************************\trssi:-10\r\n', '')
('10:49:14.578093', b'D1-163************************\trssi:-12\r\n', '')
('10:49:14.636042', b'D1-166************************\trssi:-10\r\n', '')
('10:49:14.640016', b'D1-167************************\trssi:-10\r\n', '')
('10:49:14.642973', b'D1-165************************\trssi:-11\r\n', '')
('10:49:14.643063', b'>\r\n', 'sent:2-196*')
('10:49:14.725970', b'>\r\n', 'sent:2-197*')
('10:49:14.813082', b'D1-170************************\trssi:-10\r\n', '')
('10:49:14.813188', b'>\r\n', 'sent:2-198*')
('10:49:14.834997', b'>\r\n', 'sent:2-199*')
('10:49:14.982920', b'D1-171************************\trssi:-10\r\n', '')
('10:49:15.044081', b'D1-173************************\trssi:-11\r\n', '')
('10:49:15.046978', b'D1-174************************\trssi:-11\r\n', '')
('10:49:15.101012', b'>\r\n', 'sent:2-200*')
('10:49:15.187934', b'D1-175************************\trssi:-10\r\n', '')
('10:49:15.244956', b'>\r\n', 'sent:2-201*')
('10:49:15.330085', b'D1-178************************\trssi:-10\r\n', '')
('10:49:15.332989', b'D1-177************************\trssi:-11\r\n', '')
('10:49:15.570025', b'>\r\n', 'sent:2-202*')
('10:49:15.652994', b'>\r\n', 'sent:2-203*')
('10:49:15.739944', b'D1-179************************\trssi:-10\r\n', '')
('10:49:15.740048', b'>\r\n', 'sent:2-204*')
('10:49:15.761299', b'>\r\n', 'sent:2-205*')
('10:49:15.782990', b'>\r\n', 'sent:2-206*')
('10:49:15.991105', b'D1-180************************\trssi:-10\r\n', '')
('10:49:15.994943', b'D1-181************************\trssi:-11\r\n', '')
('10:49:15.995035', b'>\r\n', 'sent:2-207*')
