('10:49:08.107033', b'D2-133************************\trssi:-21\r\n', '')
('10:49:08.108019', b'>\r\n', 'sent:1-102*')
('10:49:08.191041', b'>\r\n', 'sent:1-103*')
('10:49:08.213040', b'>\r\n', 'sent:1-104*')
('10:49:08.296068', b'>\r\n', 'sent:1-105*')
('10:49:08.443978', b'D2-134************************\trssi:-21\r\n', '')
('10:49:08.684045', b'>\r\n', 'sent:1-106*')
('10:49:08.771021', b'D2-136************************\trssi:-21\r\n', '')
('10:49:08.774959', b'D2-137************************\trssi:-21\r\n', '')
('10:49:08.777988', b'D2-135************************\trssi:-22\r\n', '')
('10:49:08.832018', b'D2-138************************\trssi:-23\r\n', '')
('10:49:08.835960', b'D2-139************************\trssi:-23\r\n', '')
('10:49:08.836027', b'>\r\n', 'sent:1-107*')
('10:49:08.923961', b'D2-141************************\trssi:-22\r\n', '')
('10:49:08.924059', b'>\r\n', 'sent:1-108*')
('10:49:09.071914', b'D2-142************************\trssi:-23\r\n', '')
('10:49:09.071988', b'>\r\n', 'sent:1-109*')
('10:49:09.215034', b'>\r\n', 'sent:1-110*')
('10:49:09.297053', b'>\r\n', 'sent:1-111*')
('10:49:09.444165', b'D2-147************************\trssi:-22\r\n', '')
('10:49:09.448006', b'D2-146************************\trssi:-23\r\n', '')
('10:49:09.505974', b'D2-148************************\trssi:-23\r\n', '')
('10:49:09.506073', b'>\r\n', 'sent:1-112*')
('10:49:09.593235', b'D2-149************************\trssi:-22\r\n', '')
('10:49:09.653986', b'D2-150************************\trssi:-23\r\n', '')
('10:49:09.657018', b'D2-151************************\trssi:-23\r\n', '')
('10:49:09.657982', b'>\r\n', 'sent:1-113*')
('10:49:09.744988', b'D2-152************************\trssi:-23\r\n', '')
('10:49:09.802051', b'>\r\n', 'sent:1-114*')
('10:49:09.824091', b'>\r\n', 'sent:1-115*')
('10:49:09.846152', b'>\r\n', 'sent:1-116*')
('10:49:09.929045', b'>\r\n', 'sent:1-117*')
('10:49:09.951033', b'>\r\n', 'sent:1-118*')
('10:49:09.973169', b'>\r\n', 'sent:1-119*')
('10:49:10.054041', b'>\r\n', 'sent:1-120*')
('10:49:10.076015', b'>\r\n', 'sent:1-121*')
('10:49:10.162973', b'D2-154************************\trssi:-23\r\n', '')
('10:49:10.166008', b'D2-155************************\trssi:-23\r\n', '')
('10:49:10.166967', b'>\r\n', 'sent:1-122*')
('10:49:10.190057', b'>\r\n', 'sent:1-123*')
('10:49:10.276998', b'D2-156************************\trssi:-23\r\n', '')
('10:49:10.277101', b'>\r\n', 'sent:1-124*')
('10:49:10.360036', b'>\r\n', 'sent:1-125*')
('10:49:10.446987', b'D2-157************************\trssi:-23\r\n', '')
('10:49:10.450015', b'D2-158************************\trssi:-23\r\n', '')
('10:49:10.504993', b'>\r\n', 'sent:1-126*')
('10:49:10.649027', b'>\r\n', 'sent:1-127*')
('10:49:10.797074', b'D2-160************************\trssi:-22\r\n', '')
('10:49:10.799980', b'D2-159************************\trssi:-23\r\n', '')
('10:49:10.800074', b'>\r\n', 'sent:1-128*')
('10:49:10.883027', b'>\r\n', 'sent:1-129*')
('10:49:10.969984', b'D2-161************************\trssi:-23\r\n', '')
('10:49:10.970090', b'>\r\n', 'sent:1-130*')
('10:49:10.992265', b'>\r\n', 'sent:1-131*')
('10:49:11.014029', b'>\r\n', 'sent:1-132*')
('10:49:11.161956', b'D2-162************************\trssi:-23\r\n', '')
('10:49:11.162065', b'>\r\n', 'sent:1-133*')
('10:49:11.245030', b'>\r\n', 'sent:1-134*')
('10:49:11.267136', b'>\r\n', 'sent:1-135*')
('10:49:11.354103', b'D2-163************************\trssi:-22\r\n', '')
('10:49:11.536156', b'D2-164************************\trssi:-22\r\n', '')
('10:49:11.540001', b'D2-165************************\trssi:-23\r\n', '')
('10:49:11.543939', b'D2-166************************\trssi:-23\r\n', '')
('10:49:11.594028', b'>\r\n', 'sent:1-136*')
('10:49:11.612037', b'>\r\n', 'sent:1-137*')
('10:49:11.695030', b'>\r\n', 'sent:1-138*')
('10:49:11.717007', b'>\r\n', 'sent:1-139*')
('10:49:11.738986', b'>\r\n', 'sent:1-140*')
('10:49:11.761072', b'>\r\n', 'sent:1-141*')
