('136.68548291699994', ('192.168.4.9', 8000), b'message: 49\r\n')
('138.18801729100005', ('192.168.4.4', 8000), b'message: 60\r\n')
('138.539083333', ('192.168.4.20', 8000), b'message: 16\r\n')
('138.92492744700007', ('192.168.4.4', 8000), b'message: 61\r\n')
('140.40489932200012', ('192.168.4.4', 8000), b'message: 62\r\n')
('140.7532026030001', ('192.168.4.9', 8000), b'message: 50\r\n')
('141.2867267690001', ('192.168.4.9', 8000), b'message: 51\r\n')
('141.59412275900013', ('192.168.4.20', 8000), b'message: 17\r\n')
('141.79091697800004', ('192.168.4.4', 8000), b'message: 63\r\n')
('144.41977005000012', ('192.168.4.20', 8000), b'message: 18\r\n')
('145.02750859100001', ('192.168.4.9', 8000), b'message: 52\r\n')
('145.79769640299992', ('192.168.4.9', 8000), b'message: 53\r\n')
('147.03184108999994', ('192.168.4.4', 8000), b'message: 64\r\n')
('147.13267687100006', ('192.168.4.20', 8000), b'message: 19\r\n')
('147.94714734000013', ('192.168.4.4', 8000), b'message: 65\r\n')
('148.24262791299998', ('192.168.4.20', 8000), b'message: 20\r\n')
('149.4383072349999', ('192.168.4.4', 8000), b'message: 66\r\n')
('149.53884327700007', ('192.168.4.20', 8000), b'message: 21\r\n')
('149.7099345270001', ('192.168.4.4', 8000), b'message: 67\r\n')
('150.4942119740001', ('192.168.4.4', 8000), b'message: 68\r\n')
('151.13995634899993', ('192.168.4.4', 8000), b'message: 69\r\n')
('152.0399935360001', ('192.168.4.20', 8000), b'message: 22\r\n')
('153.24202014999992', ('192.168.4.4', 8000), b'message: 70\r\n')
('155.28879171199992', ('192.168.4.20', 8000), b'message: 23\r\n')
('157.98460337799997', ('192.168.4.20', 8000), b'message: 24\r\n')
('159.19663775200002', ('192.168.4.20', 8000), b'message: 25\r\n')
('159.907431762', ('192.168.4.20', 8000), b'message: 26\r\n')
('162.1234323870001', ('192.168.4.4', 8000), b'message: 71\r\n')
('162.42397801099992', ('192.168.4.4', 8000), b'message: 72\r\n')
('163.22866519900003', ('192.168.4.20', 8000), b'message: 27\r\n')
('163.62924790700004', ('192.168.4.4', 8000), b'message: 73\r\n')
('164.06919764600002', ('192.168.4.4', 8000), b'message: 74\r\n')
('165.351495614', ('192.168.4.20', 8000), b'message: 28\r\n')
('168.23405030100002', ('192.168.4.4', 8000), b'message: 75\r\n')
('168.69668879000005', ('192.168.4.9', 8000), b'message: 0\r\n')
('169.3347701959999', ('192.168.4.9', 8000), b'message: 1\r\n')
('170.843807383', ('192.168.4.9', 8000), b'message: 2\r\n')
('171.499129779', ('192.168.4.9', 8000), b'message: 3\r\n')
('173.701992174', ('192.168.4.4', 8000), b'message: 76\r\n')
('174.01550285100006', ('192.168.4.9', 8000), b'message: 4\r\n')
('174.53062811099994', ('192.168.4.4', 8000), b'message: 77\r\n')
('174.63117607999993', ('192.168.4.9', 8000), b'message: 5\r\n')
('176.3482937870001', ('192.168.4.9', 8000), b'message: 6\r\n')
('177.42626321400007', ('192.168.4.4', 8000), b'message: 78\r\n')
('177.85974878699994', ('192.168.4.9', 8000), b'message: 7\r\n')
('178.72068295300005', ('192.168.4.9', 8000), b'message: 8\r\n')
('178.85713779699995', ('192.168.4.4', 8000), b'message: 79\r\n')
('179.52115321299993', ('192.168.4.4', 8000), b'message: 80\r\n')
('179.63566295300006', ('192.168.4.9', 8000), b'message: 9\r\n')
('180.78570967099995', ('192.168.4.4', 8000), b'message: 81\r\n')
('181.1456547749999', ('192.168.4.9', 8000), b'message: 10\r\n')
('181.39274248300012', ('192.168.4.9', 8000), b'message: 11\r\n')
('183.40638623299992', ('192.168.4.4', 8000), b'message: 82\r\n')
('183.80520097199997', ('192.168.4.9', 8000), b'message: 12\r\n')
('184.52976472199998', ('192.168.4.9', 8000), b'message: 13\r\n')
('185.541818315', ('192.168.4.9', 8000), b'message: 14\r\n')
('187.94748274099993', ('192.168.4.20', 8000), b'message: 0\r\n')
('188.99148961600008', ('192.168.4.9', 8000), b'message: 15\r\n')
('189.0920497720001', ('192.168.4.20', 8000), b'message: 1\r\n')
('189.4622082620001', ('192.168.4.4', 8000), b'message: 83\r\n')
('190.92849451100005', ('192.168.4.20', 8000), b'message: 2\r\n')
('192.4395316980001', ('192.168.4.4', 8000), b'message: 84\r\n')
('193.308307583', ('192.168.4.4', 8000), b'message: 85\r\n')
('193.47616846799997', ('192.168.4.20', 8000), b'message: 3\r\n')
('193.85867055099993', ('192.168.4.20', 8000), b'message: 4\r\n')
('194.21145201000013', ('192.168.4.20', 8000), b'message: 5\r\n')
('194.71987648899994', ('192.168.4.9', 8000), b'message: 16\r\n')
('195.16599227000006', ('192.168.4.9', 8000), b'message: 17\r\n')
('196.02215924899997', ('192.168.4.20', 8000), b'message: 6\r\n')
('196.3312792480001', ('192.168.4.4', 8000), b'message: 86\r\n')
('196.92474930000003', ('192.168.4.9', 8000), b'message: 18\r\n')
('197.02529404000006', ('192.168.4.4', 8000), b'message: 87\r\n')
('197.38555294599996', ('192.168.4.4', 8000), b'message: 88\r\n')
('198.4810302369999', ('192.168.4.9', 8000), b'message: 19\r\n')
('199.74431299699995', ('192.168.4.20', 8000), b'message: 7\r\n')
('200.29493039299996', ('192.168.4.9', 8000), b'message: 20\r\n')
('201.91866726700005', ('192.168.4.4', 8000), b'message: 89\r\n')
('203.00588903800008', ('192.168.4.20', 8000), b'message: 8\r\n')
('203.106435079', ('192.168.4.9', 8000), b'message: 21\r\n')
('204.40560434999998', ('192.168.4.20', 8000), b'message: 9\r\n')
('204.66826705800008', ('192.168.4.9', 8000), b'message: 22\r\n')
('204.82251783900006', ('192.168.4.4', 8000), b'message: 90\r\n')
('206.206990443', ('192.168.4.4', 8000), b'message: 91\r\n')
('207.08349747400007', ('192.168.4.4', 8000), b'message: 92\r\n')
('207.4901972130001', ('192.168.4.9', 8000), b'message: 23\r\n')
('208.6513148690001', ('192.168.4.9', 8000), b'message: 24\r\n')
('209.25741934799998', ('192.168.4.4', 8000), b'message: 93\r\n')
('209.9417653370001', ('192.168.4.20', 8000), b'message: 10\r\n')
('210.33572122200007', ('192.168.4.4', 8000), b'message: 94\r\n')
('210.56251059700003', ('192.168.4.20', 8000), b'message: 11\r\n')
('210.7322104929999', ('192.168.4.4', 8000), b'message: 95\r\n')
('212.0494262740001', ('192.168.4.20', 8000), b'message: 12\r\n')
('213.94312700199998', ('192.168.4.4', 8000), b'message: 96\r\n')
('214.66655924099996', ('192.168.4.4', 8000), b'message: 97\r\n')
('215.27671231399995', ('192.168.4.4', 8000), b'message: 98\r\n')
('215.73727205399996', ('192.168.4.9', 8000), b'message: 25\r\n')
('216.00277528300012', ('192.168.4.4', 8000), b'message: 99\r\n')
('216.46559486599995', ('192.168.4.4', 8000), b'message: 100\r\n')
('218.04402684399997', ('192.168.4.4', 8000), b'message: 101\r\n')
('220.05844241699992', ('192.168.4.4', 8000), b'message: 102\r\n')
('220.99088106199997', ('192.168.4.4', 8000), b'message: 103\r\n')
('221.49979772799998', ('192.168.4.9', 8000), b'message: 0\r\n')
('222.61497892600005', ('192.168.4.4', 8000), b'message: 104\r\n')
('224.65880309199997', ('192.168.4.4', 8000), b'message: 105\r\n')
('225.21083908100013', ('192.168.4.9', 8000), b'message: 1\r\n')
('225.39575512300007', ('192.168.4.4', 8000), b'message: 106\r\n')
('225.56113246600012', ('192.168.4.9', 8000), b'message: 2\r\n')
('226.427025018', ('192.168.4.4', 8000), b'message: 107\r\n')
('227.28386251799998', ('192.168.4.9', 8000), b'message: 3\r\n')
('227.6931537160001', ('192.168.4.4', 8000), b'message: 108\r\n')
('229.91490444400006', ('192.168.4.4', 8000), b'message: 109\r\n')
('233.69694152600005', ('192.168.4.9', 8000), b'message: 4\r\n')
('234.00592324500008', ('192.168.4.4', 8000), b'message: 110\r\n')
('234.547004755', ('192.168.4.9', 8000), b'message: 5\r\n')
('235.23584996299996', ('192.168.4.4', 8000), b'message: 111\r\n')
('235.53477449399998', ('192.168.4.4', 8000), b'message: 112\r\n')
('236.3277049620001', ('192.168.4.4', 8000), b'message: 113\r\n')
('236.49421636900001', ('192.168.4.9', 8000), b'message: 6\r\n')
('238.49575933699998', ('192.168.4.4', 8000), b'message: 114\r\n')
('240.69862391900006', ('192.168.4.4', 8000), b'message: 115\r\n')
('240.799148242', ('192.168.4.9', 8000), b'message: 0\r\n')
('241.35160975200006', ('192.168.4.4', 8000), b'message: 116\r\n')
('242.21945787699997', ('192.168.4.9', 8000), b'message: 1\r\n')
('243.61292657400008', ('192.168.4.9', 8000), b'message: 2\r\n')
('244.0803625640001', ('192.168.4.4', 8000), b'message: 117\r\n')
('244.40942761600013', ('192.168.4.9', 8000), b'message: 3\r\n')
('244.56415110500006', ('192.168.4.4', 8000), b'message: 118\r\n')
('245.27586745899998', ('192.168.4.4', 8000), b'message: 119\r\n')
('247.47873376000007', ('192.168.4.4', 8000), b'message: 120\r\n')
('247.98063339500004', ('192.168.4.9', 8000), b'message: 4\r\n')
('248.25805209300006', ('192.168.4.9', 8000), b'message: 5\r\n')
('248.69019573900005', ('192.168.4.4', 8000), b'message: 121\r\n')
