('15:27:26.155244', b'D2-88*************************\trssi:-48\r\n', '')
('15:27:26.170762', b'D2-89*************************\trssi:-48\r\n', '')
('15:27:26.170762', b'D2-87*************************\trssi:-49\r\n', '')
('15:27:26.170762', b'S\r\n', '')
('15:27:26.217714', b'D2-90*************************\trssi:-48\r\n', '')
('15:27:26.217714', b'>\r\n', 'sent:1-84*')
('15:27:26.248956', b'dur: 23414\r\n', '')
('15:27:26.248956', b'S\r\n', '')
('15:27:26.316020', b'D2-91*************************\trssi:-48\r\n', '')
('15:27:26.320022', b'D2-92*************************\trssi:-48\r\n', '')
('15:27:26.322993', b'D2-93*************************\trssi:-48\r\n', '')
('15:27:26.324038', b'>\r\n', 'sent:1-85*')
('15:27:26.345593', b'dur: 32165\r\n', '')
('15:27:26.346771', b'>\r\n', 'sent:1-86*')
('15:27:26.354152', b'dur: 17967\r\n', '')
('15:27:26.354152', b'S\r\n', '')
('15:27:26.416885', b'D2-96*************************\trssi:-48\r\n', '')
('15:27:26.416885', b'D2-97*************************\trssi:-48\r\n', '')
('15:27:26.432282', b'D2-98*************************\trssi:-48\r\n', '')
('15:27:26.432282', b'>\r\n', 'sent:1-87*')
('15:27:26.448103', b'dur: 29287\r\n', '')
('15:27:26.448103', b'>\r\n', 'sent:1-88*')
('15:27:26.463773', b'dur: 22966\r\n', '')
('15:27:26.479125', b'>\r\n', 'sent:1-89*')
('15:27:26.495010', b'dur: 20969\r\n', '')
('15:27:26.495010', b'>\r\n', 'sent:1-90*')
('15:27:26.510609', b'dur: 20969\r\n', '')
('15:27:26.510609', b'>\r\n', 'sent:1-91*')
('15:27:26.525989', b'dur: 20969\r\n', '')
('15:27:26.541798', b'>\r\n', 'sent:1-92*')
('15:27:26.557525', b'dur: 21969\r\n', '')
('15:27:26.557525', b'S\r\n', '')
('15:27:26.619986', b'>\r\n', 'sent:1-93*')
('15:27:26.635613', b'dur: 19563\r\n', '')
('15:27:26.635613', b'>\r\n', 'sent:1-94*')
('15:27:26.651239', b'dur: 21967\r\n', '')
('15:27:26.666770', b'>\r\n', 'sent:1-95*')
('15:27:26.682498', b'dur: 20969\r\n', '')
('15:27:26.682498', b'>\r\n', 'sent:1-96*')
('15:27:26.698103', b'dur: 20969\r\n', '')
('15:27:26.698103', b'S\r\n', '')
('15:27:26.760546', b'>\r\n', 'sent:1-97*')
('15:27:26.775932', b'dur: 18775\r\n', '')
('15:27:26.775932', b'S\r\n', '')
('15:27:26.838697', b'S\r\n', '')
('15:27:26.901180', b'D2-105************************\trssi:-47\r\n', '')
('15:27:26.916709', b'D2-104************************\trssi:-48\r\n', '')
('15:27:26.916709', b'D2-106************************\trssi:-49\r\n', '')
('15:27:26.916709', b'>\r\n', 'sent:1-98*')
('15:27:26.932423', b'dur: 35417\r\n', '')
('15:27:26.932423', b'>\r\n', 'sent:1-99*')
('15:27:26.963664', b'dur: 18967\r\n', '')
('15:27:26.963664', b'>\r\n', 'sent:1-100*')
('15:27:26.979306', b'dur: 21969\r\n', '')
('15:27:26.979306', b'>\r\n', 'sent:1-101*')
('15:27:26.994896', b'dur: 20966\r\n', '')
('15:27:26.994896', b'>\r\n', 'sent:1-102*')
('15:27:27.025875', b'dur: 23969\r\n', '')
('15:27:27.025875', b'>\r\n', 'sent:1-103*')
('15:27:27.041765', b'dur: 22969\r\n', '')
('15:27:27.041765', b'>\r\n', 'sent:1-104*')
('15:27:27.073017', b'dur: 20969\r\n', '')
('15:27:27.073017', b'>\r\n', 'sent:1-105*')
('15:27:27.088635', b'dur: 21969\r\n', '')
('15:27:27.088635', b'S\r\n', '')
('15:27:27.151125', b'D2-113************************\trssi:-49\r\n', '')
('15:27:27.151125', b'D2-114************************\trssi:-49\r\n', '')
('15:27:27.151125', b'>\r\n', 'sent:1-106*')
('15:27:27.182382', b'dur: 24729\r\n', '')
('15:27:27.182382', b'>\r\n', 'sent:1-107*')
('15:27:27.197980', b'dur: 28967\r\n', '')
('15:27:27.213355', b'>\r\n', 'sent:1-108*')
('15:27:27.229249', b'dur: 18969\r\n', '')
('15:27:27.229249', b'>\r\n', 'sent:1-109*')
('15:27:27.244843', b'dur: 24969\r\n', '')
('15:27:27.244843', b'>\r\n', 'sent:1-110*')
('15:27:27.275819', b'dur: 21969\r\n', '')
('15:27:27.275819', b'S\r\n', '')
('15:27:27.338548', b'D2-121************************\trssi:-47\r\n', '')
('15:27:27.338548', b'D2-122************************\trssi:-48\r\n', '')
('15:27:27.338548', b'S\r\n', '')
('15:27:27.400857', b'>\r\n', 'sent:1-111*')
('15:27:27.416411', b'dur: 21659\r\n', '')
('15:27:27.416411', b'>\r\n', 'sent:1-112*')
('15:27:27.432328', b'dur: 22967\r\n', '')
('15:27:27.432328', b'>\r\n', 'sent:1-113*')
('15:27:27.463553', b'dur: 21969\r\n', '')
('15:27:27.463553', b'>\r\n', 'sent:1-114*')
('15:27:27.479094', b'dur: 21969\r\n', '')
('15:27:27.479094', b'>\r\n', 'sent:1-115*')
('15:27:27.510162', b'dur: 21969\r\n', '')
('15:27:27.510162', b'>\r\n', 'sent:1-116*')
('15:27:27.525783', b'dur: 20969\r\n', '')
('15:27:27.525783', b'>\r\n', 'sent:1-117*')
('15:27:27.541404', b'dur: 20969\r\n', '')
('15:27:27.541404', b'>\r\n', 'sent:1-118*')
('15:27:27.572647', b'dur: 20969\r\n', '')
('15:27:27.572647', b'>\r\n', 'sent:1-119*')
('15:27:27.588269', b'dur: 20969\r\n', '')
('15:27:27.588269', b'S\r\n', '')
('15:27:27.650880', b'D2-133************************\trssi:-48\r\n', '')
('15:27:27.650880', b'D2-134************************\trssi:-48\r\n', '')
('15:27:27.666393', b'D2-135************************\trssi:-48\r\n', '')
('15:27:27.666393', b'>\r\n', 'sent:1-120*')
('15:27:27.682270', b'dur: 32230\r\n', '')
('15:27:27.682270', b'S\r\n', '')
('15:27:27.744730', b'D2-136************************\trssi:-48\r\n', '')
('15:27:27.744730', b'>\r\n', 'sent:1-121*')
('15:27:27.760320', b'dur: 21877\r\n', '')
('15:27:27.760320', b'>\r\n', 'sent:1-122*')
('15:27:27.791603', b'dur: 20972\r\n', '')
('15:27:27.791603', b'>\r\n', 'sent:1-123*')
('15:27:27.807225', b'dur: 21963\r\n', '')
('15:27:27.807225', b'>\r\n', 'sent:1-124*')
('15:27:27.838468', b'dur: 25969\r\n', '')
('15:27:27.838468', b'>\r\n', 'sent:1-125*')
('15:27:27.854088', b'dur: 22969\r\n', '')
('15:27:27.854088', b'>\r\n', 'sent:1-126*')
('15:27:27.885056', b'dur: 20969\r\n', '')
('15:27:27.885056', b'>\r\n', 'sent:1-127*')
('15:27:27.900956', b'dur: 20969\r\n', '')
('15:27:27.900956', b'>\r\n', 'sent:1-128*')
('15:27:27.916592', b'dur: 21969\r\n', '')
('15:27:27.916592', b'>\r\n', 'sent:1-129*')
('15:27:27.947811', b'dur: 20969\r\n', '')
('15:27:27.947811', b'>\r\n', 'sent:1-130*')
('15:27:27.963432', b'dur: 21969\r\n', '')
('15:27:27.963432', b'S\r\n', '')
('15:27:28.025670', b'D2-143************************\trssi:-47\r\n', '')
('15:27:28.025670', b'D2-141************************\trssi:-48\r\n', '')
('15:27:28.041270', b'D2-142************************\trssi:-48\r\n', '')
('15:27:28.041270', b'>\r\n', 'sent:1-131*')
('15:27:28.057183', b'dur: 30613\r\n', '')
('15:27:28.057183', b'>\r\n', 'sent:1-132*')
('15:27:28.072785', b'dur: 21967\r\n', '')
('15:27:28.072785', b'>\r\n', 'sent:1-133*')
('15:27:28.104038', b'dur: 21969\r\n', '')
('15:27:28.104038', b'>\r\n', 'sent:1-134*')
('15:27:28.119650', b'dur: 24969\r\n', '')
('15:27:28.119650', b'>\r\n', 'sent:1-135*')
('15:27:28.150903', b'dur: 19974\r\n', '')
