('21:55:40.979247', b'>\r\n', 'sent:1-21:55:40.836478*')
('21:55:41.061992', b'>\r\n', 'sent:1-21:55:40.979338*')
('21:55:41.143488', b'>\r\n', 'sent:1-21:55:41.062074*')
('21:55:42.137604', b'>\r\n', 'sent:1-21:55:41.143574*')
('21:55:42.402778', b'>\r\n', 'sent:1-21:55:42.137700*')
('21:55:42.666717', b'>\r\n', 'sent:1-21:55:42.402866*')
('21:55:42.749439', b'>\r\n', 'sent:1-21:55:42.666800*')
('21:55:42.831037', b'>\r\n', 'sent:1-21:55:42.754105*')
('21:55:43.034987', b'>\r\n', 'sent:1-21:55:42.831125*')
('21:55:43.117800', b'>\r\n', 'sent:1-21:55:43.035072*')
('21:55:43.199210', b'>\r\n', 'sent:1-21:55:43.117885*')
('21:55:43.220570', b'>\r\n', 'sent:1-21:55:43.199293*')
('21:55:43.243190', b'>\r\n', 'sent:1-21:55:43.220650*')
('21:55:43.386025', b'>\r\n', 'sent:1-21:55:43.243268*')
('21:55:44.076298', b'>\r\n', 'sent:1-21:55:43.386112*')
('21:55:44.097609', b'>\r\n', 'sent:1-21:55:44.076381*')
('21:55:44.664175', b'>\r\n', 'sent:1-21:55:44.097694*')
('21:55:44.806817', b'>\r\n', 'sent:1-21:55:44.664261*')
('21:55:45.435899', b'>\r\n', 'sent:1-21:55:44.806898*')
('21:55:45.761147', b'>\r\n', 'sent:1-21:55:45.435991*')
('21:55:45.965103', b'>\r\n', 'sent:1-21:55:45.761227*')
('21:55:46.109101', b'>\r\n', 'sent:1-21:55:45.965190*')
('21:55:46.130442', b'>\r\n', 'sent:1-21:55:46.109183*')
('21:55:47.124573', b'>\r\n', 'sent:1-21:55:46.130521*')
('21:55:47.267244', b'>\r\n', 'sent:1-21:55:47.124673*')
('21:55:47.347561', b'>\r\n', 'sent:1-21:55:47.267320*')
('21:55:47.612742', b'>\r\n', 'sent:1-21:55:47.347646*')
('21:55:47.999240', b'>\r\n', 'sent:1-21:55:47.612833*')
('21:55:48.204468', b'>\r\n', 'sent:1-21:55:47.999329*')
('21:55:48.408517', b'>\r\n', 'sent:1-21:55:48.204550*')
('21:55:48.552455', b'>\r\n', 'sent:1-21:55:48.408604*')
('21:55:48.998989', b'>\r\n', 'sent:1-21:55:48.552541*')
('21:55:49.324320', b'>\r\n', 'sent:1-21:55:48.999074*')
('21:55:49.589474', b'>\r\n', 'sent:1-21:55:49.324422*')
('21:55:49.732205', b'>\r\n', 'sent:1-21:55:49.589562*')
('21:55:49.753609', b'>\r\n', 'sent:1-21:55:49.732290*')
('21:55:50.018830', b'>\r\n', 'sent:1-21:55:49.753688*')
('21:55:50.161598', b'>\r\n', 'sent:1-21:55:50.018911*')
('21:55:50.305581', b'>\r\n', 'sent:1-21:55:50.161679*')
('21:55:50.324496', b'>\r\n', 'sent:1-21:55:50.305662*')
('21:55:50.468493', b'>\r\n', 'sent:1-21:55:50.324582*')
('21:55:50.977554', b'>\r\n', 'sent:1-21:55:50.468581*')
('21:55:51.302766', b'>\r\n', 'sent:1-21:55:50.977636*')
('21:55:51.749313', b'>\r\n', 'sent:1-21:55:51.302849*')
('21:55:51.770532', b'>\r\n', 'sent:1-21:55:51.749402*')
('21:55:51.912056', b'>\r\n', 'sent:1-21:55:51.770597*')
('21:55:52.483656', b'>\r\n', 'sent:1-21:55:51.912136*')
('21:55:52.565083', b'>\r\n', 'sent:1-21:55:52.483745*')
('21:55:52.586450', b'>\r\n', 'sent:1-21:55:52.565167*')
('21:55:52.790488', b'>\r\n', 'sent:1-21:55:52.586530*')
('21:55:52.810540', b'>\r\n', 'sent:1-21:55:52.790576*')
('21:55:52.829466', b'>\r\n', 'sent:1-21:55:52.810606*')
('21:55:52.913450', b'>\r\n', 'sent:1-21:55:52.829548*')
('21:55:52.934810', b'>\r\n', 'sent:1-21:55:52.913531*')
('21:55:52.957494', b'>\r\n', 'sent:1-21:55:52.934890*')
('21:55:53.101485', b'>\r\n', 'sent:1-21:55:52.957572*')
('21:55:53.188086', b'D2-16:57:14.826203************\trssi:-40\r\n', '')
('21:55:53.249491', b'D2-16:57:14.826203************\trssi:-38\r\n', '')
('21:55:53.307346', b'>\r\n', 'sent:1-21:55:53.249567*')
('21:55:53.328523', b'>\r\n', 'sent:1-21:55:53.307456*')
('21:55:53.898661', b'>\r\n', 'sent:1-21:55:53.328614*')
('21:55:53.919916', b'>\r\n', 'sent:1-21:55:53.898743*')
('21:55:54.245264', b'>\r\n', 'sent:1-21:55:53.919983*')
('21:55:54.450482', b'>\r\n', 'sent:1-21:55:54.245349*')
('21:55:54.470587', b'>\r\n', 'sent:1-21:55:54.450573*')
('21:55:54.494434', b'>\r\n', 'sent:1-21:55:54.470672*')
('21:55:54.641100', b'D2-16:57:16.231843************\trssi:-39\r\n', '')
('21:55:54.697415', b'>\r\n', 'sent:1-21:55:54.641173*')
('21:55:54.840106', b'>\r\n', 'sent:1-21:55:54.697492*')
('21:55:54.861421', b'>\r\n', 'sent:1-21:55:54.840190*')
('21:55:54.881607', b'>\r\n', 'sent:1-21:55:54.861488*')
('21:55:55.025575', b'>\r\n', 'sent:1-21:55:54.881691*')
('21:55:55.108353', b'>\r\n', 'sent:1-21:55:55.025656*')
('21:55:55.191084', b'>\r\n', 'sent:1-21:55:55.108435*')
('21:55:55.279040', b'D2-16:57:16.858632************\trssi:-40\r\n', '')
('21:55:55.341707', b'D2-16:57:16.968253************\trssi:-39\r\n', '')
('21:55:55.344860', b'D2-16:57:16.999474************\trssi:-40\r\n', '')
('21:55:55.456833', b'>\r\n', 'sent:1-21:55:55.344926*')
('21:55:55.727285', b'D2-16:57:17.218195************\trssi:-40\r\n', '')
('21:55:55.727854', b'>\r\n', 'sent:1-21:55:55.727363*')
('21:55:55.877650', b'D2-16:57:17.483748************\trssi:-40\r\n', '')
('21:55:55.880803', b'D2-16:57:17.546245************\trssi:-40\r\n', '')
('21:55:55.997892', b'D2-16:57:17.561844************\trssi:-40\r\n', '')
('21:55:55.998470', b'>\r\n', 'sent:1-21:55:55.997970*')
('21:55:56.079302', b'>\r\n', 'sent:1-21:55:55.998535*')
('21:55:56.100660', b'>\r\n', 'sent:1-21:55:56.079375*')
('21:55:56.183486', b'>\r\n', 'sent:1-21:55:56.100727*')
('21:55:56.387525', b'>\r\n', 'sent:1-21:55:56.183570*')
('21:55:56.537995', b'D2-16:57:18.108600************\trssi:-40\r\n', '')
('21:55:56.541178', b'D2-16:57:18.186623************\trssi:-40\r\n', '')
('21:55:56.592993', b'>\r\n', 'sent:1-21:55:56.541241*')
('21:55:56.615564', b'>\r\n', 'sent:1-21:55:56.593078*')
('21:55:56.880851', b'>\r\n', 'sent:1-21:55:56.615640*')
('21:55:57.090059', b'D2-16:57:18.655348************\trssi:-40\r\n', '')
('21:55:57.152667', b'D2-16:57:18.795960************\trssi:-39\r\n', '')
('21:55:57.155835', b'D2-16:57:18.780324************\trssi:-40\r\n', '')
('21:55:57.211676', b'D2-16:57:18.826942************\trssi:-40\r\n', '')
('21:55:57.212236', b'>\r\n', 'sent:1-21:55:57.211745*')
('21:55:57.231704', b'>\r\n', 'sent:1-21:55:57.212301*')
('21:55:57.503333', b'D2-16:57:18.967784************\trssi:-41\r\n', '')
('21:55:57.564688', b'D2-16:57:19.170840************\trssi:-40\r\n', '')
('21:55:57.682218', b'>\r\n', 'sent:1-21:55:57.564764*')
