(14:45:5.45610100, '1-1623***********')
(14:45:5.75286800, '1-1628***********')
(14:45:6.69163300, '1-1642***********')
(14:45:6.81635900, '1-1644***********')
(14:45:7.26960900, '1-1651***********')
(14:45:7.36310600, '1-1652***********')
(14:45:7.36310600, '1-1653***********')
(14:45:7.48806900, '1-1656***********')
(14:45:7.58179700, '1-1659***********')
(14:45:9.84885500, '1-1689***********')
(14:45:9.91132600, '1-1690***********')
(14:45:10.13004100, '1-1693***********')
(14:45:10.13004100, '1-1692***********')
(14:45:10.22347100, '1-1697***********')
(14:45:10.37998100, '1-1699***********')
(14:45:10.59858500, '1-1703***********')
(14:45:11.55150600, '1-1713***********')
(14:45:11.55150600, '1-1714***********')
(14:45:12.06681500, '1-1720***********')
(14:45:12.40457400, '1-1727***********')
(14:45:12.86367900, '1-1736***********')
(14:45:13.49019500, '1-1746***********')
(14:45:13.53731200, '1-1748***********')
(14:45:13.78697400, '1-1752***********')
(14:45:14.55270900, '1-1761***********')
(14:45:14.90304300, '1-1766***********')
(14:45:14.90304300, '1-1767***********')
(14:45:16.36011800, '1-1782***********')
(14:45:16.42662100, '1-1783***********')
(14:45:16.42662100, '1-1784***********')
(14:45:16.63895800, '1-1789***********')
(14:45:16.69238700, '1-1790***********')
(14:45:17.22500400, '1-1794***********')
(14:45:17.22500400, '1-1795***********')
(14:45:18.21257800, '1-1810***********')
(14:45:19.11246900, '1-1824***********')
(14:45:19.24373900, '1-1827***********')
(14:45:19.54363600, '1-1832***********')
(14:45:19.64363000, '1-1834***********')
(14:45:19.92778800, '1-1839***********')
(14:45:20.04366900, '1-1841***********')
(14:45:20.04366900, '1-1842***********')
(14:45:20.19689100, '1-1846***********')
(14:45:20.32785200, '1-1848***********')
(14:45:20.78121000, '1-1857***********')
(14:45:20.84371300, '1-1858***********')
(14:45:20.96537000, '1-1860***********')
(14:45:21.09692000, '1-1863***********')
(14:45:21.21247900, '1-1865***********')
(14:45:22.93132100, '1-1895***********')
(14:45:23.26999200, '1-1897***********')
(14:45:23.37031100, '1-1900***********')
(14:45:23.37031100, '1-1901***********')
(14:45:23.78759600, '1-1907***********')
(14:45:23.98802200, '1-1912***********')
(14:45:23.98802200, '1-1913***********')
(14:45:24.18850900, '1-1915***********')
(14:45:24.40470800, '1-1919***********')
(14:45:24.75205300, '1-1922***********')
(14:45:25.18691000, '1-1929***********')
(14:45:25.18691000, '1-1930***********')
(14:45:25.68080500, '1-1937***********')
(14:45:26.00885700, '1-1945***********')
(14:45:26.59724300, '1-1950***********')
(14:45:27.09713900, '1-1956***********')
(14:45:27.09713900, '1-1957***********')
(14:45:27.58110500, '1-1961***********')
(14:45:29.75273700, '1-1990***********')
(14:45:29.94019900, '1-1993***********')
(14:45:30.22138300, '1-1999***********')
(14:45:30.28387100, '1-2000***********')
(14:45:30.39321900, '1-2003***********')
(14:45:30.76985600, '1-2005***********')
(14:45:30.76985600, '1-2006***********')
(14:45:30.98853500, '1-2012***********')
(14:45:30.98853500, '1-2013***********')
(14:45:31.05103700, '1-2014***********')
(14:45:31.05103700, '1-2015***********')
(14:45:31.14476700, '1-2017***********')
(14:45:31.87897700, '1-2029***********')
(14:45:31.94144300, '1-2031***********')
(14:45:32.09737800, '1-2035***********')
(14:45:32.37884900, '1-2040***********')
(14:45:32.55919600, '1-2045***********')
(14:45:32.74642800, '1-2047***********')
(14:45:33.02789000, '1-2051***********')
(14:45:33.12160900, '1-2053***********')
(14:45:33.12160900, '1-2054***********')
(14:45:33.69199500, '1-2065***********')
(14:45:34.16062700, '1-2071***********')
(14:45:34.34784900, '1-2076***********')
(14:45:34.62900300, '1-2082***********')
(14:45:34.62900300, '1-2081***********')
(14:45:34.67613900, '1-2083***********')
(14:45:34.67613900, '1-2084***********')
(14:45:35.17602400, '1-2091***********')
(14:45:35.30099300, '1-2093***********')
(14:45:35.36337200, '1-2094***********')
(14:45:35.51969200, '1-2096***********')
(14:45:35.80065600, '1-2101***********')
(14:45:36.28513700, '1-2109***********')
(14:45:36.72369200, '1-2116***********')
(14:45:37.97340000, '1-2137***********')
(14:45:38.19209500, '1-2139***********')
(14:45:38.28582400, '1-2143***********')
(14:45:39.71030000, '1-2161***********')
(14:45:40.63167700, '1-2173***********')
(14:45:40.91289200, '1-2177***********')
(14:45:41.58460100, '1-2180***********')
(14:45:41.58460100, '1-2181***********')
(14:45:41.87064300, '1-2188***********')
(14:45:41.92755000, '1-2189***********')
(14:45:42.02138100, '1-2192***********')
(14:45:43.16309700, '1-2202***********')
(14:45:43.92874700, '1-2215***********')
(14:45:44.11626300, '1-2221***********')
(14:45:44.52216900, '1-2230***********')
(14:45:45.00662500, '1-2238***********')
(14:45:45.10038300, '1-2241***********')
(14:45:45.53782900, '1-2250***********')
(14:45:46.02179800, '1-2262***********')
(14:45:46.02179800, '1-2263***********')
(14:45:47.11705900, '1-2281***********')
(14:45:47.16392800, '1-2282***********')
(14:45:47.35112700, '1-2286***********')
(14:45:47.36672900, '1-2285***********')
(14:45:47.41359200, '1-2288***********')
(14:45:47.66365400, '1-2289***********')
(14:45:47.99180600, '1-2293***********')
(14:45:48.27305800, '1-2298***********')
(14:45:48.33525000, '1-2299***********')
(14:45:49.06973200, '1-2310***********')
