(14:9:7.41790100, '2-3122***********')
(14:9:7.41790100, '2-3123***********')
(14:9:8.24583800, '2-3128***********')
(14:9:10.88790000, '2-3152***********')
(14:9:10.95039000, '2-3153***********')
(14:9:10.95039000, '2-3154***********')
(14:9:11.30968300, '2-3163***********')
(14:9:12.37194100, '2-3171***********')
(14:9:12.43440600, '2-3172***********')
(14:9:12.43440600, '2-3173***********')
(14:9:14.49923500, '2-3183***********')
(14:9:16.63818800, '2-3191***********')
(14:9:21.06178700, '2-3220***********')
(14:9:22.00190300, '2-3227***********')
(14:9:22.62676700, '2-3233***********')
(14:9:23.48594400, '2-3241***********')
(14:9:23.48594400, '2-3240***********')
(14:9:23.54844200, '2-3242***********')
(14:9:23.54844200, '2-3243***********')
(14:9:25.18869300, '2-3268***********')
(14:9:25.25117400, '2-3269***********')
(14:9:28.04929000, '2-3300***********')
(14:9:28.17427900, '2-3301***********')
(14:9:30.28316700, '2-3312***********')
(14:9:33.97168200, '2-3334***********')
(14:9:33.97168200, '2-3335***********')
(14:9:34.23724800, '2-3340***********')
(14:9:36.11372300, '2-3348***********')
(14:9:36.11372300, '2-3349***********')
(14:9:38.19138000, '2-3362***********')
(14:9:38.84746500, '2-3368***********')
(14:9:41.53628400, '2-3381***********')
(14:9:42.05210600, '2-3388***********')
(14:9:42.91132300, '2-3392***********')
(14:9:42.91132300, '2-3393***********')
(14:9:44.34849200, '2-3404***********')
(14:9:44.41096400, '2-3405***********')
(14:9:45.63146400, '2-3413***********')
(14:9:49.02326300, '2-3445***********')
(14:9:51.05404600, '2-3464***********')
(14:9:54.18024600, '2-3495***********')
(14:9:54.24280300, '2-3497***********')
(14:9:58.91665000, '2-3537***********')
(14:9:58.91665000, '2-3538***********')
(14:10:0.77547800, '2-3549***********')
(14:10:1.33791500, '2-3554***********')
(14:10:1.40041400, '2-3555***********')
(14:10:1.40041400, '2-3556***********')
(14:10:7.16812900, '2-3596***********')
(14:10:8.48030500, '2-3607***********')
(14:10:8.48030500, '2-3608***********')
(14:10:8.60533000, '2-3612***********')
(14:10:8.69898100, '2-3614***********')
(14:10:9.83942800, '2-3628***********')
(14:10:10.26121500, '2-3635***********')
(14:10:11.68483600, '2-3649***********')
(14:10:12.37245300, '2-3655***********')
(14:10:13.38785300, '2-3662***********')
(14:10:14.23141200, '2-3669***********')
(14:10:14.23141200, '2-3670***********')
(14:10:14.29388700, '2-3671***********')
(14:10:15.84236600, '2-3688***********')
(14:10:16.46722100, '2-3692***********')
(14:10:18.57584100, '2-3707***********')
(14:10:23.32638800, '2-3751***********')
(14:10:24.63860400, '2-3755***********')
(14:10:25.49962600, '2-3765***********')
(14:10:26.48379300, '2-3775***********')
(14:10:27.38980600, '2-3785***********')
(14:10:27.90505500, '2-3795***********')
(14:10:28.71734400, '2-3805***********')
(14:10:29.76400500, '2-3811***********')
(14:10:31.74791500, '2-3833***********')
(14:10:34.17173400, '2-3844***********')
(14:10:37.22057700, '2-3863***********')
(14:10:38.54839000, '2-3875***********')
(14:10:38.61089300, '2-3877***********')
(14:10:38.79834000, '2-3878***********')
(14:10:39.51670600, '2-3883***********')
(14:10:39.84469400, '2-3886***********')
(14:10:39.84469400, '2-3887***********')
(14:10:40.45420000, '2-3891***********')
(14:10:41.06340800, '2-3894***********')
(14:10:41.48522600, '2-3904***********')
(14:10:41.54772700, '2-3906***********')
(14:10:41.61019100, '2-3907***********')
(14:10:41.61019100, '2-3908***********')
(14:10:42.06580800, '2-3912***********')
(14:10:42.15961300, '2-3914***********')
(14:10:42.15961300, '2-3915***********')
(14:10:43.70625000, '2-3924***********')
(14:10:43.70625000, '2-3925***********')
(14:10:45.94213800, '2-3939***********')
(14:10:46.86378900, '2-3949***********')
(14:10:47.78545600, '2-3955***********')
(14:10:48.28534000, '2-3960***********')
(14:10:48.34784700, '2-3961***********')
(14:10:52.23923700, '2-3989***********')
(14:10:52.28628500, '2-3990***********')
(14:10:54.99080300, '2-4011***********')
(14:10:54.99080300, '2-4012***********')
(14:10:56.58412200, '2-4027***********')
(14:10:57.05283600, '2-4030***********')
(14:11:0.69352600, '2-4050***********')
(14:11:2.17756100, '2-4061***********')
(14:11:2.34939900, '2-4063***********')
(14:11:5.77246100, '2-4087***********')
(14:11:11.64786600, '2-4124***********')
(14:11:12.21263000, '2-4131***********')
(14:11:14.47774900, '2-4144***********')
(14:11:14.47774900, '2-4145***********')
(14:11:17.06257700, '2-4163***********')
(14:11:17.90055300, '2-4170***********')
(14:11:19.97819800, '2-4181***********')
(14:11:20.69670600, '2-4185***********')
(14:11:20.69670600, '2-4186***********')
(14:11:22.93254400, '2-4202***********')
(14:11:25.02581100, '2-4219***********')
(14:11:25.02581100, '2-4220***********')
(14:11:25.29139600, '2-4222***********')
(14:11:28.85585200, '2-4255***********')
(14:11:30.30864500, '2-4267***********')
(14:11:30.30864500, '2-4268***********')
(14:11:31.01352600, '2-4279***********')
(14:11:35.29380300, '2-4316***********')
(14:11:35.29380300, '2-4317***********')
(14:11:36.95166900, '2-4330***********')
(14:11:37.45155600, '2-4335***********')
(14:11:40.57787300, '2-4359***********')
(14:11:40.73410100, '2-4363***********')
(14:11:42.01571700, '2-4368***********')
(14:11:42.87416300, '2-4372***********')
(14:11:42.87416300, '2-4373***********')
(14:11:46.38898600, '2-4408***********')
(14:11:48.20250700, '2-4423***********')
(14:11:51.17071000, '2-4448***********')
(14:11:51.26433900, '2-4450***********')
(14:11:51.34270200, '2-4452***********')
(14:11:52.04551100, '2-4456***********')
(14:11:52.88922400, '2-4460***********')
(14:11:53.37350400, '2-4462***********')
(14:11:53.96992600, '2-4468***********')
(14:11:54.03256300, '2-4469***********')
(14:11:55.79603700, '2-4477***********')
(14:11:55.79603700, '2-4478***********')
(14:11:56.56142900, '2-4486***********')
(14:11:59.96852700, '2-4512***********')
(14:11:59.96852700, '2-4513***********')
(14:12:0.92300100, '2-4525***********')
(14:12:4.92512300, '2-4554***********')
(14:12:4.92512300, '2-4555***********')
(14:12:6.09644800, '2-4569***********')
(14:12:7.25481000, '2-4574***********')
(14:12:7.81717000, '2-4581***********')
(14:12:8.77009000, '2-4590***********')
(14:12:9.37933100, '2-4596***********')
(14:12:10.14471300, '2-4601***********')
(14:12:12.56833700, '2-4619***********')
(14:12:12.63079600, '2-4620***********')
(14:12:13.28690200, '2-4624***********')
(14:12:14.55224300, '2-4636***********')
(14:12:16.49116000, '2-4645***********')
(14:12:16.49116000, '2-4646***********')
(14:12:18.05337800, '2-4652***********')
(14:12:18.05337800, '2-4653***********')
(14:12:18.84979300, '2-4661***********')
(14:12:19.10000200, '2-4664***********')
(14:12:27.05509800, '2-4732***********')
(14:12:27.05509800, '2-4733***********')
(14:12:29.57012600, '2-4760***********')
(14:12:30.68124600, '2-4768***********')
(14:12:31.52491900, '2-4774***********')
(14:12:31.91549300, '2-4781***********')
(14:12:31.97790500, '2-4782***********')
(14:12:32.61844000, '2-4789***********')
(14:12:33.08707300, '2-4792***********')
(14:12:33.61821300, '2-4803***********')
(14:12:33.61821300, '2-4804***********')
(14:12:33.71358800, '2-4806***********')
(14:12:34.51053300, '2-4813***********')
(14:12:34.51053300, '2-4814***********')
(14:12:36.96310000, '2-4839***********')
(14:12:37.25993200, '2-4845***********')
(14:12:37.35365800, '2-4847***********')
(14:12:37.35365800, '2-4848***********')
(14:12:42.19952300, '2-4890***********')
(14:12:42.80878300, '2-4897***********')
(14:12:42.82411000, '2-4898***********')
(14:12:44.13660700, '2-4904***********')
(14:12:44.13660700, '2-4905***********')
(14:12:46.99740100, '2-4928***********')
(14:12:47.27861000, '2-4931***********')
(14:12:47.27861000, '2-4932***********')
(14:12:49.05944400, '2-4941***********')
(14:12:51.82645700, '2-4956***********')
(14:12:53.46670900, '2-4966***********')
(14:12:55.53075200, '2-4976***********')
(14:12:56.84295500, '2-4988***********')
(14:12:56.84295500, '2-4989***********')
(14:12:59.17053400, '2-5006***********')
(14:12:59.32677800, '2-5009***********')
(14:12:59.32677800, '2-5010***********')
(14:12:59.38924400, '2-5011***********')
(14:12:59.38924400, '2-5012***********')
(14:13:0.53132200, '2-5017***********')
(14:13:1.03071900, '2-5018***********')
(14:13:2.04638900, '2-5023***********')
(14:13:2.04638900, '2-5024***********')
(14:13:2.10889300, '2-5025***********')
(14:13:5.12381000, '2-5049***********')
(14:13:5.56120900, '2-5054***********')
(14:13:7.42241000, '2-5068***********')
(14:13:7.81299300, '2-5071***********')
(14:13:7.81299300, '2-5072***********')
(14:13:8.03169700, '2-5077***********')
(14:13:8.03169700, '2-5076***********')
(14:13:9.73673700, '2-5099***********')
(14:13:10.90831700, '2-5105***********')
(14:13:11.33012100, '2-5109***********')
(14:13:13.20466800, '2-5125***********')
(14:13:13.65771700, '2-5131***********')
(14:13:13.65771700, '2-5132***********')
(14:13:16.97224000, '2-5164***********')
(14:13:17.97200500, '2-5175***********')
(14:13:18.28418300, '2-5178***********')
(14:13:19.95792400, '2-5193***********')
(14:13:20.08282400, '2-5196***********')
(14:13:20.08282400, '2-5197***********')
(14:13:22.25426300, '2-5209***********')
