(14:9:43.17687000, '1-3401***********')
(14:9:44.11387600, '1-3409***********')
(14:9:44.12949700, '1-3410***********')
(14:9:45.74083000, '1-3421***********')
(14:9:45.80332200, '1-3422***********')
(14:9:46.30319100, '1-3426***********')
(14:9:46.30319100, '1-3427***********')
(14:9:50.28861300, '1-3443***********')
(14:9:51.44432600, '1-3450***********')
(14:9:51.49143900, '1-3451***********')
(14:9:53.47509000, '1-3468***********')
(14:9:53.63130500, '1-3471***********')
(14:9:53.63130500, '1-3472***********')
(14:9:53.85225200, '1-3473***********')
(14:9:56.33605900, '1-3497***********')
(14:9:56.33605900, '1-3498***********')
(14:9:56.49227800, '1-3499***********')
(14:9:56.78907400, '1-3501***********')
(14:9:56.85156800, '1-3503***********')
(14:9:56.97657200, '1-3505***********')
(14:9:57.90124500, '1-3516***********')
(14:9:59.63505800, '1-3537***********')
(14:9:59.63505800, '1-3538***********')
(14:9:59.69744100, '1-3539***********')
(14:9:59.69744100, '1-3540***********')
(14:10:0.82245900, '1-3551***********')
(14:10:1.54103700, '1-3555***********')
(14:10:2.57190000, '1-3566***********')
(14:10:2.72980800, '1-3570***********')
(14:10:2.72980800, '1-3571***********')
(14:10:3.04250600, '1-3573***********')
(14:10:10.08937100, '1-3636***********')
(14:10:10.18310100, '1-3638***********')
(14:10:10.18310100, '1-3639***********')
(14:10:10.80791700, '1-3647***********')
(14:10:10.87039900, '1-3648***********')
(14:10:11.85696600, '1-3653***********')
(14:10:12.40371600, '1-3656***********')
(14:10:12.46618600, '1-3657***********')
(14:10:14.13767900, '1-3670***********')
(14:10:15.18432000, '1-3681***********')
(14:10:15.88909700, '1-3687***********')
(14:10:16.40475300, '1-3689***********')
(14:10:24.04493400, '1-3746***********')
(14:10:24.06045100, '1-3747***********')
(14:10:25.56210300, '1-3757***********')
(14:10:25.85893700, '1-3760***********')
(14:10:26.10858500, '1-3762***********')
(14:10:26.10858500, '1-3763***********')
(14:10:29.12351000, '1-3781***********')
(14:10:31.63856600, '1-3802***********')
(14:10:32.56019500, '1-3808***********')
(14:10:32.56019500, '1-3809***********')
(14:10:36.20316400, '1-3833***********')
(14:10:38.70461300, '1-3855***********')
(14:10:40.14172800, '1-3866***********')
(14:10:40.50108800, '1-3871***********')
(14:10:40.50108800, '1-3872***********')
(14:10:41.94083700, '1-3883***********')
(14:10:42.00332300, '1-3884***********')
(14:10:46.47297900, '1-3922***********')
(14:10:46.56673000, '1-3925***********')
(14:10:46.91066400, '1-3933***********')
(14:10:46.97286700, '1-3934***********')
(14:10:46.97286700, '1-3935***********')
(14:10:47.69171600, '1-3943***********')
(14:10:47.87909300, '1-3947***********')
(14:10:50.88043300, '1-3968***********')
(14:10:52.19239400, '1-3978***********')
(14:10:53.64518800, '1-3987***********')
(14:10:55.30295800, '1-4005***********')
(14:10:55.92809800, '1-4009***********')
(14:10:55.99056200, '1-4010***********')
(14:10:56.91224400, '1-4016***********')
(14:10:57.16217200, '1-4019***********')
(14:10:57.45899900, '1-4021***********')
(14:10:57.45899900, '1-4022***********')
(14:10:59.55315500, '1-4040***********')
(14:10:59.91235500, '1-4046***********')
(14:11:0.31861000, '1-4052***********')
(14:11:2.39624100, '1-4073***********')
(14:11:4.61648000, '1-4095***********')
(14:11:4.74145400, '1-4098***********')
(14:11:6.91486200, '1-4118***********')
(14:11:6.91486200, '1-4119***********')
(14:11:16.75042300, '1-4181***********')
(14:11:18.44729300, '1-4201***********')
(14:11:20.24376300, '1-4214***********')
(14:11:20.33749200, '1-4217***********')
(14:11:20.33749200, '1-4218***********')
(14:11:24.85399600, '1-4259***********')
(14:11:24.94770500, '1-4262***********')
(14:11:26.65034900, '1-4277***********')
(14:11:26.65034900, '1-4278***********')
(14:11:27.66860300, '1-4283***********')
(14:11:27.73110000, '1-4285***********')
(14:11:30.04293600, '1-4299***********')
(14:11:31.74773100, '1-4309***********')
(14:11:32.43510000, '1-4318***********')
(14:11:34.04410400, '1-4326***********')
(14:11:34.91880600, '1-4335***********')
(14:11:35.90492400, '1-4341***********')
(14:11:39.31049700, '1-4358***********')
(14:11:39.49768100, '1-4361***********')
(14:11:40.10924600, '1-4367***********')
(14:11:40.46853800, '1-4369***********')
(14:11:40.46853800, '1-4370***********')
(14:11:40.53072800, '1-4371***********')
(14:11:43.29594000, '1-4396***********')
(14:11:44.68626600, '1-4406***********')
(14:11:44.96717700, '1-4408***********')
(14:11:45.71728700, '1-4414***********')
(14:11:48.10887300, '1-4427***********')
(14:11:48.76516900, '1-4434***********')
(14:11:48.89014100, '1-4436***********')
(14:11:49.48347300, '1-4440***********')
(14:11:49.48347300, '1-4441***********')
(14:11:51.04561600, '1-4453***********')
(14:11:51.79552900, '1-4459***********')
(14:11:52.65481100, '1-4463***********')
(14:11:53.29528900, '1-4465***********')
(14:11:53.29528900, '1-4466***********')
(14:11:53.87610900, '1-4471***********')
(14:11:53.87610900, '1-4472***********')
(14:11:54.53245800, '1-4476***********')
(14:11:54.59493300, '1-4477***********')
(14:11:54.65743200, '1-4479***********')
(14:11:59.89015000, '1-4526***********')
(14:11:59.89015000, '1-4527***********')
(14:12:0.14015300, '1-4530***********')
(14:12:0.21845400, '1-4532***********')
(14:12:0.56206800, '1-4534***********')
(14:12:4.75329700, '1-4567***********')
(14:12:4.81577400, '1-4568***********')
(14:12:4.81577400, '1-4569***********')
(14:12:6.48727600, '1-4574***********')
(14:12:7.56696100, '1-4580***********')
(14:12:8.30116900, '1-4584***********')
(14:12:8.36383800, '1-4586***********')
(14:12:8.87919000, '1-4591***********')
(14:12:8.87919000, '1-4592***********')
(14:12:11.30048500, '1-4613***********')
(14:12:11.36297100, '1-4614***********')
(14:12:11.40983400, '1-4616***********')
(14:12:15.77266400, '1-4644***********')
(14:12:16.39722800, '1-4651***********')
(14:12:17.00674500, '1-4655***********')
(14:12:17.50663000, '1-4658***********')
(14:12:17.50663000, '1-4659***********')
(14:12:18.99068000, '1-4671***********')
(14:12:23.21055900, '1-4705***********')
(14:12:23.21055900, '1-4706***********')
(14:12:24.28845500, '1-4717***********')
(14:12:24.53838600, '1-4719***********')
(14:12:25.03991200, '1-4724***********')
(14:12:26.50832700, '1-4736***********')
(14:12:26.50832700, '1-4737***********')
(14:12:27.93004800, '1-4748***********')
(14:12:35.11949700, '1-4806***********')
(14:12:35.47906900, '1-4808***********')
(14:12:35.54151500, '1-4810***********')
(14:12:39.40004400, '1-4837***********')
(14:12:39.68235000, '1-4840***********')
(14:12:39.91695800, '1-4846***********')
(14:12:41.91835100, '1-4859***********')
(14:12:41.91835100, '1-4860***********')
(14:12:43.19930000, '1-4866***********')
(14:12:43.19930000, '1-4867***********')
(14:12:44.04258100, '1-4869***********')
(14:12:44.29282500, '1-4871***********')
(14:12:44.35524100, '1-4872***********')
(14:12:44.51151600, '1-4875***********')
(14:12:44.51151600, '1-4876***********')
(14:12:46.04451600, '1-4882***********')
(14:12:46.37240300, '1-4886***********')
(14:12:48.35649000, '1-4907***********')
(14:12:50.05920900, '1-4921***********')
(14:12:51.21722100, '1-4931***********')
(14:12:54.85884100, '1-4960***********')
(14:12:56.09312800, '1-4969***********')
(14:12:56.48339400, '1-4971***********')
(14:12:56.48339400, '1-4972***********')
(14:12:56.90516300, '1-4974***********')
(14:12:57.09286900, '1-4977***********')
(14:12:57.09286900, '1-4978***********')
(14:12:59.21741400, '1-4996***********')
(14:13:0.21880500, '1-5006***********')
(14:13:3.23363200, '1-5029***********')
(14:13:4.07689700, '1-5034***********')
(14:13:6.61009800, '1-5053***********')
(14:13:6.61009800, '1-5054***********')
(14:13:7.14097900, '1-5058***********')
(14:13:7.92232500, '1-5062***********')
(14:13:9.12558400, '1-5075***********')
(14:13:10.42379800, '1-5085***********')
(14:13:15.90972500, '1-5125***********')
(14:13:15.90972500, '1-5126***********')
(14:13:17.28439000, '1-5144***********')
(14:13:17.28439000, '1-5145***********')
(14:13:17.47185300, '1-5148***********')
(14:13:17.47185300, '1-5149***********')
(14:13:17.51900900, '1-5150***********')
(14:13:17.53433400, '1-5151***********')
(14:13:17.58121800, '1-5152***********')
(14:13:17.59683900, '1-5153***********')
(14:13:22.51982700, '1-5185***********')
(14:13:25.47403700, '1-5206***********')
(14:13:29.49074700, '1-5248***********')
(14:13:29.49074700, '1-5249***********')
(14:13:30.16246100, '1-5257***********')
(14:13:30.34993600, '1-5258***********')
(14:13:30.41240600, '1-5259***********')
(14:13:30.41240600, '1-5260***********')
(14:13:31.94330100, '1-5265***********')
(14:13:33.50715600, '1-5283***********')
(14:13:34.05364700, '1-5289***********')
(14:13:34.80373500, '1-5303***********')
(14:13:34.80373500, '1-5304***********')
(14:13:35.10054000, '1-5307***********')
(14:13:35.16292600, '1-5308***********')
(14:13:35.16292600, '1-5309***********')
(14:13:36.25652700, '1-5320***********')
(14:13:37.78938000, '1-5330***********')
(14:13:38.72681300, '1-5336***********')
(14:13:39.08612300, '1-5341***********')
(14:13:40.60120100, '1-5355***********')
(14:13:41.14815200, '1-5360***********')
(14:13:41.21062800, '1-5361***********')
(14:13:41.56965800, '1-5366***********')
(14:13:41.97778800, '1-5372***********')
(14:13:44.27412800, '1-5390***********')
(14:13:44.68051800, '1-5391***********')
(14:13:45.38350600, '1-5396***********')
(14:13:45.38350600, '1-5397***********')
(14:13:45.74435400, '1-5400***********')
(14:13:45.80682000, '1-5401***********')
(14:13:45.80682000, '1-5402***********')
(14:13:47.47851300, '1-5416***********')
(14:13:50.18106900, '1-5432***********')
(14:13:50.88516400, '1-5439***********')
(14:13:51.07288800, '1-5442***********')
(14:13:51.82261200, '1-5448***********')
(14:13:51.82261200, '1-5449***********')
(14:13:53.49416000, '1-5458***********')
(14:13:53.50972300, '1-5459***********')
(14:13:54.15031500, '1-5464***********')
(14:13:54.15031500, '1-5465***********')
(14:13:55.13647600, '1-5471***********')
(14:13:55.23021600, '1-5472***********')
(14:13:56.22986300, '1-5481***********')
(14:13:59.98074800, '1-5502***********')
(14:14:1.52727000, '1-5512***********')
(14:14:1.52727000, '1-5513***********')
(14:14:1.96466400, '1-5518***********')
(14:14:2.37073000, '1-5520***********')
(14:14:3.30783300, '1-5530***********')
(14:14:3.58929200, '1-5532***********')
(14:14:5.02901000, '1-5542***********')
(14:14:5.09160700, '1-5543***********')
(14:14:5.09160700, '1-5544***********')
(14:14:5.18521700, '1-5546***********')
(14:14:5.18521700, '1-5547***********')
(14:14:5.23236100, '1-5548***********')
(14:14:5.24782400, '1-5549***********')
(14:14:7.06003700, '1-5568***********')
(14:14:7.06003700, '1-5567***********')
(14:14:7.12253900, '1-5569***********')
(14:14:7.12253900, '1-5570***********')
(14:14:7.18504900, '1-5571***********')
(14:14:7.18504900, '1-5572***********')
(14:14:7.46615200, '1-5574***********')
(14:14:7.46615200, '1-5575***********')
(14:14:8.62222100, '1-5586***********')
(14:14:8.62222100, '1-5587***********')
(14:14:8.74884800, '1-5590***********')
(14:14:11.74844200, '1-5615***********')
(14:14:11.74844200, '1-5616***********')
(14:14:13.25008100, '1-5626***********')
(14:14:16.96797000, '1-5654***********')
(14:14:19.03268800, '1-5674***********')
(14:14:19.64191500, '1-5678***********')
(14:14:22.96856200, '1-5707***********')
(14:14:23.06229200, '1-5708***********')
(14:14:23.45281300, '1-5710***********')
(14:14:25.23512700, '1-5718***********')
(14:14:27.78611200, '1-5735***********')
(14:14:28.48889800, '1-5739***********')
(14:14:29.66068100, '1-5748***********')
(14:14:31.53526800, '1-5770***********')
(14:14:32.26947400, '1-5775***********')
(14:14:33.59923200, '1-5784***********')
(14:14:33.89601900, '1-5786***********')
(14:14:35.33320600, '1-5799***********')
(14:14:37.16293200, '1-5814***********')
(14:14:37.92847400, '1-5821***********')
(14:14:40.02155600, '1-5835***********')
(14:14:40.11520200, '1-5836***********')
(14:14:41.16188200, '1-5849***********')
(14:14:43.71168900, '1-5867***********')
(14:14:43.71168900, '1-5868***********')
(14:14:44.25862500, '1-5870***********')
(14:14:44.25862500, '1-5871***********')
(14:14:44.32112000, '1-5872***********')
(14:14:44.32112000, '1-5873***********')
(14:14:48.00957000, '1-5907***********')
(14:14:48.00957000, '1-5908***********')
(14:14:50.91514100, '1-5933***********')
(14:14:50.97763100, '1-5934***********')
(14:14:50.97763100, '1-5935***********')
(14:14:53.60487800, '1-5960***********')
(14:14:54.16696700, '1-5964***********')
(14:14:54.16696700, '1-5965***********')
(14:14:56.18223400, '1-5983***********')
(14:14:57.16847400, '1-5992***********')
(14:14:57.16847400, '1-5993***********')
(14:14:58.44914600, '1-6012***********')
(14:14:58.44914600, '1-6013***********')
(14:14:58.83967800, '1-6017***********')
(14:15:0.74734000, '1-6030***********')
(14:15:2.49693800, '1-6044***********')
(14:15:3.13742800, '1-6048***********')
(14:15:3.13742800, '1-6049***********')
(14:15:3.84037900, '1-6053***********')
(14:15:4.49648200, '1-6056***********')
