('14:27:33.449879', b'>\r\n', 'sent:2-14:27:33.246798*')
('14:27:33.481132', b'>\r\n', 'sent:2-14:27:33.449879*')
('14:27:33.496628', b'>\r\n', 'sent:2-14:27:33.481132*')
('14:27:33.949760', b'>\r\n', 'sent:2-14:27:33.496628*')
('14:27:33.965380', b'>\r\n', 'sent:2-14:27:33.949760*')
('14:27:34.105971', b'>\r\n', 'sent:2-14:27:33.965380*')
('14:27:34.137154', b'>\r\n', 'sent:2-14:27:34.105971*')
('14:27:34.152714', b'>\r\n', 'sent:2-14:27:34.137154*')
('14:27:34.480893', b'>\r\n', 'sent:2-14:27:34.152714*')
('14:27:34.511955', b'>\r\n', 'sent:2-14:27:34.480893*')
('14:27:34.777688', b'>\r\n', 'sent:2-14:27:34.511955*')
('14:27:34.980777', b'>\r\n', 'sent:2-14:27:34.777688*')
('14:27:35.179054', b'>\r\n', 'sent:2-14:27:34.980777*')
('14:27:35.444612', b'>\r\n', 'sent:2-14:27:35.179054*')
('14:27:36.069195', b'>\r\n', 'sent:2-14:27:35.444612*')
('14:27:36.225690', b'>\r\n', 'sent:2-14:27:36.069195*')
('14:27:36.241305', b'>\r\n', 'sent:2-14:27:36.225690*')
('14:27:36.256675', b'>\r\n', 'sent:2-14:27:36.241305*')
('14:27:36.584974', b'>\r\n', 'sent:2-14:27:36.256675*')
('14:27:37.100409', b'>\r\n', 'sent:2-14:27:36.584974*')
('14:27:37.303325', b'>\r\n', 'sent:2-14:27:37.100409*')
('14:27:37.381672', b'>\r\n', 'sent:2-14:27:37.303325*')
('14:27:37.716855', b'>\r\n', 'sent:2-14:27:37.381672*')
('14:27:38.107136', b'>\r\n', 'sent:2-14:27:37.716855*')
('14:27:38.123016', b'>\r\n', 'sent:2-14:27:38.107136*')
('14:27:38.138641', b'>\r\n', 'sent:2-14:27:38.123016*')
('14:27:38.841617', b'>\r\n', 'sent:2-14:27:38.138641*')
('14:27:38.857221', b'>\r\n', 'sent:2-14:27:38.841617*')
('14:27:39.433408', b'>\r\n', 'sent:2-14:27:38.857221*')
('14:27:39.570922', b'>\r\n', 'sent:2-14:27:39.433408*')
('14:27:39.664654', b'>\r\n', 'sent:2-14:27:39.570922*')
('14:27:39.865743', b'>\r\n', 'sent:2-14:27:39.664654*')
('14:27:40.489744', b'>\r\n', 'sent:2-14:27:39.865743*')
('14:27:40.694923', b'>\r\n', 'sent:2-14:27:40.489744*')
('14:27:41.208069', b'>\r\n', 'sent:2-14:27:40.694923*')
('14:27:41.223681', b'>\r\n', 'sent:2-14:27:41.208069*')
('14:27:41.608937', b'>\r\n', 'sent:2-14:27:41.223681*')
('14:27:42.010018', b'>\r\n', 'sent:2-14:27:41.608937*')
('14:27:42.326563', b'>\r\n', 'sent:2-14:27:42.010018*')
('14:27:42.595896', b'>\r\n', 'sent:2-14:27:42.326563*')
('14:27:42.927777', b'>\r\n', 'sent:2-14:27:42.595896*')
('14:27:43.074964', b'>\r\n', 'sent:2-14:27:42.927777*')
('14:27:43.097167', b'>\r\n', 'sent:2-14:27:43.074964*')
('14:27:43.175283', b'>\r\n', 'sent:2-14:27:43.097167*')
('14:27:43.197193', b'>\r\n', 'sent:2-14:27:43.175283*')
('14:27:43.582266', b'>\r\n', 'sent:2-14:27:43.197193*')
('14:27:43.660399', b'>\r\n', 'sent:2-14:27:43.582266*')
('14:27:43.745494', b'>\r\n', 'sent:2-14:27:43.660399*')
('14:27:43.761104', b'>\r\n', 'sent:2-14:27:43.745494*')
