(11:25:27.99503300, '2-3180***********')
(11:25:28.60428300, '2-3184***********')
(11:25:29.36943900, '2-3194***********')
(11:25:31.53003100, '2-3211***********')
(11:25:31.53003100, '2-3212***********')
(11:25:32.48293500, '2-3223***********')
(11:25:34.32627400, '2-3238***********')
(11:25:34.66993100, '2-3242***********')
(11:25:35.79653300, '2-3254***********')
(11:25:36.34326300, '2-3260***********')
(11:25:36.92125900, '2-3265***********')
(11:25:37.20245900, '2-3268***********')
(11:25:37.90514600, '2-3277***********')
(11:25:39.07861100, '2-3290***********')
(11:25:39.14109600, '2-3291***********')
(11:25:39.14109600, '2-3292***********')
(11:25:40.59416800, '2-3303***********')
(11:25:44.12761500, '2-3334***********')
(11:25:46.31333500, '2-3360***********')
(11:25:48.07882400, '2-3377***********')
(11:25:48.14127300, '2-3378***********')
(11:25:49.12545600, '2-3391***********')
(11:25:56.30028500, '2-3450***********')
(11:25:56.30028500, '2-3451***********')
(11:25:56.34719200, '2-3452***********')
(11:25:59.61470400, '2-3483***********')
(11:25:59.61470400, '2-3484***********')
(11:26:0.41137400, '2-3490***********')
(11:26:1.59863200, '2-3503***********')
(11:26:2.14553000, '2-3511***********')
(11:26:3.61558800, '2-3526***********')
(11:26:4.27139400, '2-3535***********')
(11:26:5.89810500, '2-3542***********')
(11:26:6.66354300, '2-3549***********')
(11:26:8.05409000, '2-3560***********')
(11:26:8.64772400, '2-3565***********')
(11:26:9.64417100, '2-3575***********')
(11:26:11.28338100, '2-3589***********')
(11:26:12.54842100, '2-3610***********')
(11:26:13.26589900, '2-3619***********')
(11:26:13.26589900, '2-3620***********')
(11:26:16.15981700, '2-3648***********')
(11:26:19.03096400, '2-3680***********')
(11:26:19.24709000, '2-3681***********')
(11:26:19.46351400, '2-3687***********')
(11:26:19.46351400, '2-3688***********')
(11:26:21.29877400, '2-3711***********')
(11:26:21.29877400, '2-3712***********')
(11:26:22.04860000, '2-3718***********')
(11:26:23.57976900, '2-3733***********')
(11:26:24.22025400, '2-3741***********')
(11:26:27.36309900, '2-3772***********')
(11:26:27.58154100, '2-3774***********')
(11:26:27.58154100, '2-3775***********')
(11:26:28.15951500, '2-3781***********')
(11:26:28.22200100, '2-3782***********')
(11:26:29.52051200, '2-3794***********')
(11:26:33.43051300, '2-3829***********')
(11:26:34.47692700, '2-3840***********')
(11:26:39.52430900, '2-3879***********')
(11:26:39.58682200, '2-3881***********')
(11:26:43.93250800, '2-3928***********')
(11:26:44.32278100, '2-3930***********')
(11:26:45.24669700, '2-3937***********')
(11:26:45.30914800, '2-3939***********')
(11:26:46.73075000, '2-3953***********')
(11:26:47.24623500, '2-3959***********')
(11:26:48.05853500, '2-3964***********')
(11:26:48.05853500, '2-3965***********')
(11:26:50.05968900, '2-3980***********')
(11:26:50.12246100, '2-3981***********')
(11:26:50.35679400, '2-3985***********')
(11:26:51.02943400, '2-3995***********')
(11:26:51.24814300, '2-3997***********')
(11:26:52.32576000, '2-4009***********')
(11:26:54.38830000, '2-4024***********')
(11:27:2.46770500, '2-4105***********')
(11:27:5.54799400, '2-4132***********')
(11:27:7.15671400, '2-4145***********')
(11:27:7.37568200, '2-4150***********')
(11:27:7.37568200, '2-4151***********')
(11:27:8.64267700, '2-4162***********')
(11:27:8.70515300, '2-4163***********')
(11:27:11.65779200, '2-4199***********')
(11:27:11.72026900, '2-4200***********')
(11:27:12.28264300, '2-4203***********')
(11:27:15.37788400, '2-4232***********')
(11:27:17.84583000, '2-4256***********')
(11:27:18.90808200, '2-4267***********')
(11:27:18.90808200, '2-4268***********')
(11:27:21.01883800, '2-4287***********')
(11:27:21.14383900, '2-4289***********')
(11:27:24.86181300, '2-4317***********')
(11:27:25.01830100, '2-4321***********')
(11:27:27.11189200, '2-4342***********')
(11:27:27.93983600, '2-4349***********')
(11:27:28.42436500, '2-4355***********')
(11:27:28.42436500, '2-4356***********')
(11:27:29.75218300, '2-4371***********')
(11:27:30.20909900, '2-4376***********')
(11:27:30.76342600, '2-4383***********')
(11:27:30.76342600, '2-4384***********')
