('10:49:38.315831', '1-387')
('10:49:38.338035', '1-388')
('10:49:38.425142', '1-389')
('10:49:38.446841', '1-390')
('10:49:38.716874', '1-391')
('10:49:38.738804', '1-392')
('10:49:38.760876', '1-393')
('10:49:38.843796', '1-394')
('10:49:38.865859', '1-395')
('10:49:38.948837', '1-396')
('10:49:39.214905', '1-397')
('10:49:39.301879', '1-398')
('10:49:39.323833', '1-399')
('10:49:39.407833', '1-400')
('10:49:39.429929', '1-401')
('10:49:39.447795', '1-402')
('10:49:39.594976', '1-403')
('10:49:39.617850', '1-404')
('10:49:39.639855', '1-405')
('10:49:39.661857', '1-406')
('10:49:39.683988', '1-407')
('10:49:39.766805', '1-408')
('10:49:39.788830', '1-409')
('10:49:39.811109', '1-410')
('10:49:39.958897', '1-411')
('10:49:40.228998', '1-412')
('10:49:40.311836', '1-413')
('10:49:40.455825', '1-414')
('10:49:40.599826', '1-415')
('10:49:40.621793', '1-416')
('10:49:40.769869', '1-417')
('10:49:40.791926', '1-418')
('10:49:41.062906', '1-419')
('10:49:41.084818', '1-420')
('10:49:41.171834', '1-421')
('10:49:41.192799', '1-422')
('10:49:41.213973', '1-423')
('10:49:41.233799', '1-424')
('10:49:41.321827', '1-425')
('10:49:41.529901', '1-426')
('10:49:41.551805', '1-427')
('10:49:41.572788', '1-428')
('10:49:41.595065', '1-429')
('10:49:41.803851', '1-430')
('10:49:41.887792', '1-431')
('10:49:41.909777', '1-432')
('10:49:41.931831', '1-433')
('10:49:41.953801', '1-434')
('10:49:41.976827', '1-435')
('10:49:41.998823', '1-436')
('10:49:42.507887', '1-437')
('10:49:42.530862', '1-438')
('10:49:42.552822', '1-439')
('10:49:42.574777', '1-440')
('10:49:42.659822', '1-441')
('10:49:42.681774', '1-442')
('10:49:43.009867', '1-443')
('10:49:43.275830', '1-444')
('10:49:43.361869', '1-445')
('10:49:43.383964', '1-446')
('10:49:43.405774', '1-447')
('10:49:43.671819', '1-448')
('10:49:43.876824', '1-449')
('10:49:43.967762', '1-450')
('10:49:43.989764', '1-451')
('10:49:44.141732', '1-452')
('10:49:44.414869', '1-453')
('10:49:44.802810', '1-454')
('10:49:44.824756', '1-455')
('10:49:44.846802', '1-456')
('10:49:44.868761', '1-457')
('10:49:44.890761', '1-458')
('10:49:44.913804', '1-459')
('10:49:44.996772', '1-460')
('10:49:45.018781', '1-461')
('10:49:45.170731', '1-462')
('10:49:45.253774', '1-463')
('10:49:45.641814', '1-464')
('10:49:45.846780', '1-465')
('10:49:45.868774', '1-466')
('10:49:45.952788', '1-467')
('10:49:46.096822', '1-468')
('10:49:46.179762', '1-469')
('10:49:46.266828', '1-470')
('10:49:46.357732', '1-471')
('10:49:46.380796', '1-472')
('10:49:46.772746', '1-473')
('10:49:46.859833', '1-474')
('10:49:47.125802', '1-475')
('10:49:47.208796', '1-476')
('10:49:47.230769', '1-477')
('10:49:47.375764', '1-478')
('10:49:48.007853', '1-479')
('10:49:48.090750', '1-480')
('10:49:48.112783', '1-481')
('10:49:48.256791', '1-482')
('10:49:48.705912', '1-483')
('10:49:49.032790', '1-484')
('10:49:49.119840', '1-485')
('10:49:49.263831', '1-486')
('10:49:49.285769', '1-487')
('10:49:49.307750', '1-488')
('10:49:49.512775', '1-489')
('10:49:49.534751', '1-490')
('10:49:49.556728', '1-491')
('10:49:49.578973', '1-492')
('10:49:49.600782', '1-493')
('10:49:49.810970', '1-494')
('10:49:49.832880', '1-495')
('10:49:49.919912', '1-496')
('10:49:50.006820', '1-497')
('10:49:50.211856', '1-498')
('10:49:50.355778', '1-499')
('10:49:50.438774', '1-500')
('10:49:50.583776', '1-501')
('10:49:50.731763', '1-502')
('10:49:50.814759', '1-503')
('10:49:51.084706', '1-504')
('10:49:51.167756', '1-505')
('10:49:51.189724', '1-506')
('10:49:51.520707', '1-507')
('10:49:51.542721', '1-508')
('10:49:51.563718', '1-509')
('10:49:51.585750', '1-510')
('10:49:51.851759', '1-511')
('10:49:51.873723', '1-512')
('10:49:51.895858', '1-513')
('10:49:51.917769', '1-514')
('10:49:51.939764', '1-515')
('10:49:51.961777', '1-516')
('10:49:51.983706', '1-517')
('10:49:52.005770', '1-518')
('10:49:52.092826', '1-519')
('10:49:52.174749', '1-520')
('10:49:52.379764', '1-521')
('10:49:52.401762', '1-522')
('10:49:52.671746', '1-523')
('10:49:52.689727', '1-524')
('10:49:52.891770', '1-525')
('10:49:53.100828', '1-526')
('10:49:53.122707', '1-527')
('10:49:53.205713', '1-528')
('10:49:53.227738', '1-529')
('10:49:53.310757', '1-530')
('10:49:53.458763', '1-531')
('10:49:53.846797', '1-532')
('10:49:53.868852', '1-533')
('10:49:53.890687', '1-534')
('10:49:53.913746', '1-535')
('10:49:54.057748', '1-536')
('10:49:54.140745', '1-537')
('10:49:54.283743', '1-538')
('10:49:54.305704', '1-539')
('10:49:54.392805', '1-540')
('10:49:54.414722', '1-541')
('10:49:54.802731', '1-542')
('10:49:55.008792', '1-543')
('10:49:55.030735', '1-544')
('10:49:55.117921', '1-545')
('10:49:55.261736', '1-546')
('10:49:55.588725', '1-547')
('10:49:55.670726', '1-548')
('10:49:55.818783', '1-549')
('10:49:55.901820', '1-550')
('10:49:55.923687', '1-551')
('10:49:56.433725', '1-552')
('10:49:56.578733', '1-553')
('10:49:56.598679', '1-554')
('10:49:56.983738', '1-555')
('10:49:57.066685', '1-556')
('10:49:57.153795', '1-557')
('10:49:57.305642', '1-558')
('10:49:57.326691', '1-559')
('10:49:57.600742', '1-560')
('10:49:57.622678', '1-561')
('10:49:57.765718', '1-562')
('10:49:57.856641', '1-563')
('10:49:57.878718', '1-564')
('10:49:57.900691', '1-565')
('10:49:57.922900', '1-566')
('10:49:57.945721', '1-567')
('10:49:57.965677', '1-568')
