('10:22:52.038851', '5-432')
('10:22:52.210696', '5-433')
('10:22:52.272907', '5-434')
('10:22:52.319772', '5-435')
('10:22:52.366933', '5-436')
('10:22:52.491761', '5-437')
('10:22:52.601250', '5-438')
('10:22:52.710455', '5-439')
('10:22:52.835278', '5-440')
('10:22:52.882164', '5-441')
('10:22:52.929219', '5-442')
('10:22:53.053979', '5-443')
('10:22:53.101125', '5-444')
('10:22:53.210471', '5-445')
('10:22:53.272678', '5-446')
('10:22:53.319543', '5-447')
('10:22:53.366434', '5-448')
('10:22:53.413556', '5-449')
('10:22:53.460324', '5-450')
('10:22:53.585119', '5-451')
('10:22:53.694479', '5-452')
('10:22:53.757029', '5-453')
('10:22:53.804039', '5-454')
('10:22:53.850966', '5-455')
('10:22:53.913157', '5-456')
('10:22:54.022780', '5-457')
('10:22:54.147580', '5-458')
('10:22:54.194365', '5-459')
('10:22:54.256887', '5-460')
('10:22:54.491149', '5-461')
('10:22:54.600620', '5-462')
('10:22:54.852398', '5-463')
('10:22:54.962020', '5-464')
('10:22:55.008889', '5-465')
('10:22:55.305627', '5-466')
('10:22:55.617853', '5-467')
('10:22:55.727197', '5-468')
('10:22:55.836749', '5-469')
('10:22:55.961705', '5-470')
('10:22:56.071132', '5-471')
('10:22:56.117882', '5-472')
('10:22:56.180219', '5-473')
('10:22:56.227377', '5-474')
('10:22:56.282061', '5-475')
('10:22:56.334049', '5-476')
('10:22:56.634120', '5-477')
('10:22:56.759091', '5-478')
('10:22:56.806233', '5-479')
('10:22:57.040556', '5-480')
('10:22:57.102809', '5-481')
('10:22:57.149913', '5-482')
('10:22:57.384242', '5-483')
('10:22:57.508942', '5-484')
('10:22:57.618550', '5-485')
('10:22:57.681032', '5-486')
('10:22:57.727864', '5-487')
('10:22:57.774735', '5-488')
('10:22:57.884129', '5-489')
('10:22:57.946599', '5-490')
('10:22:57.993453', '5-491')
('10:22:58.165020', '5-492')
('10:22:58.289991', '5-493')
('10:22:58.414961', '5-494')
('10:22:58.461826', '5-495')
('10:22:58.508692', '5-496')
('10:22:58.633663', '5-497')
('10:22:58.743011', '5-498')
('10:22:58.867984', '5-499')
('10:22:58.914848', '5-500')
('10:22:58.961712', '5-501')
('10:22:59.071061', '5-502')
('10:22:59.305660', '5-503')
('10:22:59.430356', '5-504')
('10:22:59.664676', '5-505')
('10:22:59.852134', '5-506')
('10:22:59.898997', '5-507')
('10:22:59.945862', '5-508')
('10:23:00.008529', '5-509')
('10:23:00.055236', '5-510')
('10:23:00.102266', '5-511')
('10:23:00.461368', '5-512')
('10:23:00.586340', '5-513')
('10:23:00.697627', '5-514')
('10:23:00.947752', '5-515')
('10:23:00.994621', '5-516')
('10:23:01.041559', '5-517')
('10:23:01.088455', '5-518')
('10:23:01.275819', '5-519')
('10:23:01.400794', '5-520')
('10:23:01.447733', '5-521')
('10:23:01.619293', '5-522')
('10:23:01.682059', '5-523')
('10:23:01.791153', '5-524')
('10:23:01.978714', '5-525')
('10:23:02.088227', '5-526')
('10:23:02.275574', '5-527')
('10:23:02.322536', '5-528')
('10:23:02.572197', '5-529')
('10:23:02.619091', '5-530')
('10:23:02.728689', '5-531')
('10:23:02.900524', '5-532')
('10:23:03.087880', '5-533')
('10:23:03.134569', '5-534')
('10:23:03.306681', '5-535')
('10:23:03.369103', '5-536')
('10:23:03.416049', '5-537')
('10:23:03.540883', '5-538')
('10:23:03.603211', '5-539')
('10:23:03.837726', '5-540')
('10:23:04.087652', '5-541')
('10:23:04.212447', '5-542')
('10:23:04.384305', '5-543')
('10:23:04.446925', '5-544')
('10:23:04.743771', '5-545')
('10:23:04.790471', '5-546')
('10:23:04.837576', '5-547')
('10:23:04.899882', '5-548')
('10:23:05.134175', '5-549')
('10:23:05.181208', '5-550')
('10:23:05.353071', '5-551')
('10:23:05.477856', '5-552')
('10:23:05.649895', '5-553')
('10:23:05.696760', '5-554')
('10:23:05.805904', '5-555')
('10:23:05.868538', '5-556')
('10:23:06.055908', '5-557')
('10:23:06.352814', '5-558')
('10:23:06.461933', '5-559')
('10:23:06.589606', '5-560')
('10:23:06.636545', '5-561')
('10:23:06.683173', '5-562')
('10:23:06.745627', '5-563')
('10:23:06.792667', '5-564')
('10:23:06.979947', '5-565')
('10:23:07.104921', '5-566')
('10:23:07.152014', '5-567')
('10:23:07.198700', '5-568')
('10:23:07.261430', '5-569')
('10:23:07.557940', '5-570')
('10:23:07.604952', '5-571')
('10:23:07.667290', '5-572')
('10:23:07.776640', '5-573')
('10:23:07.948755', '5-574')
('10:23:08.073627', '5-575')
('10:23:08.120541', '5-576')
('10:23:08.167175', '5-577')
('10:23:08.292186', '5-578')
('10:23:08.588990', '5-579')
('10:23:08.636097', '5-580')
('10:23:08.885899', '5-581')
('10:23:08.995382', '5-582')
('10:23:09.057873', '5-583')
('10:23:09.104617', '5-584')
('10:23:09.151327', '5-585')
('10:23:09.213811', '5-586')
