(10:43:27.15407400, '2-2788***********')
(10:43:27.49954400, '2-2797***********')
(10:43:31.25719300, '2-2827***********')
(10:43:31.26018500, '2-2828***********')
(10:43:32.94705900, '2-2843***********')
(10:43:32.95010300, '2-2844***********')
(10:43:33.55899000, '2-2846***********')
(10:43:33.56198500, '2-2847***********')
(10:43:33.65236200, '2-2848***********')
(10:43:33.93913800, '2-2853***********')
(10:43:35.01071400, '2-2862***********')
(10:43:35.65296000, '2-2866***********')
(10:43:35.65496100, '2-2867***********')
(10:43:35.87275500, '2-2872***********')
(10:43:36.33210400, '2-2877***********')
(10:43:36.42430900, '2-2879***********')
(10:43:37.18661300, '2-2884***********')
(10:43:38.11927300, '2-2894***********')
(10:43:39.92045400, '2-2910***********')
(10:43:40.10582100, '2-2913***********')
(10:43:40.16684000, '2-2914***********')
(10:43:41.57646800, '2-2929***********')
(10:43:41.57946000, '2-2930***********')
(10:43:43.91500100, '2-2948***********')
(10:43:44.00787700, '2-2951***********')
(10:43:44.72441100, '2-2958***********')
(10:43:47.86576800, '2-2975***********')
(10:43:48.26339200, '2-2981***********')
(10:43:48.26638400, '2-2982***********')
(10:43:50.66061200, '2-3007***********')
(10:43:50.66460500, '2-3008***********')
(10:43:51.14238900, '2-3012***********')
(10:43:51.14637300, '2-3013***********')
(10:43:51.67804600, '2-3018***********')
(10:43:52.76229500, '2-3026***********')
(10:43:54.42383100, '2-3042***********')
(10:43:54.42682300, '2-3043***********')
(10:43:54.97739400, '2-3046***********')
(10:43:55.03920400, '2-3047***********')
(10:43:55.88988300, '2-3053***********')
(10:43:57.11072500, '2-3062***********')
(10:43:57.39890700, '2-3067***********')
(10:43:57.40189600, '2-3068***********')
(10:43:58.32608200, '2-3075***********')
(10:43:58.38692100, '2-3076***********')
(10:44:0.84907800, '2-3093***********')
(10:44:5.29626400, '2-3114***********')
(10:44:7.54731600, '2-3128***********')
(10:44:8.21285100, '2-3134***********')
(10:44:10.93336200, '2-3152***********')
(10:44:11.97648400, '2-3158***********')
(10:44:14.78982000, '2-3182***********')
(10:44:14.79281300, '2-3180***********')
(10:44:18.63308400, '2-3204***********')
(10:44:19.00296400, '2-3208***********')
(10:44:19.06423900, '2-3209***********')
(10:44:20.62131100, '2-3219***********')
(10:44:20.68018900, '2-3220***********')
(10:44:20.96656500, '2-3226***********')
(10:44:23.51819900, '2-3242***********')
(10:44:24.09004900, '2-3248***********')
(10:44:24.53341100, '2-3250***********')
(10:44:24.59430400, '2-3252***********')
(10:44:25.04295000, '2-3255***********')
(10:44:25.04594200, '2-3256***********')
(10:44:26.33871300, '2-3266***********')
(10:44:27.00734600, '2-3270***********')
(10:44:27.01132800, '2-3271***********')
(10:44:28.83914500, '2-3285***********')
(10:44:29.19607300, '2-3288***********')
(10:44:31.48744100, '2-3307***********')
(10:44:34.48029300, '2-3333***********')
(10:44:34.64352800, '2-3336***********')
(10:44:35.25887100, '2-3339***********')
(10:44:35.38193700, '2-3341***********')
(10:44:35.47545000, '2-3343***********')
(10:44:37.73977200, '2-3361***********')
(10:44:37.80070300, '2-3362***********')
(10:44:37.80269500, '2-3363***********')
(10:44:38.61984500, '2-3368***********')
(10:44:39.07831900, '2-3373***********')
(10:44:39.30097900, '2-3375***********')
(10:44:39.30400900, '2-3376***********')
(10:44:39.36239000, '2-3377***********')
(10:44:39.36538200, '2-3378***********')
(10:44:45.86350700, '2-3435***********')
(10:44:46.05892200, '2-3439***********')
(10:44:46.06188300, '2-3440***********')
(10:44:46.41566800, '2-3443***********')
(10:44:47.58960300, '2-3451***********')
(10:44:48.26659200, '2-3454***********')
(10:44:50.86457400, '2-3470***********')
(10:44:50.86759700, '2-3471***********')
(10:44:52.56198100, '2-3489***********')
(10:44:53.97420400, '2-3502***********')
(10:44:54.47674200, '2-3505***********')
(10:44:54.47973800, '2-3506***********')
(10:44:56.25618800, '2-3519***********')
(10:44:56.79796600, '2-3526***********')
(10:44:57.34151200, '2-3531***********')
(10:44:57.43453200, '2-3533***********')
(10:44:57.43752400, '2-3534***********')
(10:44:58.93008100, '2-3549***********')
(10:44:59.35028800, '2-3555***********')
(10:44:59.89141300, '2-3557***********')
(10:45:1.26798300, '2-3565***********')
(10:45:3.85028400, '2-3585***********')
(10:45:5.55876300, '2-3596***********')
(10:45:6.36666400, '2-3607***********')
(10:45:10.27863300, '2-3631***********')
(10:45:11.92164100, '2-3647***********')
(10:45:17.18541200, '2-3687***********')
(10:45:17.44238500, '2-3689***********')
(10:45:18.66726400, '2-3701***********')
(10:45:20.75149300, '2-3711***********')
(10:45:20.75445200, '2-3712***********')
(10:45:24.72129800, '2-3737***********')
(10:45:27.90907900, '2-3753***********')
(10:45:27.91207200, '2-3754***********')
(10:45:33.13570500, '2-3792***********')
(10:45:33.13969200, '2-3793***********')
(10:45:33.49318200, '2-3797***********')
(10:45:34.99810100, '2-3813***********')
(10:45:36.20203200, '2-3830***********')
(10:45:36.20501800, '2-3831***********')
(10:45:36.80515000, '2-3836***********')
(10:45:36.89854400, '2-3838***********')
(10:45:39.21595100, '2-3856***********')
(10:45:39.27685900, '2-3858***********')
(10:45:40.20403900, '2-3867***********')
(10:45:41.40303000, '2-3878***********')
(10:45:41.40901100, '2-3879***********')
(10:45:41.56427900, '2-3881***********')
(10:45:42.15568400, '2-3884***********')
(10:45:45.19425100, '2-3905***********')
(10:45:46.22252000, '2-3912***********')
(10:45:48.25275600, '2-3920***********')
(10:45:49.82492100, '2-3940***********')
(10:45:50.08108500, '2-3945***********')
(10:45:53.87746100, '2-3978***********')
(10:45:53.88045300, '2-3979***********')
(10:45:54.88081600, '2-3990***********')
(10:45:55.58837900, '2-3996***********')
(10:45:55.59037300, '2-3997***********')
(10:45:57.21443600, '2-4009***********')
(10:45:57.21742600, '2-4010***********')
(10:45:58.65825800, '2-4024***********')
(10:45:59.47791200, '2-4034***********')
(10:46:0.74199800, '2-4044***********')
(10:46:3.65656600, '2-4064***********')
(10:46:5.03861800, '2-4072***********')
(10:46:5.09853000, '2-4073***********')
(10:46:5.93774900, '2-4080***********')
(10:46:8.75934500, '2-4094***********')
(10:46:8.76134300, '2-4095***********')
(10:46:14.19328500, '2-4146***********')
(10:46:14.78540200, '2-4151***********')
(10:46:15.54247700, '2-4156***********')
(10:46:16.76772000, '2-4162***********')
(10:46:16.77070600, '2-4163***********')
(10:46:17.24953800, '2-4169***********')
(10:46:17.59860800, '2-4174***********')
(10:46:18.29113600, '2-4184***********')
(10:46:19.33148000, '2-4189***********')
(10:46:20.13288700, '2-4196***********')
(10:46:21.07282400, '2-4204***********')
(10:46:22.95771500, '2-4212***********')
(10:46:24.15345300, '2-4218***********')
(10:46:25.35832500, '2-4226***********')
(10:46:27.93777000, '2-4243***********')
(10:46:28.39728900, '2-4250***********')
(10:46:32.01509900, '2-4270***********')
(10:46:32.46825300, '2-4274***********')
(10:46:33.77618500, '2-4288***********')
(10:46:34.43111800, '2-4292***********')
(10:46:35.49499900, '2-4299***********')
(10:46:35.55683500, '2-4300***********')
(10:46:36.43434600, '2-4306***********')
(10:46:36.43737000, '2-4307***********')
(10:46:37.47567400, '2-4313***********')
(10:46:41.76383500, '2-4335***********')
(10:46:43.24531500, '2-4342***********')
(10:46:43.24830700, '2-4343***********')
