(14:58:31.99708900, '2-1097***********')
(14:58:32.32476500, '2-1103***********')
(14:58:32.32772300, '2-1102***********')
(14:58:32.33074900, '2-1101***********')
(14:58:33.25939600, '2-1113***********')
(14:58:33.44512700, '2-1117***********')
(14:58:33.91878100, '2-1123***********')
(14:58:34.38284600, '2-1129***********')
(14:58:35.85623400, '2-1145***********')
(14:58:36.32056800, '2-1151***********')
(14:58:36.38253800, '2-1152***********')
(14:58:36.38453200, '2-1153***********')
(14:58:36.50615600, '2-1154***********')
(14:58:36.56796100, '2-1155***********')
(14:58:36.94722500, '2-1159***********')
(14:58:36.95018200, '2-1160***********')
(14:58:37.71520100, '2-1167***********')
(14:58:37.71719500, '2-1168***********')
(14:58:37.93184500, '2-1170***********')
(14:58:37.93385800, '2-1171***********')
(14:58:38.31407300, '2-1176***********')
(14:58:38.83410300, '2-1184***********')
(14:58:39.52532000, '2-1196***********')
(14:58:39.64724200, '2-1198***********')
(14:58:39.65022700, '2-1199***********')
(14:58:40.07990100, '2-1204***********')
(14:58:40.35917800, '2-1212***********')
(14:58:40.36214600, '2-1213***********')
(14:58:40.54368700, '2-1216***********')
(14:58:40.54667900, '2-1217***********')
(14:58:40.97755300, '2-1221***********')
(14:58:41.62732500, '2-1228***********')
(14:58:41.63031700, '2-1229***********')
(14:58:42.01949900, '2-1236***********')
(14:58:42.02252000, '2-1237***********')
(14:58:42.38942100, '2-1242***********')
(14:58:42.39241700, '2-1243***********')
(14:58:42.79056200, '2-1248***********')
(14:58:42.79355100, '2-1249***********')
(14:58:42.97678200, '2-1252***********')
(14:58:42.97977400, '2-1253***********')
(14:58:43.35632500, '2-1260***********')
(14:58:43.57253700, '2-1264***********')
(14:58:43.75794000, '2-1267***********')
(14:58:44.19206300, '2-1272***********')
(14:58:44.85969600, '2-1286***********')
(14:58:44.86268800, '2-1287***********')
(14:58:45.36609600, '2-1298***********')
(14:58:45.36809100, '2-1299***********')
(14:58:46.29186200, '2-1308***********')
(14:58:46.41582000, '2-1311***********')
(14:58:46.53946000, '2-1312***********')
(14:58:46.60141100, '2-1313***********')
(14:58:46.60340600, '2-1314***********')
(14:58:46.69419300, '2-1315***********')
(14:58:47.25227100, '2-1321***********')
(14:58:47.68503900, '2-1325***********')
(14:58:47.68803100, '2-1326***********')
(14:58:47.87967700, '2-1330***********')
(14:58:47.88267000, '2-1331***********')
(14:58:48.15789900, '2-1335***********')
(14:58:48.25027600, '2-1338***********')
(14:58:48.52902000, '2-1340***********')
(14:58:48.72150100, '2-1342***********')
(14:58:48.87512400, '2-1344***********')
(14:58:49.24617300, '2-1352***********')
(14:58:49.88090900, '2-1358***********')
(14:58:50.28424100, '2-1363***********')
(14:58:50.28624400, '2-1364***********')
(14:58:50.50056800, '2-1367***********')
(14:58:51.03786500, '2-1371***********')
(14:58:51.16199300, '2-1374***********')
(14:58:51.16502100, '2-1375***********')
(14:58:51.37969400, '2-1377***********')
(14:58:51.87522300, '2-1381***********')
(14:58:52.67883600, '2-1390***********')
(14:58:52.92695900, '2-1392***********')
(14:58:52.98779600, '2-1393***********')
(14:58:52.99078800, '2-1394***********')
(14:58:53.36789700, '2-1399***********')
(14:58:53.65581400, '2-1400***********')
(14:58:53.65880600, '2-1401***********')
(14:58:53.71740300, '2-1402***********')
(14:58:53.96532200, '2-1404***********')
(14:58:54.53191100, '2-1408***********')
(14:58:54.83990200, '2-1410***********')
(14:58:54.96356900, '2-1412***********')
(14:58:54.96656300, '2-1413***********')
(14:58:55.30291700, '2-1417***********')
(14:58:55.30489600, '2-1418***********')
(14:58:55.45729300, '2-1421***********')
(14:58:55.79730700, '2-1425***********')
(14:58:56.16758500, '2-1431***********')
(14:58:56.17054800, '2-1432***********')
(14:58:57.90672900, '2-1455***********')
(14:58:57.99963700, '2-1456***********')
(14:58:58.74180000, '2-1470***********')
(14:58:58.80266700, '2-1471***********')
(14:58:58.80565900, '2-1472***********')
(14:58:58.95829800, '2-1476***********')
(14:58:58.96127600, '2-1477***********')
(14:58:59.23738900, '2-1480***********')
(14:58:59.49346000, '2-1488***********')
(14:58:59.49642000, '2-1489***********')
(14:58:59.99655500, '2-1497***********')
(14:59:0.37653900, '2-1506***********')
(14:59:0.43837300, '2-1507***********')
(14:59:0.44036800, '2-1508***********')
(14:59:0.79445100, '2-1516***********')
(14:59:0.95000400, '2-1519***********')
(14:59:1.56439100, '2-1523***********')
(14:59:1.71997100, '2-1525***********')
