('14:57:28.762169', b'B-dur: 30959; ssid: 1-199\r\n', '')
('14:57:28.793280', b'B-dur: 30959; ssid: 1-200\r\n', '')
('14:57:28.853120', b'S-dur: 61457\r\n', '')
('14:57:28.886072', b'B-dur: 31475; ssid: 1-201\r\n', '')
('14:57:28.945876', b'S-dur: 61433\r\n', '')
('14:57:28.978822', b'B-dur: 31491; ssid: 1-202\r\n', '')
('14:57:29.009739', b'B-dur: 30955; ssid: 1-203\r\n', '')
('14:57:29.041379', b'B-dur: 30959; ssid: 1-204\r\n', '')
('14:57:29.072426', b'B-dur: 30959; ssid: 1-205\r\n', '')
('14:57:29.102507', b'B-dur: 30959; ssid: 1-206\r\n', '')
('14:57:29.133640', b'B-dur: 30959; ssid: 1-207\r\n', '')
('14:57:29.164558', b'B-dur: 30959; ssid: 1-208\r\n', '')
('14:57:29.225470', b'S-dur: 61070\r\n', '')
('14:57:29.256608', b'B-dur: 30862; ssid: 1-209\r\n', '')
('14:57:29.318175', b'D2-193************************\r\n', '')
('14:57:29.320169', b'S-dur: 61318\r\n', '')
('14:57:29.380008', b'D2-194************************\r\n', '')
('14:57:29.381009', b'S-dur: 61099\r\n', '')
('14:57:29.410926', b'B-dur: 31484; ssid: 1-210\r\n', '')
('14:57:29.472926', b'D2-196************************\r\n', '')
('14:57:29.475919', b'D2-197************************\r\n', '')
('14:57:29.476919', b'S-dur: 61427\r\n', '')
('14:57:29.503844', b'B-dur: 31501; ssid: 1-211\r\n', '')
('14:57:29.565964', b'D2-199************************\r\n', '')
('14:57:29.568033', b'D2-200************************\r\n', '')
('14:57:29.570091', b'S-dur: 61515\r\n', '')
('14:57:29.597272', b'B-dur: 31413; ssid: 1-212\r\n', '')
('14:57:29.628421', b'B-dur: 30955; ssid: 1-213\r\n', '')
('14:57:29.690272', b'D2-203************************\r\n', '')
('14:57:29.692267', b'D2-204************************\r\n', '')
('14:57:29.694261', b'S-dur: 61557\r\n', '')
('14:57:29.721192', b'B-dur: 31375; ssid: 1-214\r\n', '')
('14:57:29.820922', b'N-dur: 100955\r\n', '')
('14:57:29.852945', b'B-dur: 30962; ssid: 1-215\r\n', '')
('14:57:29.884264', b'B-dur: 30923; ssid: 1-216\r\n', '')
('14:57:29.915289', b'B-dur: 30959; ssid: 1-217\r\n', '')
('14:57:29.946241', b'B-dur: 30959; ssid: 1-218\r\n', '')
('14:57:30.008076', b'D2-211************************\r\n', '')
('14:57:30.009074', b'S-dur: 61710\r\n', '')
('14:57:30.038994', b'B-dur: 31218; ssid: 1-219\r\n', '')
('14:57:30.070021', b'B-dur: 30955; ssid: 1-220\r\n', '')
('14:57:30.101024', b'B-dur: 30959; ssid: 1-221\r\n', '')
('14:57:30.132126', b'B-dur: 30959; ssid: 1-222\r\n', '')
('14:57:30.163150', b'B-dur: 30959; ssid: 1-223\r\n', '')
('14:57:30.194285', b'B-dur: 30959; ssid: 1-224\r\n', '')
('14:57:30.254528', b'S-dur: 61117\r\n', '')
('14:57:30.315399', b'S-dur: 61111\r\n', '')
('14:57:30.348309', b'B-dur: 31675; ssid: 1-225\r\n', '')
('14:57:30.408116', b'S-dur: 61366\r\n', '')
('14:57:30.441061', b'B-dur: 31562; ssid: 1-226\r\n', '')
('14:57:30.501026', b'S-dur: 61383\r\n', '')
('14:57:30.533966', b'B-dur: 31545; ssid: 1-227\r\n', '')
('14:57:30.564884', b'B-dur: 30955; ssid: 1-228\r\n', '')
('14:57:30.595800', b'B-dur: 30959; ssid: 1-229\r\n', '')
('14:57:30.626717', b'B-dur: 30959; ssid: 1-230\r\n', '')
('14:57:30.689517', b'D2-219************************\r\n', '')
('14:57:30.690547', b'S-dur: 61504\r\n', '')
('14:57:30.720432', b'B-dur: 31428; ssid: 1-231\r\n', '')
('14:57:30.750818', b'B-dur: 30955; ssid: 1-232\r\n', '')
('14:57:30.811539', b'S-dur: 61413\r\n', '')
('14:57:30.874406', b'D2-221************************\r\n', '')
('14:57:30.875368', b'S-dur: 61034\r\n', '')
('14:57:30.905304', b'B-dur: 31459; ssid: 1-233\r\n', '')
('14:57:30.967156', b'D2-223************************\r\n', '')
('14:57:30.969150', b'D2-224************************\r\n', '')
('14:57:30.970149', b'S-dur: 61416\r\n', '')
('14:57:30.998200', b'B-dur: 31513; ssid: 1-234\r\n', '')
('14:57:31.059235', b'D2-226************************\r\n', '')
('14:57:31.061195', b'S-dur: 61334\r\n', '')
('14:57:31.119209', b'S-dur: 61046\r\n', '')
('14:57:31.152336', b'B-dur: 31518; ssid: 1-235\r\n', '')
('14:57:31.252165', b'N-dur: 100955\r\n', '')
('14:57:31.285325', b'B-dur: 31963; ssid: 1-236\r\n', '')
('14:57:31.316369', b'B-dur: 30923; ssid: 1-237\r\n', '')
('14:57:31.347261', b'B-dur: 30959; ssid: 1-238\r\n', '')
('14:57:31.409281', b'D2-231************************\r\n', '')
('14:57:31.410307', b'S-dur: 61629\r\n', '')
('14:57:31.468302', b'S-dur: 60709\r\n', '')
('14:57:31.531129', b'D2-233************************\r\n', '')
('14:57:31.532129', b'S-dur: 61094\r\n', '')
('14:57:31.562047', b'B-dur: 31451; ssid: 1-239\r\n', '')
('14:57:31.592964', b'B-dur: 30955; ssid: 1-240\r\n', '')
('14:57:31.623881', b'B-dur: 30959; ssid: 1-241\r\n', '')
('14:57:31.683721', b'S-dur: 61226\r\n', '')
('14:57:31.717592', b'B-dur: 31706; ssid: 1-242\r\n', '')
('14:57:31.777432', b'S-dur: 61042\r\n', '')
('14:57:31.809380', b'B-dur: 30889; ssid: 1-243\r\n', '')
('14:57:31.840300', b'B-dur: 30957; ssid: 1-244\r\n', '')
('14:57:31.871351', b'B-dur: 30959; ssid: 1-245\r\n', '')
('14:57:31.902267', b'B-dur: 30959; ssid: 1-246\r\n', '')
('14:57:31.933218', b'B-dur: 30959; ssid: 1-247\r\n', '')
('14:57:31.964103', b'B-dur: 30959; ssid: 1-248\r\n', '')
('14:57:31.995085', b'B-dur: 30959; ssid: 1-249\r\n', '')
('14:57:32.057045', b'D2-241************************\r\n', '')
('14:57:32.058042', b'S-dur: 61488\r\n', '')
('14:57:32.115853', b'S-dur: 60734\r\n', '')
('14:57:32.148789', b'B-dur: 31684; ssid: 1-250\r\n', '')
('14:57:32.180140', b'B-dur: 30955; ssid: 1-251\r\n', '')
('14:57:32.240825', b'S-dur: 61380\r\n', '')
('14:57:32.303656', b'D2-244************************\r\n', '')
('14:57:32.304654', b'S-dur: 61323\r\n', '')
('14:57:32.364461', b'D2-245************************\r\n', '')
('14:57:32.365491', b'S-dur: 61076\r\n', '')
('14:57:32.395381', b'B-dur: 31100; ssid: 1-252\r\n', '')
('14:57:32.426296', b'B-dur: 30955; ssid: 1-253\r\n', '')
('14:57:32.457248', b'B-dur: 30959; ssid: 1-254\r\n', '')
('14:57:32.519080', b'D2-250************************\r\n', '')
('14:57:32.520078', b'S-dur: 61418\r\n', '')
('14:57:32.578920', b'S-dur: 61020\r\n', '')
('14:57:32.610835', b'B-dur: 31465; ssid: 1-255\r\n', '')
('14:57:32.641755', b'B-dur: 30955; ssid: 1-256\r\n', '')
('14:57:32.672669', b'B-dur: 30959; ssid: 1-257\r\n', '')
('14:57:32.704555', b'B-dur: 30959; ssid: 1-258\r\n', '')
('14:57:32.764595', b'S-dur: 61414\r\n', '')
('14:57:32.825573', b'S-dur: 60699\r\n', '')
('14:57:32.886654', b'S-dur: 61040\r\n', '')
('14:57:32.921616', b'B-dur: 31727; ssid: 1-259\r\n', '')
('14:57:32.979460', b'S-dur: 61427\r\n', '')
('14:57:33.040518', b'S-dur: 61414\r\n', '')
('14:57:33.141918', b'N-dur: 101062\r\n', '')
('14:57:33.174924', b'B-dur: 31963; ssid: 1-260\r\n', '')
('14:57:33.236795', b'D2-258************************\r\n', '')
('14:57:33.238792', b'S-dur: 61569\r\n', '')
('14:57:33.267795', b'B-dur: 31320; ssid: 1-261\r\n', '')
('14:57:33.298678', b'B-dur: 30955; ssid: 1-262\r\n', '')
('14:57:33.360656', b'D2-261************************\r\n', '')
('14:57:33.363649', b'D2-262************************\r\n', '')
('14:57:33.364646', b'S-dur: 61454\r\n', '')
('14:57:33.391539', b'B-dur: 31478; ssid: 1-263\r\n', '')
('14:57:33.423651', b'B-dur: 30955; ssid: 1-264\r\n', '')
('14:57:33.455705', b'B-dur: 30959; ssid: 1-265\r\n', '')
('14:57:33.484651', b'B-dur: 30958; ssid: 1-266\r\n', '')
('14:57:33.544835', b'S-dur: 61120\r\n', '')
('14:57:33.577832', b'B-dur: 31812; ssid: 1-267\r\n', '')
('14:57:33.608751', b'B-dur: 30957; ssid: 1-268\r\n', '')
('14:57:33.709390', b'N-dur: 100959\r\n', '')
('14:57:33.742337', b'B-dur: 31962; ssid: 1-269\r\n', '')
('14:57:33.802172', b'S-dur: 61549\r\n', '')
('14:57:33.835416', b'B-dur: 31346; ssid: 1-270\r\n', '')
('14:57:33.866647', b'B-dur: 30955; ssid: 1-271\r\n', '')
('14:57:33.896822', b'B-dur: 30959; ssid: 1-272\r\n', '')
('14:57:33.957658', b'S-dur: 61197\r\n', '')
('14:57:33.990538', b'B-dur: 31735; ssid: 1-273\r\n', '')
('14:57:34.050378', b'S-dur: 61077\r\n', '')
('14:57:34.111215', b'S-dur: 61021\r\n', '')
('14:57:34.144159', b'B-dur: 31807; ssid: 1-274\r\n', '')
('14:57:34.175042', b'B-dur: 30955; ssid: 1-275\r\n', '')
('14:57:34.239546', b'D2-269************************\r\n', '')
('14:57:34.241572', b'D2-270************************\r\n', '')
('14:57:34.242569', b'S-dur: 61490\r\n', '')
('14:57:34.297401', b'S-dur: 61016\r\n', '')
('14:57:34.358230', b'S-dur: 60817\r\n', '')
('14:57:34.392143', b'B-dur: 31556; ssid: 1-276\r\n', '')
('14:57:34.421092', b'B-dur: 30955; ssid: 1-277\r\n', '')
('14:57:34.452009', b'B-dur: 30962; ssid: 1-278\r\n', '')
('14:57:34.482926', b'B-dur: 30954; ssid: 1-279\r\n', '')
('14:57:34.542945', b'S-dur: 61098\r\n', '')
('14:57:34.578820', b'B-dur: 31835; ssid: 1-280\r\n', '')
('14:57:34.636826', b'S-dur: 61108\r\n', '')
('14:57:34.670927', b'B-dur: 31822; ssid: 1-281\r\n', '')
('14:57:34.768863', b'N-dur: 100957\r\n', '')
('14:57:34.801985', b'B-dur: 31963; ssid: 1-282\r\n', '')
('14:57:34.861956', b'S-dur: 61288\r\n', '')
('14:57:34.895072', b'B-dur: 31609; ssid: 1-283\r\n', '')
('14:57:34.925985', b'B-dur: 30957; ssid: 1-284\r\n', '')
('14:57:34.986359', b'S-dur: 61478\r\n', '')
('14:57:35.019270', b'B-dur: 31454; ssid: 1-285\r\n', '')
('14:57:35.050320', b'B-dur: 30955; ssid: 1-286\r\n', '')
('14:57:35.110193', b'S-dur: 61418\r\n', '')
('14:57:35.143104', b'B-dur: 31513; ssid: 1-287\r\n', '')
('14:57:35.174024', b'B-dur: 30955; ssid: 1-288\r\n', '')
('14:57:35.234673', b'S-dur: 61434\r\n', '')
('14:57:35.267758', b'B-dur: 31497; ssid: 1-289\r\n', '')
('14:57:35.331556', b'D2-281************************\r\n', '')
('14:57:35.333582', b'D2-282************************\r\n', '')
('14:57:35.334581', b'S-dur: 61517\r\n', '')
('14:57:35.361506', b'B-dur: 31411; ssid: 1-290\r\n', '')
('14:57:35.392396', b'B-dur: 30955; ssid: 1-291\r\n', '')
