('14:57:25.419082', b'B-dur: 30958; ssid: 2-125\r\n', '')
('14:57:25.482913', b'D1-137************************\r\n', '')
('14:57:25.483910', b'S-dur: 61640\r\n', '')
('14:57:25.512100', b'B-dur: 31291; ssid: 2-126\r\n', '')
('14:57:25.543155', b'B-dur: 30954; ssid: 2-127\r\n', '')
('14:57:25.574074', b'B-dur: 30958; ssid: 2-128\r\n', '')
('14:57:25.637902', b'D1-141************************\r\n', '')
('14:57:25.638899', b'S-dur: 61888\r\n', '')
('14:57:25.699941', b'D1-142************************\r\n', '')
('14:57:25.700934', b'S-dur: 61780\r\n', '')
('14:57:25.729009', b'B-dur: 31233; ssid: 2-129\r\n', '')
('14:57:25.759927', b'B-dur: 30954; ssid: 2-130\r\n', '')
('14:57:25.790845', b'B-dur: 30958; ssid: 2-131\r\n', '')
('14:57:25.858664', b'D1-146************************\r\n', '')
('14:57:25.864650', b'D1-147************************\r\n', '')
('14:57:25.865646', b'S-dur: 62005\r\n', '')
('14:57:25.883597', b'B-dur: 30926; ssid: 2-132\r\n', '')
('14:57:25.943438', b'S-dur: 61480\r\n', '')
('14:57:25.977346', b'B-dur: 31444; ssid: 2-133\r\n', '')
('14:57:26.008262', b'B-dur: 30956; ssid: 2-134\r\n', '')
('14:57:26.038211', b'B-dur: 30958; ssid: 2-135\r\n', '')
('14:57:26.069203', b'B-dur: 30958; ssid: 2-136\r\n', '')
('14:57:26.101256', b'B-dur: 30958; ssid: 2-137\r\n', '')
('14:57:26.165170', b'D1-150************************\r\n', '')
('14:57:26.166167', b'S-dur: 61873\r\n', '')
('14:57:26.193341', b'B-dur: 31058; ssid: 2-138\r\n', '')
('14:57:26.253247', b'S-dur: 61497\r\n', '')
('14:57:26.287155', b'B-dur: 31430; ssid: 2-139\r\n', '')
('14:57:26.318073', b'B-dur: 30956; ssid: 2-140\r\n', '')
('14:57:26.348990', b'B-dur: 30958; ssid: 2-141\r\n', '')
('14:57:26.379907', b'B-dur: 30958; ssid: 2-142\r\n', '')
('14:57:26.410823', b'B-dur: 30958; ssid: 2-143\r\n', '')
('14:57:26.441741', b'B-dur: 30958; ssid: 2-144\r\n', '')
('14:57:26.472660', b'B-dur: 30958; ssid: 2-145\r\n', '')
('14:57:26.503609', b'B-dur: 30958; ssid: 2-146\r\n', '')
('14:57:26.534495', b'B-dur: 30958; ssid: 2-147\r\n', '')
('14:57:26.634229', b'N-dur: 100959\r\n', '')
('14:57:26.668135', b'B-dur: 31963; ssid: 2-148\r\n', '')
('14:57:26.727013', b'S-dur: 61475\r\n', '')
('14:57:26.760888', b'B-dur: 31420; ssid: 2-149\r\n', '')
('14:57:26.820967', b'S-dur: 61645\r\n', '')
('14:57:26.853878', b'B-dur: 31284; ssid: 2-150\r\n', '')
('14:57:26.884794', b'B-dur: 30956; ssid: 2-151\r\n', '')
('14:57:26.915713', b'B-dur: 30958; ssid: 2-152\r\n', '')
('14:57:26.975554', b'S-dur: 61312\r\n', '')
('14:57:27.008466', b'B-dur: 31620; ssid: 2-153\r\n', '')
('14:57:27.107643', b'N-dur: 100957\r\n', '')
('14:57:27.141554', b'B-dur: 31963; ssid: 2-154\r\n', '')
('14:57:27.171495', b'B-dur: 30922; ssid: 2-155\r\n', '')
('14:57:27.203702', b'B-dur: 30958; ssid: 2-156\r\n', '')
('14:57:27.263593', b'S-dur: 61551\r\n', '')
('14:57:27.324431', b'S-dur: 61139\r\n', '')
('14:57:27.357523', b'B-dur: 31216; ssid: 2-157\r\n', '')
('14:57:27.388539', b'B-dur: 30956; ssid: 2-158\r\n', '')
('14:57:27.420450', b'B-dur: 30958; ssid: 2-159\r\n', '')
('14:57:27.486308', b'D1-169************************\r\n', '')
('14:57:27.487303', b'S-dur: 62012\r\n', '')
('14:57:27.541325', b'S-dur: 61126\r\n', '')
('14:57:27.577408', b'B-dur: 31768; ssid: 2-160\r\n', '')
('14:57:27.608316', b'B-dur: 30954; ssid: 2-161\r\n', '')
('14:57:27.640213', b'B-dur: 30958; ssid: 2-162\r\n', '')
('14:57:27.668216', b'B-dur: 30958; ssid: 2-163\r\n', '')
('14:57:27.699352', b'B-dur: 30958; ssid: 2-164\r\n', '')
('14:57:27.729637', b'B-dur: 30958; ssid: 2-165\r\n', '')
('14:57:27.764686', b'B-dur: 30958; ssid: 2-166\r\n', '')
('14:57:27.795687', b'B-dur: 30958; ssid: 2-167\r\n', '')
('14:57:27.826605', b'B-dur: 30958; ssid: 2-168\r\n', '')
('14:57:27.889434', b'D1-177************************\r\n', '')
('14:57:27.891430', b'D1-178************************\r\n', '')
('14:57:27.892427', b'S-dur: 61734\r\n', '')
('14:57:27.919354', b'B-dur: 31197; ssid: 2-169\r\n', '')
('14:57:27.950273', b'B-dur: 30954; ssid: 2-170\r\n', '')
('14:57:28.008119', b'S-dur: 61393\r\n', '')
('14:57:28.040033', b'B-dur: 31538; ssid: 2-171\r\n', '')
('14:57:28.069950', b'B-dur: 30956; ssid: 2-172\r\n', '')
('14:57:28.102414', b'B-dur: 30958; ssid: 2-173\r\n', '')
('14:57:28.133446', b'B-dur: 30958; ssid: 2-174\r\n', '')
('14:57:28.163366', b'B-dur: 30958; ssid: 2-175\r\n', '')
('14:57:28.230355', b'D1-183************************\r\n', '')
('14:57:28.233310', b'D1-184************************\r\n', '')
('14:57:28.236299', b'S-dur: 61794\r\n', '')
('14:57:28.257337', b'B-dur: 31137; ssid: 2-176\r\n', '')
('14:57:28.288255', b'B-dur: 30954; ssid: 2-177\r\n', '')
('14:57:28.319172', b'B-dur: 30958; ssid: 2-178\r\n', '')
('14:57:28.350088', b'B-dur: 30958; ssid: 2-179\r\n', '')
('14:57:28.380109', b'B-dur: 30958; ssid: 2-180\r\n', '')
('14:57:28.411245', b'B-dur: 30958; ssid: 2-181\r\n', '')
('14:57:28.443281', b'B-dur: 30958; ssid: 2-182\r\n', '')
('14:57:28.473478', b'B-dur: 30958; ssid: 2-183\r\n', '')
('14:57:28.573187', b'N-dur: 100959\r\n', '')
('14:57:28.609089', b'B-dur: 32957; ssid: 2-184\r\n', '')
('14:57:28.638007', b'B-dur: 30922; ssid: 2-185\r\n', '')
('14:57:28.668956', b'B-dur: 30958; ssid: 2-186\r\n', '')
('14:57:28.736270', b'D1-197************************\r\n', '')
('14:57:28.739260', b'D1-198************************\r\n', '')
('14:57:28.740257', b'S-dur: 62031\r\n', '')
('14:57:28.764195', b'B-dur: 31900; ssid: 2-187\r\n', '')
('14:57:28.823204', b'S-dur: 61514\r\n', '')
('14:57:28.857112', b'B-dur: 31413; ssid: 2-188\r\n', '')
('14:57:28.955850', b'N-dur: 100961\r\n', '')
('14:57:28.989757', b'B-dur: 31958; ssid: 2-189\r\n', '')
('14:57:29.020675', b'B-dur: 30922; ssid: 2-190\r\n', '')
('14:57:29.085355', b'D1-204************************\r\n', '')
('14:57:29.086352', b'S-dur: 62177\r\n', '')
('14:57:29.149562', b'D1-207************************\r\n', '')
('14:57:29.151556', b'D1-206************************\r\n', '')
('14:57:29.152553', b'S-dur: 61810\r\n', '')
('14:57:29.175493', b'B-dur: 30915; ssid: 2-191\r\n', '')
('14:57:29.235449', b'S-dur: 61476\r\n', '')
('14:57:29.268751', b'B-dur: 31451; ssid: 2-192\r\n', '')
('14:57:29.300138', b'B-dur: 30956; ssid: 2-193\r\n', '')
('14:57:29.359035', b'S-dur: 61275\r\n', '')
('14:57:29.392943', b'B-dur: 31657; ssid: 2-194\r\n', '')
